#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1184|SZUA-1184_00001	K08307	[EC:4.2.2.-]	mltD, dniR	membrane-bound lytic murein transglycosylase D	05E9H@bactNOG,0QHZG@gproNOG,16Q6H@proNOG,COG0741@NOG	Lytic Murein transglycosylase			SZUA-1184_1:c(1414..3030)	Membrane-bound lytic murein transglycosylase D	K08307	K08307		K08307	K08309
Candidatus_bacterium_SZUA-1184|SZUA-1184_00442					05FM5@bactNOG,09JM1@bctoNOG,11U9G@NOG	Methyltransferase			SZUA-1184_77:c(915..1655)	Glycine/sarcosine/dimethylglycine N-methyltransferase					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00443	K01262	[EC:3.4.11.9]	pepP	Xaa-Pro aminopeptidase	04RT3@bacNOG,05DC7@bactNOG,0NEMI@firmNOG,COG0006@NOG	Xaa-pro dipeptidase			SZUA-1184_77:c(1662..2744)	Aminopeptidase YpdF	K01262	K01262		K01262	K18573
Candidatus_bacterium_SZUA-1184|SZUA-1184_00444									SZUA-1184_77:c(2763..3437)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00445	K01849	[EC:5.4.99.2]	E5.4.99.2B, mcmA2	methylmalonyl-CoA mutase, C-terminal domain	08Z6F@bactNOG,09MYW@bctoNOG,1AJJH@sphNOG,COG2185@NOG	B12 binding domain			SZUA-1184_77:c(3443..3847)	Methylmalonyl-CoA mutase	K01849	K01849		K01849	K20907
Candidatus_bacterium_SZUA-1184|SZUA-1184_00446	K07560	[EC:3.1.-.-]	dtd, DTD1	D-tyrosyl-tRNA(Tyr) deacylase	08YYA@bactNOG,1CGM5@therNOG,COG1490@NOG	Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr). Could be a defense mechanism against a harmful effect of D-tyrosine (By similarity)			SZUA-1184_77:c(3904..4347)	D-aminoacyl-tRNA deacylase	K07560	K07560		K07560	K07560
Candidatus_bacterium_SZUA-1184|SZUA-1184_00447	K02337	[EC:2.7.7.7]	dnaE	DNA polymerase III subunit alpha	05C0B@bactNOG,0ENTN@cloNOG,0NDIW@firmNOG,COG0587@NOG	DNA polymerase iii			SZUA-1184_77:c(4358..6442)	DNA polymerase III subunit alpha	K02337	K02337		K02337	K14162
Candidatus_bacterium_SZUA-1184|SZUA-1184_00448									SZUA-1184_78:81..497	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00449	K07401		K07401	selenoprotein W-related protein	086KN@bactNOG,0F25Z@cloNOG,0NRZR@firmNOG,0XYES@NOG	Rdx family			SZUA-1184_78:699..869	hypothetical protein	K07401			K07401	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00450									SZUA-1184_78:910..1641	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00451									SZUA-1184_78:1657..2112	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00452									SZUA-1184_78:2109..2507	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00454	K02343	[EC:2.7.7.7]	dnaX	DNA polymerase III subunit gamma/tau	05C6E@bactNOG,099TX@bctoNOG,COG2812@NOG	DNA polymerase iii			SZUA-1184_78:3003..4688	DNA polymerase III subunit tau	K02343	K02343		K01071	K02343
Candidatus_bacterium_SZUA-1184|SZUA-1184_00455									SZUA-1184_78:4737..4874	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00456	K06187		recR	recombination protein RecR	05F3K@bactNOG,0CZF5@chlNOG,COG0353@NOG	May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO (By similarity)			SZUA-1184_78:4871..5467	Recombination protein RecR	K06187	K06187		K06187	K06187
Candidatus_bacterium_SZUA-1184|SZUA-1184_00457	K00995	[EC:2.7.8.5]	pgsA, PGS1	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase	05BZQ@bactNOG,0ET43@cloNOG,0NJ7B@firmNOG,COG0558@NOG	cdp-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase			SZUA-1184_78:5464..6045	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	K00995	K00995	K08744	K00995	K17884
Candidatus_bacterium_SZUA-1184|SZUA-1184_00458	K01095	[EC:3.1.3.27]	pgpA	phosphatidylglycerophosphatase A	08ZAI@bactNOG,0GFKX@delNOG,0HHDJ@dproNOG,174XQ@proNOG,COG1267@NOG	Phosphatidylglycerophosphatase A			SZUA-1184_78:6055..6513	Phosphatidylglycerophosphatase A	K01095	K01095		K01095	K01095
Candidatus_bacterium_SZUA-1184|SZUA-1184_00459	K09015		sufD	Fe-S cluster assembly protein SufD	05JRK@bactNOG,0QK74@gproNOG,16R2I@proNOG,COG0719@NOG	FeS assembly protein SufD			SZUA-1184_79:84..1082	FeS cluster assembly protein SufD	K09015	K09015		K07033	K09015
Candidatus_bacterium_SZUA-1184|SZUA-1184_00460	K02426		sufE	cysteine desulfuration protein SufE	01YA3@aproNOG,05P9C@bactNOG,17FJI@proNOG,COG2166@NOG	Fe-S metabolism associated			SZUA-1184_79:1079..1492	Cysteine desulfuration protein SufE	K02426	K02426		K02426	K07125
Candidatus_bacterium_SZUA-1184|SZUA-1184_00461	K02612		paaD	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD	05VG1@bactNOG,17D05@proNOG,COG2151@NOG	fes assembly suf system protein			SZUA-1184_79:1495..2055	Fe-S protein maturation auxiliary factor SufT	K02612				K02612
Candidatus_bacterium_SZUA-1184|SZUA-1184_00462	K11717	[EC:2.8.1.7][EC:4.4.1.16]	sufS	cysteine desulfurase / selenocysteine lyase	00DB6@actNOG,05C9B@bactNOG,COG0520@NOG	Cysteine desulfurase			SZUA-1184_79:2063..3277	Cysteine desulfurase SufS	K11717	K11717		K04487	K21330
Candidatus_bacterium_SZUA-1184|SZUA-1184_00463									SZUA-1184_79:3357..3617	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00464					08W0W@bactNOG,09EG9@bctoNOG,0FWZ6@cytNOG,11KA0@NOG	Protein of unknown function (DUF2480)			SZUA-1184_79:3628..3879	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00465	K01493	[EC:3.5.4.12]	comEB	dCMP deaminase	08UK2@bactNOG,0GE4B@delNOG,0HEZN@dproNOG,17A1K@proNOG,COG2131@NOG	CMP dCMP deaminase, zinc-binding			SZUA-1184_79:3898..4332	tRNA-specific adenosine deaminase	K01493	K01493	K01493	K01493	K01493
Candidatus_bacterium_SZUA-1184|SZUA-1184_00466					05DXW@bactNOG,09A99@bctoNOG,0XQEH@NOG	Membrane associated hydrolase			SZUA-1184_79:c(4346..6022)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00467	K02342	[EC:2.7.7.7]	dnaQ	DNA polymerase III subunit epsilon	05Y7A@bactNOG,0GNDA@delNOG,0HNFP@dproNOG,175FD@proNOG,COG0847@NOG	EXOIII			SZUA-1184_80:102..962	DNA polymerase III PolC-type	K02342	K02342		K02342	K18327
Candidatus_bacterium_SZUA-1184|SZUA-1184_00468	K14445		SLC13A2_3_5	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5	01QPP@aproNOG,07QWE@bactNOG,16PZ0@proNOG,COG0471@NOG	domain protein			SZUA-1184_80:1121..3019	Sodium-dependent dicarboxylate transporter SdcS	K14445				K14445
Candidatus_bacterium_SZUA-1184|SZUA-1184_00469	K01139	[EC:2.7.6.5][EC:3.1.7.2]	spoT	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	080MZ@bactNOG,0BMEP@bproNOG,17CHM@proNOG,COG0317@NOG	HDc			SZUA-1184_80:3035..3601	GTP pyrophosphokinase rsh	K01139	K01139		K00951	K01139
Candidatus_bacterium_SZUA-1184|SZUA-1184_00470									SZUA-1184_80:3674..3919	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00471									SZUA-1184_81:190..1158	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00472									SZUA-1184_81:1155..1583	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00473									SZUA-1184_81:1583..2089	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00474	K01972	[EC:6.5.1.2]	E6.5.1.2, ligA, ligB	DNA ligase (NAD+)	05C77@bactNOG,0GAY2@delNOG,0HC34@dproNOG,16PMQ@proNOG,COG0272@NOG	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA (By similarity)			SZUA-1184_81:2083..4098	DNA ligase	K01972	K01972	K01972	K01972	K01972
Candidatus_bacterium_SZUA-1184|SZUA-1184_00475									SZUA-1184_81:4198..4527	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00476	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	0KRC5@eurNOG,0RFVP@halNOG,COG1131@NOG,arCOG00194@arNOG	ABC transporter			SZUA-1184_81:4524..5447	putative ABC transporter ATP-binding protein YadG	K01990	K01990		K01990	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00477	K01992		ABC-2.P	ABC-2 type transport system permease protein	01QR8@aproNOG,05E3A@bactNOG,16RQ1@proNOG,COG0842@NOG	)transporter			SZUA-1184_81:5444..6217	Inner membrane transport permease YadH	K01992	K01992		K01992	K21397
Candidatus_bacterium_SZUA-1184|SZUA-1184_00478									SZUA-1184_81:6221..6949	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00479	K18424	[EC:3.6.1.29]	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase family member 4	07RXM@bactNOG,09BW0@bctoNOG,0P9P1@flaNOG,COG1524@NOG	phosphodiesterase			SZUA-1184_81:c(6970..8172)	hypothetical protein	K18424		K18424	K01113	K19670
Candidatus_bacterium_SZUA-1184|SZUA-1184_00480	K00573	[EC:2.1.1.77]	E2.1.1.77, pcm	protein-L-isoaspartate(D-aspartate) O-methyltransferase	05E26@bactNOG,0GD99@delNOG,0HC1K@dproNOG,177YQ@proNOG,COG2518@NOG	Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and or degradation of damaged proteins (By similarity)			SZUA-1184_81:8238..8855	Protein-L-isoaspartate O-methyltransferase	K00573	K00573		K00573	K00573
Candidatus_bacterium_SZUA-1184|SZUA-1184_00481									SZUA-1184_81:c(9006..9710)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00482					07KF3@bactNOG,09SJR@bctoNOG,11IYI@NOG				SZUA-1184_82:7..402	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00486	K03649	[EC:3.2.2.28]	mug	double-stranded uracil-DNA glycosylase	08VCA@bactNOG,0BFJR@bproNOG,16T0I@proNOG,COG3663@NOG	Uracil-dna glycosylase			SZUA-1184_82:997..1500	G/U mismatch-specific DNA glycosylase	K03649	K03649	K03649	K03649	K20813
Candidatus_bacterium_SZUA-1184|SZUA-1184_00487					0667X@bactNOG,12ANG@NOG				SZUA-1184_82:1561..2673	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00488									SZUA-1184_82:2670..2888	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00489	K03733		xerC	integrase/recombinase XerC	08IYT@bactNOG,15781@plaNOG,COG0582@NOG	Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids (By similarity)			SZUA-1184_83:142..1050	Tyrosine recombinase XerD	K03733	K03733		K03733	K14059
Candidatus_bacterium_SZUA-1184|SZUA-1184_00490	K01610	[EC:4.1.1.49]	E4.1.1.49, pckA	phosphoenolpyruvate carboxykinase (ATP)	05DJ1@bactNOG,COG1866@NOG	Phosphoenolpyruvate Carboxylase			SZUA-1184_83:1061..2698	Phosphoenolpyruvate carboxykinase (ATP)	K01610	K01610		K01610	K01610
Candidatus_bacterium_SZUA-1184|SZUA-1184_00491	K05568		mnhD, mrpD	multicomponent Na+:H+ antiporter subunit D	08I5Q@bactNOG,0F6ZJ@cloNOG,0P64B@firmNOG,COG0651@NOG	NADH dehydrogenase			SZUA-1184_84:73..1152	Hydrogenase-4 component B	K05568	K05568		K00342	K15828
Candidatus_bacterium_SZUA-1184|SZUA-1184_00492					06IS9@bactNOG,0Y7X8@NOG				SZUA-1184_84:1149..1394	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00493	K05568		mnhD, mrpD	multicomponent Na+:H+ antiporter subunit D	08JPZ@bactNOG,COG0651@NOG	Monovalent cation H antiporter subunit D			SZUA-1184_84:1384..3180	Na(+)/H(+) antiporter subunit A	K05568	K05568		K00342	K15828
Candidatus_bacterium_SZUA-1184|SZUA-1184_00494	K00342	[EC:1.6.5.3]	nuoM	NADH-quinone oxidoreductase subunit M	05C8S@bactNOG,0EQF1@cloNOG,0NDMA@firmNOG,COG1008@NOG	proton-translocating NADH-quinone oxidoreductase subunit M			SZUA-1184_84:3192..4757	NADH-quinone oxidoreductase subunit M	K00342	K00342		K00342	K15863
Candidatus_bacterium_SZUA-1184|SZUA-1184_00495	K00343	[EC:1.6.5.3]	nuoN	NADH-quinone oxidoreductase subunit N	05CNR@bactNOG,0GATF@delNOG,0HC3Q@dproNOG,16QZF@proNOG,COG1007@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1184_84:4827..6281	NADH-quinone oxidoreductase subunit N	K00343	K00343		K00343	K05573
Candidatus_bacterium_SZUA-1184|SZUA-1184_00496	K03893		arsB	arsenical pump membrane protein	05EDA@bactNOG,16TB5@proNOG,COG1055@NOG	transporter			SZUA-1184_84:6341..7765	hypothetical protein	K03893				K03893
Candidatus_bacterium_SZUA-1184|SZUA-1184_00497	K00798	[EC:2.5.1.17]	MMAB, pduO	cob(I)alamin adenosyltransferase	08WBT@bactNOG,0BB8V@bproNOG,179WM@proNOG,COG2096@NOG	adenosyltransferase			SZUA-1184_84:7765..8307	Cobalamin adenosyltransferase	K00798	K00798		K00798	K00798
Candidatus_bacterium_SZUA-1184|SZUA-1184_00498	K06881	[EC:3.1.3.7][EC:3.1.13.3]	nrnA	bifunctional oligoribonuclease and PAP phosphatase NrnA	05SFS@bactNOG,COG0618@NOG	phosphoesterase RecJ domain protein			SZUA-1184_84:8375..9379	Bifunctional oligoribonuclease and PAP phosphatase NrnA	K06881	K06881		K06881	K06881
Candidatus_bacterium_SZUA-1184|SZUA-1184_00499	K03527	[EC:1.17.7.4]	ispH, lytB	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase	05C48@bactNOG,0GB7S@delNOG,0HDDM@dproNOG,16PFS@proNOG,COG0761@NOG	Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity)			SZUA-1184_84:9379..10242	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	K03527	K03527		K02945	K03527
Candidatus_bacterium_SZUA-1184|SZUA-1184_00500	K06215	[EC:4.3.3.6]	pdxS, pdx1	pyridoxal 5'-phosphate synthase pdxS subunit	05CD9@bactNOG,0CXWS@chlaNOG,COG0214@NOG	Involved in the production of pyridoxal phosphate, probably by incorporating ammonia into the pyridine ring (By similarity)			SZUA-1184_84:10235..11116	Pyridoxal 5'-phosphate synthase subunit PdxS	K06215	K06215		K06215	K06215
Candidatus_bacterium_SZUA-1184|SZUA-1184_00501	K17105	[EC:2.5.1.42]	E2.5.1.42	geranylgeranylglycerol-phosphate geranylgeranyltransferase	0KTKG@eurNOG,0RG06@halNOG,COG0382@NOG,arCOG00476@arNOG	Prenyltransferase that catalyzes the transfer of the geranylgeranyl moiety of geranylgeranyl diphosphate (GGPP) to the C2 hydroxyl of (S)-3-O-geranylgeranylglyceryl phosphate (GGGP). This reaction is the second ether-bond-formation step in the biosynthesis of archaeal membrane lipids (By similarity)			SZUA-1184_85:c(1350..2195)	Homogentisate phytyltransferase	K17105	K17105		K17105	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00502	K02493	[EC:2.1.1.297]	hemK, prmC, HEMK	release factor glutamine methyltransferase	05EQY@bactNOG,0GDW1@delNOG,0HECA@dproNOG,16RMB@proNOG,COG2890@NOG	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif (By similarity)			SZUA-1184_85:c(2192..3103)	Release factor glutamine methyltransferase	K02493	K02493		K02493	K21515
Candidatus_bacterium_SZUA-1184|SZUA-1184_00503	K02835		prfA, MTRF1, MRF1	peptide chain release factor 1	05C8K@bactNOG,1AMCU@spiNOG,COG0216@NOG	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA (By similarity)			SZUA-1184_85:c(3069..4130)	Peptide chain release factor RF1	K02835	K02835		K02835	K02835
Candidatus_bacterium_SZUA-1184|SZUA-1184_00504	K09153		K09153	uncharacterized protein	05CBJ@bactNOG,0G57D@defNOG,COG3872@NOG	Protein of unknown function (DUF1385)			SZUA-1184_85:c(4127..5068)	hypothetical protein	K09153			K09153	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00505	K02909		RP-L31, rpmE	large subunit ribosomal protein L31	082DI@bactNOG,1DIV5@verNOG,1DN57@verrNOG,COG0254@NOG	Ribosomal protein L31			SZUA-1184_85:c(5156..5404)	50S ribosomal protein L31 type B	K02909	K02909		K02909	K02909
Candidatus_bacterium_SZUA-1184|SZUA-1184_00506	K00812	[EC:2.6.1.1]	aspB	aspartate aminotransferase	05CHM@bactNOG,COG0436@NOG	Aminotransferase			SZUA-1184_85:c(5418..6617)	Aspartate aminotransferase	K00812	K00812		K00812	K20615
Candidatus_bacterium_SZUA-1184|SZUA-1184_00507					11JNR@NOG,arCOG05125@arNOG				SZUA-1184_85:c(6618..7622)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00508	K03628		rho	transcription termination factor Rho	05C4P@bactNOG,1AMBV@spiNOG,COG1158@NOG	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template (By similarity)			SZUA-1184_85:c(7664..8911)	Transcription termination factor Rho	K03628	K03628		K03628	K03628
Candidatus_bacterium_SZUA-1184|SZUA-1184_00509	K11754	[EC:6.3.2.12][EC:6.3.2.17]	folC	dihydrofolate synthase / folylpolyglutamate synthase	05DPM@bactNOG,1DHH0@verNOG,1DMMS@verrNOG,COG0285@NOG	FolC bifunctional protein			SZUA-1184_85:c(9007..10284)	Folylpolyglutamate synthase	K11754	K11754	K01930	K11754	K20457
Candidatus_bacterium_SZUA-1184|SZUA-1184_00510	K01776	[EC:5.1.1.3]	murI	glutamate racemase	05F03@bactNOG,0GCG1@delNOG,0HCY0@dproNOG,16QUE@proNOG,COG0796@NOG	Provides the (R)-glutamate required for cell wall biosynthesis (By similarity)			SZUA-1184_85:c(10259..11062)	Glutamate racemase	K01776	K01776	K01776	K01776	K01776
Candidatus_bacterium_SZUA-1184|SZUA-1184_00511	K01448	[EC:3.5.1.28]	amiABC	N-acetylmuramoyl-L-alanine amidase	07RQC@bactNOG,COG0860@NOG	n-acetylmuramoyl-l-alanine amidase			SZUA-1184_85:c(11062..12573)	N-acetylmuramoyl-L-alanine amidase AmiA	K01448	K01448		K01448	K01448
Candidatus_bacterium_SZUA-1184|SZUA-1184_00512									SZUA-1184_85:c(12732..13883)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00513									SZUA-1184_85:c(13987..14202)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00514									SZUA-1184_85:c(14279..14485)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00515	K01192	[EC:3.2.1.25]	E3.2.1.25, MANBA, manB	beta-mannosidase	COG3250@NOG	hydrolase family 2			SZUA-1184_85:c(14680..15588)	Validoxylamine A glucosyltransferase	K01192			K01192	K12111
Candidatus_bacterium_SZUA-1184|SZUA-1184_00516					08Y8G@bactNOG,0ESWD@cloNOG,0NIK3@firmNOG,11J53@NOG	Inherit from firmNOG: Glycosyl transferases group 1			SZUA-1184_85:c(15585..16670)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00517	K00786	[EC:2.4.-.-]	E2.4.-.-	glycosyltransferase	05CPK@bactNOG,0QJTZ@gproNOG,170ZI@proNOG,COG0438@NOG	glycosyl transferase group 1			SZUA-1184_85:16821..17990	N-acetyl-alpha-D-glucosaminyl L-malate synthase	K00786			K00786	K21586
Candidatus_bacterium_SZUA-1184|SZUA-1184_00518									SZUA-1184_85:c(17962..18219)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00519	K03973		pspC	phage shock protein C	067S9@bactNOG,0EVMN@cloNOG,0NQY6@firmNOG,COG1983@NOG	phage shock protein C, PspC			SZUA-1184_86:c(536..1171)	hypothetical protein	K03973			K03973	K03973
Candidatus_bacterium_SZUA-1184|SZUA-1184_00520	K06857	[EC:3.6.3.55]	tupC, vupC	tungstate transport system ATP-binding protein	078M4@bactNOG,0GE9T@delNOG,0HFSQ@dproNOG,17C0N@proNOG,COG3839@NOG	ABC transporter			SZUA-1184_86:c(1282..1980)	Tungstate uptake system ATP-binding protein TupC	K06857			K06857	K17325
Candidatus_bacterium_SZUA-1184|SZUA-1184_00521	K00384	[EC:1.8.1.9]	trxB, TRR	thioredoxin reductase (NADPH)	05C3M@bactNOG,COG0492@NOG	thioredoxin reductase			SZUA-1184_86:c(2032..2961)	Thioredoxin reductase	K00384	K00384	K00384	K00384	K21567
Candidatus_bacterium_SZUA-1184|SZUA-1184_00522	K03671		trxA	thioredoxin 1	05K63@bactNOG,09GE9@bctoNOG,COG0526@NOG	Thioredoxin			SZUA-1184_86:c(2974..3300)	Thioredoxin 1	K03671	K03671		K03671	K13996
Candidatus_bacterium_SZUA-1184|SZUA-1184_00523	K01866	[EC:6.1.1.1]	YARS, tyrS	tyrosyl-tRNA synthetase	05DA0@bactNOG,1CFFX@therNOG,COG0162@NOG	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity)			SZUA-1184_86:c(3426..3884)	Tyrosine--tRNA ligase	K01866	K01866		K01866	K01866
Candidatus_bacterium_SZUA-1184|SZUA-1184_00524					05J8W@bactNOG,11TMJ@NOG				SZUA-1184_87:2..472	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00525					05QYR@bactNOG,09N3F@bctoNOG,11XQ5@NOG				SZUA-1184_87:473..1405	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00526									SZUA-1184_87:1377..2264	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00527	K09798		K09798	uncharacterized protein	05PXI@bactNOG,0ESIW@cloNOG,0NHFF@firmNOG,COG0860@NOG,COG2861@NOG	Divergent polysaccharide deacetylase			SZUA-1184_87:2330..3109	hypothetical protein	K09798	K09798		K09798	K09798
Candidatus_bacterium_SZUA-1184|SZUA-1184_00528					04T0G@bacNOG,08M50@bactNOG,0NHRZ@firmNOG,COG4448@NOG	L-asparaginase II			SZUA-1184_87:3113..4087	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00529	K07402		xdhC	xanthine dehydrogenase accessory factor	07XV4@bactNOG,0R9WC@gproNOG,170EI@proNOG,COG1975@NOG	XdhC and CoxI family			SZUA-1184_88:31..585	putative xanthine dehydrogenase subunit A	K07402			K07402	K07402
Candidatus_bacterium_SZUA-1184|SZUA-1184_00530	K04487	[EC:2.8.1.7]	iscS, NFS1	cysteine desulfurase	07QI6@bactNOG,COG1104@NOG	Cysteine desulfurase			SZUA-1184_88:631..1797	Cysteine desulfurase IscS	K04487	K04487		K04487	K04487
Candidatus_bacterium_SZUA-1184|SZUA-1184_00531	K07302	[EC:1.3.99.16]	iorA	isoquinoline 1-oxidoreductase subunit alpha	07XKX@bactNOG,09DPJ@bctoNOG,0P9MG@flaNOG,COG2080@NOG	isoquinoline 1-oxidoreductase, alpha subunit			SZUA-1184_88:1847..2314	Isoquinoline 1-oxidoreductase subunit alpha	K07302	K07302		K07302	K21675
Candidatus_bacterium_SZUA-1184|SZUA-1184_00532	K07303	[EC:1.3.99.16]	iorB	isoquinoline 1-oxidoreductase subunit beta	0034S@aciNOG,07QTC@bactNOG,COG1529@NOG	Aldehyde oxidase and xanthine dehydrogenase, molybdopterin binding			SZUA-1184_88:2307..4463	Isoquinoline 1-oxidoreductase subunit beta	K07303	K07303		K07303	K21673
Candidatus_bacterium_SZUA-1184|SZUA-1184_00533									SZUA-1184_89:c(2540..3178)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00534									SZUA-1184_90:210..344	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00535	K10804	[EC:3.1.2.-][EC:3.1.1.5]	tesA	acyl-CoA thioesterase I	056ZA@bacteNOG,05VS5@bactNOG,09E3Y@bctoNOG,COG2755@NOG	GDSL-like Lipase/Acylhydrolase			SZUA-1184_90:389..1117	hypothetical protein	K10804				K10804
Candidatus_bacterium_SZUA-1184|SZUA-1184_00536	K03704		cspA	cold shock protein (beta-ribbon, CspA family)	0KXY3@eurNOG,0WPDB@methaNOG,COG1278@NOG,arCOG02983@arNOG	Cold shock DNA binding domain protein			SZUA-1184_90:1288..1485	Cold shock protein CspB	K03704	K03704		K03704	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00537									SZUA-1184_90:1608..2192	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00538									SZUA-1184_90:2189..2377	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00539	K07277		SAM50, TOB55, bamA	outer membrane protein insertion porin family	055P4@bacteNOG,07R5E@bactNOG,099PR@bctoNOG,COG4775@NOG	outer membrane protein assembly complex, yaet protein			SZUA-1184_91:25..243	hypothetical protein	K07277	K07277		K07277	K07277
Candidatus_bacterium_SZUA-1184|SZUA-1184_00540	K06142		hlpA, ompH	outer membrane protein	08RXH@bactNOG,09DYE@bctoNOG,11GII@NOG,1AGV9@sphNOG	Outer membrane chaperone Skp (OmpH)			SZUA-1184_91:270..797	hypothetical protein	K06142	K06142		K06142	
