#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00001	K01939	[EC:6.3.4.4]	purA, ADSS	adenylosuccinate synthase	05C91@bactNOG,0GAN7@delNOG,0I2ZP@eproNOG,16PIX@proNOG,COG0104@NOG	Plays an important role in the de novo pathway of purine nucleotide biosynthesis			SZUA-1327_1:634..1896	Adenylosuccinate synthetase	K01939	K01939	K01939	K01939	K01939
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00209	K03320		amt, AMT, MEP	ammonium transporter, Amt family	05BZU@bactNOG,0GAYE@delNOG,0XNMH@NOG,16PRG@proNOG	Ammonium transporter			SZUA-1327_33:3478..4692	Ammonium transporter	K03320	K03320		K03320	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00210	K04751		glnB	nitrogen regulatory protein P-II 1	08YZA@bactNOG,0GEJY@delNOG,0I3VV@eproNOG,17C4Z@proNOG,COG0347@NOG	nitrogen regulatory protein PII			SZUA-1327_33:4717..5055	Nitrogen regulatory protein P-II	K04751	K04751		K04751	K04752
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00211	K01869	[EC:6.1.1.4]	LARS, leuS	leucyl-tRNA synthetase	05C8T@bactNOG,0GAIQ@delNOG,0I2VW@eproNOG,16QCR@proNOG,COG0495@NOG	Leucyl-tRNA synthetase			SZUA-1327_33:5204..7618	Leucine--tRNA ligase	K01869	K01869	K01869	K01869	K01869
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00212	K14575		AFG2, DRG1, SPATA5	AAA family ATPase	05DS9@bactNOG,0NF4S@firmNOG,0X4KP@negNOG,COG0464@NOG	ATPase family associated with various cellular activities (AAA)			SZUA-1327_33:c(7687..9303)	ATP-dependent zinc metalloprotease FtsH	K14575				K14575
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00213	K01755	[EC:4.3.2.1]	argH, ASL	argininosuccinate lyase	05CH7@bactNOG,0GAJ7@delNOG,0I2Q7@eproNOG,16PDG@proNOG,COG0165@NOG	argininosuccinate lyase (EC 4.3.2.1)			SZUA-1327_34:29..1411	Argininosuccinate lyase	K01755	K01755		K01755	K14681
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00214	K00767	[EC:2.4.2.19]	nadC, QPRT	nicotinate-nucleotide pyrophosphorylase (carboxylating)	05D18@bactNOG,0GB2W@delNOG,0I2Z5@eproNOG,16QK3@proNOG,COG0157@NOG	nicotinate-nucleotide pyrophosphorylase (EC 2.4.2.19)			SZUA-1327_34:1414..2232	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]	K00767	K00767		K00767	K03813
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00215					07VFW@bactNOG,0YPP7@NOG	thymidylate synthase			SZUA-1327_34:2232..3569	Flavin-dependent thymidylate synthase					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00216	K13038	[EC:4.1.1.36][EC:6.3.2.5]	coaBC, dfp	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase	05CJS@bactNOG,0GBIW@delNOG,0I2NM@eproNOG,16PQ8@proNOG,COG0452@NOG	Phosphopantothenoylcysteine decarboxylase			SZUA-1327_34:c(3570..4292)	Coenzyme A biosynthesis bifunctional protein CoaBC	K13038	K13038		K01598	K21977
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00217	K01955	[EC:6.3.5.5]	carB, CPA2	carbamoyl-phosphate synthase large subunit	05CU6@bactNOG,0GAVS@delNOG,0I34N@eproNOG,16RSH@proNOG,COG0458@NOG	Carbamoyl-phosphate synthetase ammonia chain			SZUA-1327_35:263..3505	Carbamoyl-phosphate synthase large chain	K01955	K01955	K01955	K01955	K16181
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00218	K17103	[EC:2.7.8.8]	CHO1, pssA	CDP-diacylglycerol---serine O-phosphatidyltransferase	06PT6@bactNOG,0GAVX@delNOG,0I3FU@eproNOG,16QDQ@proNOG,COG1183@NOG	CDP-diacylglycerol--serine o-phosphatidyltransferase			SZUA-1327_35:3507..4064	hypothetical protein	K17103	K17103	K17103	K17103	K19665
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00219	K02500	[EC:4.1.3.-]	hisF	cyclase	05C0S@bactNOG,0GBKC@delNOG,0I2TY@eproNOG,16RIF@proNOG,COG0107@NOG	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit (By similarity)			SZUA-1327_35:c(4061..4822)	Imidazole glycerol phosphate synthase subunit HisF	K02500	K02500		K01663	K02500
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00220	K02110		ATPF0C, atpE	F-type H+-transporting ATPase subunit c	084IH@bactNOG,0GRW4@delNOG,0I4B7@eproNOG,17IZ0@proNOG,COG0636@NOG	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)			SZUA-1327_35:4938..5243	ATP synthase subunit c	K02110	K02110	K02110	K02110	K03661
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00222	K01674	[EC:4.2.1.1]	cah	carbonic anhydrase	08UHE@bactNOG,0GDMV@delNOG,0I3IW@eproNOG,17A1Q@proNOG,COG3338@NOG	carbonic anhydrase			SZUA-1327_35:5420..6223	Carbonic anhydrase	K01674	K01674	K01674	K01674	K01674
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00223	K01915	[EC:6.3.1.2]	glnA, GLUL	glutamine synthetase	05C5F@bactNOG,0GAM0@delNOG,0I2I5@eproNOG,16PDC@proNOG,COG0174@NOG	glutamine synthetase			SZUA-1327_35:6289..7704	Glutamine synthetase	K01915	K01915	K01915	K01915	K20712
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00224	K01885	[EC:6.1.1.17]	EARS, gltX	glutamyl-tRNA synthetase	05C20@bactNOG,0GAVG@delNOG,0I2HX@eproNOG,16PDR@proNOG,COG0008@NOG	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)			SZUA-1327_35:c(7770..9116)	Glutamate--tRNA ligase 1	K01885	K01885	K01885	K01885	K09698
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00225	K08591	[EC:2.3.1.15]	plsY	glycerol-3-phosphate acyltransferase PlsY	05K7Z@bactNOG,0GD9N@delNOG,0I3ID@eproNOG,16Q8K@proNOG,COG0344@NOG	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP (By similarity)			SZUA-1327_35:c(9128..9742)	Glycerol-3-phosphate acyltransferase	K08591	K08591		K08591	K08591
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00226									SZUA-1327_36:c(106..687)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00227	K01883	[EC:6.1.1.16]	CARS, cysS	cysteinyl-tRNA synthetase	05C8N@bactNOG,0GAJA@delNOG,0I2GX@eproNOG,16PG7@proNOG,COG0215@NOG	cysteinyl-tRNA synthetase (EC 6.1.1.16)			SZUA-1327_36:c(684..2087)	Cysteine--tRNA ligase	K01883	K01883		K01883	K15526
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00228									SZUA-1327_36:c(2084..2692)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00229	K02841	[EC:2.4.-.-]	waaC, rfaC	heptosyltransferase I	05D16@bactNOG,0GAZM@delNOG,0I2V3@eproNOG,16QI0@proNOG,COG0859@NOG	lipopolysaccharide			SZUA-1327_37:10..519	Lipopolysaccharide heptosyltransferase 1	K02841	K02841		K02841	K12982
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00230	K14652	[EC:4.1.99.12][EC:3.5.4.25]	ribBA	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II	05C66@bactNOG,0GB89@delNOG,0I2JS@eproNOG,16Q65@proNOG,COG0108@NOG,COG0807@NOG	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate (By similarity)			SZUA-1327_37:509..1474	3,4-dihydroxy-2-butanone 4-phosphate synthase	K14652	K14652		K02858	K14652
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00231	K01649	[EC:2.3.3.13]	leuA, IMS	2-isopropylmalate synthase	05CYQ@bactNOG,0GB6Z@delNOG,0I38P@eproNOG,16QMF@proNOG,COG0119@NOG	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity)			SZUA-1327_37:1516..3183	2-isopropylmalate synthase	K01649	K01649		K01649	K21934
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00232	K08259	[EC:3.4.24.75]	lytM	lysostaphin	05DR5@bactNOG,0GAM2@delNOG,0I2IU@eproNOG,16R5F@proNOG,COG0739@NOG	peptidase M23			SZUA-1327_37:3191..4585	Murein DD-endopeptidase MepM	K08259		K08259	K19304	K21472
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00233	K03595		era, ERAL1	GTPase	05CWT@bactNOG,0GBGN@delNOG,0I2N5@eproNOG,16PRE@proNOG,COG1159@NOG	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism (By similarity)			SZUA-1327_37:c(4582..5460)	GTPase Era	K03595	K03595	K03595	K03595	K03595
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00234	K01887	[EC:6.1.1.19]	RARS, argS	arginyl-tRNA synthetase	05C75@bactNOG,0GAIY@delNOG,0I2QZ@eproNOG,16RDS@proNOG,COG0018@NOG	Arginyl-tRNA synthetase			SZUA-1327_37:c(5461..7038)	Arginine--tRNA ligase	K01887	K01887	K01887	K01887	K01887
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00235	K03116		tatA	sec-independent protein translocase protein TatA	067S4@bactNOG,0XUF0@NOG	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system (By similarity)			SZUA-1327_37:c(7132..7371)	Sec-independent protein translocase protein TatA	K03116	K03116		K03116	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00236	K03856	[EC:2.5.1.54]	AROA2, aroA	3-deoxy-7-phosphoheptulonate synthase	08JPM@bactNOG,0GT47@delNOG,173E0@proNOG,COG2876@NOG	3-deoxy-7-phosphoheptulonate synthase			SZUA-1327_37:c(7382..8440)	Phospho-2-dehydro-3-deoxyheptonate aldolase	K03856	K03856		K03856	K13853
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00237	K02687	[EC:2.1.1.-]	prmA	ribosomal protein L11 methyltransferase	05F59@bactNOG,0GDE8@delNOG,0I3JK@eproNOG,16TP2@proNOG,COG2264@NOG	Methylates ribosomal protein L11 (By similarity)			SZUA-1327_37:c(8446..9282)	Ribosomal protein L11 methyltransferase	K02687	K02687		K02687	K02687
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00238	K03413		cheY	two-component system, chemotaxis family, chemotaxis protein CheY	08VYJ@bactNOG,0GDXT@delNOG,0I3N5@eproNOG,179WX@proNOG,COG0784@NOG	response regulator			SZUA-1327_37:c(9275..9649)	Chemotaxis protein CheY	K03413	K03413		K03413	K21025
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00239	K03750	[EC:2.10.1.1]	moeA	molybdopterin molybdotransferase	05CVM@bactNOG,0GAU3@delNOG,0I2HT@eproNOG,16PHA@proNOG,COG0303@NOG	molybdopterin biosynthesis			SZUA-1327_37:c(9712..10926)	Molybdopterin molybdenumtransferase	K03750	K03750		K03750	K03750
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00240	K03406		mcp	methyl-accepting chemotaxis protein	07VAK@bactNOG,0GC29@delNOG,0I34D@eproNOG,16TU8@proNOG,COG0840@NOG	methyl-accepting chemotaxis			SZUA-1327_37:c(10935..13670)	Methyl-accepting chemotaxis protein PctB	K03406			K03406	K19691
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00241	K01963	[EC:6.4.1.2][EC:2.1.3.15]	accD	acetyl-CoA carboxylase carboxyl transferase subunit beta	07QTG@bactNOG,0GAT3@delNOG,0I2MI@eproNOG,16QSI@proNOG,COG0777@NOG	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA (By similarity)			SZUA-1327_37:13804..14664	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	K01963	K01963		K01695	K13932
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00242									SZUA-1327_37:14661..14894	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00243	K08306	[EC:4.2.2.-]	mltC	membrane-bound lytic murein transglycosylase C	06S48@bactNOG,COG0741@NOG	Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and or cell division			SZUA-1327_38:55..576	Membrane-bound lytic murein transglycosylase C	K08306	K08306		K08306	K08309
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00244	K07318	[EC:2.1.1.72]	K07318	adenine-specific DNA-methyltransferase	05DVP@bactNOG,0GCSK@delNOG,0I2X2@eproNOG,16PQV@proNOG,COG3392@NOG	DNA methyltransferase			SZUA-1327_38:c(582..1571)	Modification methylase FokI	K07318	K07318		K06223	K07318
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00245	K03526	[EC:1.17.7.1][EC:1.17.7.3]	gcpE, ispG	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	05C4E@bactNOG,0GAUK@delNOG,0I2ZZ@eproNOG,16PQ2@proNOG,COG0821@NOG	Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (By similarity)			SZUA-1327_38:c(1552..2616)	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	K03526	K03526		K03526	K03526
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00246					05PG2@bactNOG,0GG8V@delNOG,0I44G@eproNOG,11XQX@NOG,17HJZ@proNOG	CobQ/CobB/MinD/ParA nucleotide binding domain			SZUA-1327_38:2719..3522	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00247	K09811		ftsX	cell division transport system permease protein	05GP0@bactNOG,0GEQT@delNOG,0I3YA@eproNOG,11PW8@NOG,17DNK@proNOG	Cell division protein FtsX			SZUA-1327_39:9..464	hypothetical protein	K09811			K09811	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00248	K21472	[EC:3.4.-.-]	lytH	peptidoglycan LD-endopeptidase LytH	05YJB@bactNOG,0GCPN@delNOG,0I2SP@eproNOG,16ZSV@proNOG,COG0739@NOG	peptidase M23			SZUA-1327_39:464..1582	hypothetical protein	K21472				K21472
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00249	K01497	[EC:3.5.4.25]	ribA, RIB1	GTP cyclohydrolase II	07T1C@bactNOG,0GDX5@delNOG,0I3NK@eproNOG,16UQ7@proNOG,COG0807@NOG	Catalyzes the conversion of GTP to 2,5-diamino-6- ribosylamino-4(3H)-pyrimidinone 5'-phosphate (DARP), formate and pyrophosphate (By similarity)			SZUA-1327_39:1583..2170	GTP cyclohydrolase-2	K01497	K01497		K01497	K14652
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00250	K08998		K08998	uncharacterized protein	08512@bactNOG,0GRWZ@delNOG,0I4GB@eproNOG,16X6A@proNOG,COG0759@NOG	Could be involved in insertion of integral membrane proteins into the membrane (By similarity)			SZUA-1327_39:2167..2481	Putative membrane protein insertion efficiency factor	K08998				K08998
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00251	K03217		yidC, spoIIIJ, OXA1, ccfA	YidC/Oxa1 family membrane protein insertase	05DHW@bactNOG,0GAY5@delNOG,0I2VA@eproNOG,16QMN@proNOG,COG0706@NOG	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins (By similarity)			SZUA-1327_39:2495..4054	Membrane protein insertase YidC	K03217	K03217	K03217	K03217	K17797
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00252	K01719	[EC:4.2.1.75]	hemD, UROS	uroporphyrinogen-III synthase	05M76@bactNOG,0GFQH@delNOG,0I46F@eproNOG,17FWY@proNOG,COG1587@NOG	Uroporphyrinogen-III synthase			SZUA-1327_39:4056..4685	hypothetical protein	K01719			K01719	K13543
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00253	K15461	[EC:2.1.1.61][EC:1.5.-.-]	mnmC	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein	07Y7G@bactNOG,0GE6U@delNOG,0I3TY@eproNOG,16VVW@proNOG,COG4121@NOG	Pfam:DUF752			SZUA-1327_39:c(4663..5397)	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	K15461				K15461
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00254					065V0@bactNOG,0GHMM@delNOG,0I4DS@eproNOG,129WV@NOG,17P7W@proNOG	Inherit from delNOG: type II secretion system protein			SZUA-1327_39:5456..5797	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00255	K11782	[EC:4.2.1.151]	mqnA	chorismate dehydratase	08XUR@bactNOG,0GDHX@delNOG,0I3KP@eproNOG,17ASH@proNOG,COG1427@NOG	Pfam:DUF178			SZUA-1327_39:5799..6467	Chorismate dehydratase	K11782	K11782		K11782	K11782
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00256	K02916		RP-L35, MRPL35, rpmI	large subunit ribosomal protein L35	084M8@bactNOG,0GRY7@delNOG,0I4AU@eproNOG,16X7D@proNOG,COG0291@NOG	50s ribosomal protein L35			SZUA-1327_39:6472..6663	50S ribosomal protein L35	K02916	K02916		K02916	K02916
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00257	K02887		RP-L20, MRPL20, rplT	large subunit ribosomal protein L20	08YZX@bactNOG,0GEJF@delNOG,0I3W6@eproNOG,17C2Z@proNOG,COG0292@NOG	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit (By similarity)			SZUA-1327_39:6684..7037	50S ribosomal protein L20	K02887	K02887	K02887	K02887	K02887
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00258	K02238		comEC	competence protein ComEC	07XJD@bactNOG,0GDJU@delNOG,0I3PF@eproNOG,177ZW@proNOG,COG0658@NOG	ComEC Rec2-related protein			SZUA-1327_39:c(7063..8283)	hypothetical protein	K02238	K02238		K02238	K02238
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00259	K15257	[EC:2.1.1.-]	cmoB	tRNA (mo5U34)-methyltransferase	05PFA@bactNOG,0GB38@delNOG,0I2ZI@eproNOG,16QCX@proNOG,COG0500@NOG	Catalyzes the conversion of 5-hydroxyuridine (ho5U) to 5-methoxyuridine (mo5U) at position 34 in tRNA (By similarity)			SZUA-1327_39:c(8280..9095)	tRNA U34 carboxymethyltransferase	K15257	K15257		K15257	K21377
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00261	K01754	[EC:4.3.1.19]	E4.3.1.19, ilvA, tdcB	threonine dehydratase	05C7B@bactNOG,0GBCE@delNOG,0I2N2@eproNOG,16QMI@proNOG,COG1171@NOG	Threonine dehydratase			SZUA-1327_40:c(274..1482)	L-threonine ammonia-lyase	K01754	K01754		K01754	K17989
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00262	K06929		K06929	uncharacterized protein	05K4P@bactNOG,0GE7V@delNOG,0I3TC@eproNOG,17GT1@proNOG,COG1832@NOG	CoA-binding domain protein			SZUA-1327_40:c(1479..1907)	putative protein YccU	K06929	K06929		K06929	K06929
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00263	K02410		fliG	flagellar motor switch protein FliG	05CS3@bactNOG,0GAKP@delNOG,0I2KU@eproNOG,16Q7Q@proNOG,COG1536@NOG	flagellar motor switch protein			SZUA-1327_40:c(1916..2761)	Flagellar motor switch protein FliG	K02410	K02410		K02410	K02410
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00264									SZUA-1327_41:238..705	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00265	K15460	[EC:2.1.1.223]	yfiC, trmX	tRNA1Val (adenine37-N6)-methyltransferase	07YVB@bactNOG,0GSRJ@delNOG,0I68I@eproNOG,16W29@proNOG,COG4123@NOG	methyltransferase small			SZUA-1327_41:c(616..1215)	tRNA1(Val) (adenine(37)-N6)-methyltransferase	K15460				K15460
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00266	K02396		flgK	flagellar hook-associated protein 1 FlgK	05E1Q@bactNOG,0GC74@delNOG,0I2GN@eproNOG,16SD6@proNOG,COG1256@NOG	flagellar hook-associated protein			SZUA-1327_41:c(1326..3134)	Flagellar hook-associated protein 1	K02396	K02396		K02396	K02396
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00267					05KHW@bactNOG,0GFK9@delNOG,0I422@eproNOG,11U4A@NOG,17FPI@proNOG				SZUA-1327_41:c(3138..3566)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00268									SZUA-1327_41:c(3567..3785)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00269	K02242		comFC	competence protein ComFC	05T34@bactNOG,0GFMA@delNOG,0I446@eproNOG,17HA1@proNOG,COG1040@NOG	transformation system protein			SZUA-1327_41:c(3837..4421)	Orotate phosphoribosyltransferase	K02242	K02242		K02242	K02242
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00270	K01951	[EC:6.3.5.2]	guaA, GMPS	GMP synthase (glutamine-hydrolysing)	05CM0@bactNOG,0GAVH@delNOG,0I34I@eproNOG,16PME@proNOG,COG0518@NOG,COG0519@NOG	Catalyzes the synthesis of GMP from XMP (By similarity)			SZUA-1327_42:c(524..2065)	GMP synthase [glutamine-hydrolyzing]	K01951	K01951		K01951	K01951
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00271	K06158		ABCF3	ATP-binding cassette, subfamily F, member 3	05C5H@bactNOG,0GB8F@delNOG,0I2HZ@eproNOG,16PJF@proNOG,COG0488@NOG	ABC transporter, ATP-binding protein			SZUA-1327_43:577..2172	putative ABC transporter ATP-binding protein YbiT	K06158			K06158	K19350
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00272	K00097	[EC:1.1.1.262]	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	05CEZ@bactNOG,0GASG@delNOG,0I2QA@eproNOG,16PUS@proNOG,COG1995@NOG	Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP) (By similarity)			SZUA-1327_43:2169..3083	4-hydroxythreonine-4-phosphate dehydrogenase	K00097	K00097		K00097	K22024
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00273	K08316	[EC:2.1.1.171]	rsmD	16S rRNA (guanine966-N2)-methyltransferase	06H78@bactNOG,0GFU7@delNOG,0I3GH@eproNOG,16SH2@proNOG,COG0742@NOG	methyltransferase			SZUA-1327_43:c(3057..3419)	hypothetical protein	K08316			K08316	K08316
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00274	K13069	[EC:2.7.7.65]	E2.7.7.65	diguanylate cyclase	05BZU@bactNOG,0GC9C@delNOG,0I35E@eproNOG,0XNMH@NOG,16S4F@proNOG	Diguanylate cyclase			SZUA-1327_44:34..264	hypothetical protein	K13069			K13069	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00275	K01599	[EC:4.1.1.37]	hemE, UROD	uroporphyrinogen decarboxylase	05CFZ@bactNOG,0GBBR@delNOG,0I2G6@eproNOG,16QGF@proNOG,COG0407@NOG	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III (By similarity)			SZUA-1327_44:c(301..1332)	Uroporphyrinogen decarboxylase	K01599	K01599	K01599	K01599	K14082
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00276	K00133	[EC:1.2.1.11]	asd	aspartate-semialdehyde dehydrogenase	05CM3@bactNOG,0GB6M@delNOG,0I2NQ@eproNOG,16Q25@proNOG,COG0136@NOG	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate (By similarity)			SZUA-1327_44:c(1325..2353)	Aspartate-semialdehyde dehydrogenase 2	K00133	K00133		K00133	K15017
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00277	K02066		mlaE, linK	phospholipid/cholesterol/gamma-HCH transport system permease protein	05CY3@bactNOG,0GBIC@delNOG,0I322@eproNOG,16S0E@proNOG,COG0767@NOG	abc transporter, permease			SZUA-1327_44:c(2924..3715)	putative phospholipid ABC transporter permease protein MlaE	K02066	K02066	K02066	K02066	K02066
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00278	K03270	[EC:3.1.3.45]	kdsC	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)	08Z4R@bactNOG,09EIZ@bctoNOG,0FXYN@cytNOG,COG1778@NOG	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family			SZUA-1327_44:c(3725..4237)	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC	K03270	K03270		K03270	K03270
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00279									SZUA-1327_44:c(4266..4481)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00280					06RPA@bactNOG,0GHG1@delNOG,0I4HR@eproNOG,0YUVP@NOG,1801B@proNOG				SZUA-1327_45:c(579..1154)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00281	K01409	[EC:2.3.1.234]	KAE1, tsaD, QRI7	N6-L-threonylcarbamoyladenine synthase	05CPM@bactNOG,0GC0R@delNOG,0I2N8@eproNOG,16Q7G@proNOG,COG0533@NOG	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)			SZUA-1327_45:c(1179..2174)	tRNA N6-adenosine threonylcarbamoyltransferase	K01409	K01409		K01409	K15904
