#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00001					05PN5@bactNOG,0FMVY@cyaNOG,11YV8@NOG	Aldolase_II			SZUA-1433_1:82..522	Methylthioribulose-1-phosphate dehydratase					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00593	K00014	[EC:1.1.1.25]	aroE	shikimate dehydrogenase	05E2X@bactNOG,0GD9Q@delNOG,0I37U@eproNOG,16RGM@proNOG,COG0169@NOG	shikimate dehydrogenase			SZUA-1433_114:c(6322..7050)	Shikimate dehydrogenase (NADP(+))	K00014	K00014		K00014	K13832
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00594	K01657	[EC:4.1.3.27]	trpE	anthranilate synthase component I	05CRQ@bactNOG,0GAV6@delNOG,0I3AA@eproNOG,16R32@proNOG,COG0147@NOG	anthranilate synthase, component			SZUA-1433_114:c(7101..8426)	Anthranilate synthase component 1	K01657	K01657		K01657	K20159
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00595	K03749		dedD	DedD protein	064PH@bactNOG,0GGW7@delNOG,0I4GQ@eproNOG,124ZZ@NOG,17PGH@proNOG	Sporulation related domain			SZUA-1433_114:c(8520..9380)	hypothetical protein	K03749			K03749	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00596					08S9E@bactNOG,0GD9X@delNOG,0I3HS@eproNOG,11FMR@NOG,177W9@proNOG	Domain of unknown function (DUF1882)			SZUA-1433_114:c(9452..9994)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00597	K00600	[EC:2.1.2.1]	glyA, SHMT	glycine hydroxymethyltransferase	05C65@bactNOG,0GAVU@delNOG,0I2KH@eproNOG,16Q4U@proNOG,COG0112@NOG	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)			SZUA-1433_114:c(10007..11254)	Serine hydroxymethyltransferase	K00600	K00600	K00600	K00600	K00600
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00598	K04567	[EC:6.1.1.6]	KARS, lysS	lysyl-tRNA synthetase, class II	05CRK@bactNOG,0GB10@delNOG,0I2NH@eproNOG,16Q73@proNOG,COG1190@NOG	lysyl-tRNA synthetase			SZUA-1433_114:c(11254..12762)	Lysine--tRNA ligase	K04567	K04567	K04567	K01874	K04567
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00599	K03711		fur, zur, furB	Fur family transcriptional regulator, ferric uptake regulator	090R7@bactNOG,0GF11@delNOG,0I3UM@eproNOG,17CQF@proNOG,COG0735@NOG	Ferric uptake regulation protein			SZUA-1433_114:c(12772..13230)	Ferric uptake regulation protein	K03711	K03711		K03711	K09826
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00600	K03558		cvpA	membrane protein required for colicin V production	0833R@bactNOG,0GFHS@delNOG,0I43R@eproNOG,17H62@proNOG,COG1286@NOG	colicin v production protein			SZUA-1433_114:c(13234..13770)	hypothetical protein	K03558	K03558		K03558	K03558
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00601	K02669		pilT	twitching motility protein PilT	05CZX@bactNOG,0GATY@delNOG,0I2TM@eproNOG,16QGP@proNOG,COG2805@NOG	twitching motility protein			SZUA-1433_114:c(13854..14951)	Twitching mobility protein	K02669	K02669		K02669	K02670
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00602	K02435	[EC:6.3.5.6][EC:6.3.5.7]	gatC, GATC	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C	0855J@bactNOG,0GRX3@delNOG,0I4ED@eproNOG,16X9H@proNOG,COG0721@NOG	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)			SZUA-1433_114:c(14977..15267)	Glutamyl-tRNA(Gln) amidotransferase subunit C	K02435	K02435		K02435	K02435
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00603					05Y7S@bactNOG,0GH30@delNOG,0I4B5@eproNOG,1262N@NOG,17MVQ@proNOG				SZUA-1433_114:15371..15961	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00604					08TX7@bactNOG,0GDH1@delNOG,0I3KJ@eproNOG,11FJR@NOG,177UX@proNOG				SZUA-1433_114:15974..16966	Plasminogen-binding protein PgbB					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00605	K04763		xerD	integrase/recombinase XerD	05C13@bactNOG,0GC3Z@delNOG,0I2IR@eproNOG,16PBI@proNOG,COG4974@NOG	Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids (By similarity)			SZUA-1433_114:16966..17823	Tyrosine recombinase XerD	K04763	K04763		K04763	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00606					062FK@bactNOG,0GHG2@delNOG,0I4JB@eproNOG,127YN@NOG,17PBV@proNOG				SZUA-1433_114:17807..18139	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00607	K03525	[EC:2.7.1.33]	coaX	type III pantothenate kinase	08VHG@bactNOG,0GDE4@delNOG,0I3QD@eproNOG,179Y3@proNOG,COG1521@NOG	Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis (By similarity)			SZUA-1433_114:18126..18719	Type III pantothenate kinase	K03525	K03525		K03525	K03525
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00608	K00765	[EC:2.4.2.17]	hisG	ATP phosphoribosyltransferase	05E21@bactNOG,0GAV0@delNOG,0I2ZM@eproNOG,16R8Y@proNOG,COG0040@NOG	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity)			SZUA-1433_114:18713..19333	ATP phosphoribosyltransferase	K00765	K00765		K00765	K00765
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00609	K00973	[EC:2.7.7.24]	E2.7.7.24, rfbA, rffH	glucose-1-phosphate thymidylyltransferase	07QPT@bactNOG,0GBPT@delNOG,0I2GP@eproNOG,16PMX@proNOG,COG1209@NOG	Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis (By similarity)			SZUA-1433_114:19346..20236	Glucose-1-phosphate thymidylyltransferase	K00973	K00973	K00973	K00973	K00973
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00610	K01790	[EC:5.1.3.13]	rfbC, rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	08URP@bactNOG,0GDZM@delNOG,0I3K0@eproNOG,177R7@proNOG,COG1898@NOG	dTDP-4-dehydrorhamnose 3,5-epimerase			SZUA-1433_114:20233..20805	dTDP-4-dehydrorhamnose 3,5-epimerase	K01790	K01790	K01790	K00067	K01790
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00611	K00067	[EC:1.1.1.133]	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase	05DBZ@bactNOG,0GC1J@delNOG,0I3BT@eproNOG,16QVW@proNOG,COG1091@NOG	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)			SZUA-1433_114:20798..21664	dTDP-4-dehydrorhamnose reductase	K00067	K00067	K00067	K00067	K00067
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00612	K01710	[EC:4.2.1.46]	E4.2.1.46, rfbB, rffG	dTDP-glucose 4,6-dehydratase	05C1B@bactNOG,0GAWH@delNOG,0I2MT@eproNOG,16QWB@proNOG,COG1088@NOG	dtdp-glucose 4,6-dehydratase			SZUA-1433_114:21661..22671	dTDP-glucose 4,6-dehydratase	K01710	K01710		K01710	K01710
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00613	K09933		mtfA	MtfA peptidase	05EXZ@bactNOG,0GD1X@delNOG,0I3E1@eproNOG,16STG@proNOG,COG3228@NOG	Pfam:MtfA			SZUA-1433_115:c(118..507)	hypothetical protein	K09933			K09933	K09933
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00614	K08282	[EC:2.7.11.1]	E2.7.11.1	non-specific serine/threonine protein kinase	05C0D@bactNOG,0QK02@gproNOG,16QPP@proNOG,COG0553@NOG	Helicase			SZUA-1433_115:560..3769	RNA polymerase-associated protein RapA	K08282			K08282	K15710
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00615	K02392		flgG	flagellar basal-body rod protein FlgG	05CGA@bactNOG,0GARZ@delNOG,0I31W@eproNOG,16PWT@proNOG,COG4786@NOG	flagellar basal-body rod protein			SZUA-1433_116:c(587..1375)	Flagellar basal-body rod protein FlgG	K02392	K02392	K02392	K02392	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00616	K02392		flgG	flagellar basal-body rod protein FlgG	05KTQ@bactNOG,0GDH2@delNOG,0I3HC@eproNOG,1796A@proNOG,COG4786@NOG	flagellar basal-body rod protein			SZUA-1433_116:c(1388..2194)	Flagellar basal-body rod protein FlgG	K02392	K02392		K02391	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00617	K03086		rpoD	RNA polymerase primary sigma factor	05DG1@bactNOG,0GAMK@delNOG,0I2J9@eproNOG,16PEG@proNOG,COG0568@NOG	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)			SZUA-1433_116:2382..4226	RNA polymerase sigma factor RpoD	K03086	K03086	K03086	K02316	K03089
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00618									SZUA-1433_116:4240..4371	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00619					0878R@bactNOG,0GJ34@delNOG,0I4NI@eproNOG,0ZII6@NOG,17TYC@proNOG				SZUA-1433_116:4463..4747	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00620					065YG@bactNOG,0GHBK@delNOG,0I4AX@eproNOG,0Y03Z@NOG,17N1H@proNOG				SZUA-1433_116:c(4848..5381)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00621					05XZ2@bactNOG,0GGR1@delNOG,0I4BE@eproNOG,125PY@NOG,17MPY@proNOG	Inherit from delNOG: integral membrane protein			SZUA-1433_116:c(5335..5631)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00622	K01845	[EC:5.4.3.8]	hemL	glutamate-1-semialdehyde 2,1-aminomutase	05CDM@bactNOG,0GB3B@delNOG,0I2TJ@eproNOG,16QFZ@proNOG,COG0001@NOG	Glutamate-1-semialdehyde aminotransferase			SZUA-1433_116:c(5631..6917)	Glutamate-1-semialdehyde 2,1-aminomutase	K01845	K01845	K01845	K01845	K20597
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00623					05XIT@bactNOG,0GH5P@delNOG,0I4A7@eproNOG,1251B@NOG,17KQ5@proNOG				SZUA-1433_116:c(6895..7263)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00624	K01491	[EC:1.5.1.5][EC:3.5.4.9]	folD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	05CN0@bactNOG,0GAJQ@delNOG,0I2H9@eproNOG,16QKC@proNOG,COG0190@NOG	Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate (By similarity)			SZUA-1433_116:7321..8163	Bifunctional protein FolD protein	K01491	K01491		K01491	K01491
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00625	K03100	[EC:3.4.21.89]	lepB	signal peptidase I	05C3F@bactNOG,0GBPH@delNOG,0I37Y@eproNOG,16PF2@proNOG,COG0681@NOG	signal peptidase i			SZUA-1433_116:8163..8936	Signal peptidase I	K03100	K03100		K03100	K03100
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00626	K06402	[EC:3.4.24.-]	spoIVFB	stage IV sporulation protein FB	08Z4T@bactNOG,0GDVG@delNOG,0I3N1@eproNOG,179N3@proNOG,COG1994@NOG	Peptidase M50			SZUA-1433_116:8940..9587	hypothetical protein	K06402				K06402
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00627									SZUA-1433_116:9704..10072	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00628	K01754	[EC:4.3.1.19]	E4.3.1.19, ilvA, tdcB	threonine dehydratase	05C7B@bactNOG,0GBCE@delNOG,0I2N2@eproNOG,16QMI@proNOG,COG1171@NOG	Threonine dehydratase			SZUA-1433_116:c(10073..11290)	L-threonine ammonia-lyase	K01754	K01754		K01754	K17989
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00629	K06929		K06929	uncharacterized protein	05K4P@bactNOG,0GE7V@delNOG,0I3TC@eproNOG,17GT1@proNOG,COG1832@NOG	CoA-binding domain protein			SZUA-1433_116:c(11291..11722)	putative protein YccU	K06929	K06929		K06929	K06929
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00630	K00788	[EC:2.5.1.3]	thiE	thiamine-phosphate pyrophosphorylase	0901H@bactNOG,0GEY0@delNOG,0I407@eproNOG,122MI@NOG,17D4I@proNOG	Thiamine monophosphate synthase			SZUA-1433_117:111..437	Thiamine-phosphate synthase	K00788	K00788		K00788	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00631	K02064		thiB, tbpA	thiamine transport system substrate-binding protein	05DP9@bactNOG,0QI3D@gproNOG,16RF7@proNOG,COG4143@NOG	thiamine transporter substrate binding subunit			SZUA-1433_117:430..1413	Thiamine-binding periplasmic protein	K02064	K02064	K02064	K02064	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00632	K02063		thiP	thiamine transport system permease protein	01R6X@aproNOG,06SMU@bactNOG,16Q37@proNOG,COG1178@NOG	transporter membrane protein			SZUA-1433_117:1410..3029	Putative 2-aminoethylphosphonate transport system permease protein PhnU	K02063	K02063		K02063	K02063
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00633	K02062		thiQ	thiamine transport system ATP-binding protein	07T0D@bactNOG,0QK82@gproNOG,16PPG@proNOG,COG3840@NOG	(ABC) transporter			SZUA-1433_117:3013..3651	Thiamine import ATP-binding protein ThiQ	K02062	K02062		K02062	K02062
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00634					08348@bactNOG,0GGD8@delNOG,0I46S@eproNOG,11YU5@NOG,17H7C@proNOG	Choline/ethanolamine kinase			SZUA-1433_117:3648..4301	Thiamine kinase					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00635	K02899		RP-L27, MRPL27, rpmA	large subunit ribosomal protein L27	05K46@bactNOG,0GFHH@delNOG,0I41E@eproNOG,17FAU@proNOG,COG0211@NOG	50S ribosomal protein L27			SZUA-1433_117:c(4350..4610)	50S ribosomal protein L27	K02899	K02899	K02899	K02899	K02899
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00636	K00147	[EC:1.2.1.41]	proA	glutamate-5-semialdehyde dehydrogenase	05C2S@bactNOG,0GB4G@delNOG,0I2W7@eproNOG,16R4V@proNOG,COG0014@NOG	Catalyzes the NADPH dependent reduction of L-gamma- glutamyl 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5-carboxylate (By similarity)			SZUA-1433_117:4706..5941	Gamma-glutamyl phosphate reductase	K00147	K00147		K00147	K00147
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00637	K02032		ABC.PE.A1	peptide/nickel transport system ATP-binding protein	08SVJ@bactNOG,0GDZV@delNOG,0I3RP@eproNOG,1796W@proNOG,COG4608@NOG	Abc transporter			SZUA-1433_117:5938..6510	ABC transporter ATP-binding protein YtrE	K02032			K02032	K10823
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00638	K00790	[EC:2.5.1.7]	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	05CDF@bactNOG,0GAT4@delNOG,0I2R8@eproNOG,16PC4@proNOG,COG0766@NOG	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)			SZUA-1433_117:c(6500..7765)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	K00790	K00790	K00790	K00790	K00790
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00639									SZUA-1433_117:8125..8379	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00640					COG2931@NOG,COG5276@NOG	LVIVD repeat protein			SZUA-1433_118:c(591..1271)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00641	K00290	[EC:1.5.1.7]	LYS1	saccharopine dehydrogenase (NAD+, L-lysine forming)	05E3Q@bactNOG,0GBTU@delNOG,0I2KF@eproNOG,16QEM@proNOG,COG1748@NOG	Saccharopine dehydrogenase			SZUA-1433_118:1427..2614	Carboxynorspermidine synthase	K00290	K00290	K00290	K00290	K20939
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00642					06ZVW@bactNOG,0GBQP@delNOG,0I38Z@eproNOG,0YP13@NOG,1748C@proNOG	rhodanese domain-containing protein			SZUA-1433_118:2651..2995	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00643					06ZVW@bactNOG,0GBQP@delNOG,0I38Z@eproNOG,0YP13@NOG,1748C@proNOG	rhodanese domain-containing protein			SZUA-1433_118:2992..3735	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00644									SZUA-1433_118:c(3738..4244)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00645					05UCM@bactNOG,0BNR4@bproNOG,11XI3@NOG,17TPZ@proNOG				SZUA-1433_118:4333..4896	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00646	K21883	[EC:1.1.1.401]	lra5	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)	05E1F@bactNOG,0B74I@bproNOG,16RMP@proNOG,COG1028@NOG	Short-chain dehydrogenase reductase SDR			SZUA-1433_118:4886..5716	putative oxidoreductase	K21883				K21883
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00647									SZUA-1433_118:5793..5978	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00648	K13996	[EC:5.3.4.1]	EPS1	protein disulfide-isomerase	07WPP@bactNOG,153PV@plaNOG,COG0526@NOG	Redoxin			SZUA-1433_118:c(6008..6541)	Sporulation thiol-disulfide oxidoreductase A	K13996				K13996
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00649									SZUA-1433_118:c(6538..7281)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00650	K01104	[EC:3.1.3.48]	E3.1.3.48	protein-tyrosine phosphatase	05KJF@bactNOG,0GF84@delNOG,0I3XU@eproNOG,17CN9@proNOG,COG0394@NOG	phosphotyrosine protein phosphatase			SZUA-1433_118:c(7278..7730)	Low molecular weight protein-tyrosine-phosphatase YfkJ	K01104	K01104		K01104	K20945
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00651	K01613	[EC:4.1.1.65]	psd, PISD	phosphatidylserine decarboxylase	05FGM@bactNOG,COG3001@NOG	Fructosamine kinase			SZUA-1433_118:7795..8625	hypothetical protein	K01613			K01613	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00652	K13747	[EC:4.1.1.96]	nspC	carboxynorspermidine decarboxylase	05D3D@bactNOG,0GBF0@delNOG,0I2YH@eproNOG,16SZV@proNOG,COG0019@NOG	Catalyzes the decarboxylation of carboxynorspermidine and carboxyspermidine (By similarity)			SZUA-1433_118:8615..9724	Carboxynorspermidine/carboxyspermidine decarboxylase	K13747	K13747	K13747	K13747	K13747
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00653									SZUA-1433_118:c(9755..9910)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00654					02GHT@aquNOG,0614E@bactNOG,129JM@NOG				SZUA-1433_118:c(10030..10620)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00655	K09981		K09981	uncharacterized protein	063EU@bactNOG,0QYR0@gproNOG,122X2@NOG,17W5Y@proNOG				SZUA-1433_118:c(10723..11358)	hypothetical protein	K09981			K09981	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00657	K03427	[EC:2.1.1.72]	hsdM	type I restriction enzyme M protein					SZUA-1433_118:11781..11897	hypothetical protein	K03427	K03427			
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00658	K00265	[EC:1.4.1.13][EC:1.4.1.14]	gltB	glutamate synthase (NADPH/NADH) large chain	05CBC@bactNOG,0GASS@delNOG,0I512@eproNOG,16QWG@proNOG,COG0067@NOG,COG0069@NOG,COG0070@NOG	glutamate synthase, large subunit			SZUA-1433_119:c(1058..5581)	Ferredoxin-dependent glutamate synthase 1	K00265	K00265	K00265	K00265	K00268
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00659									SZUA-1433_119:c(5711..5821)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00660					05X2M@bactNOG,0QT6F@gproNOG,17I8K@proNOG,COG3439@NOG	Domain of unknown function DUF302			SZUA-1433_119:6070..6558	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00661	K09792		K09792	uncharacterized protein	08Z2G@bactNOG,0GDIJ@delNOG,0I3HQ@eproNOG,17CM8@proNOG,COG2836@NOG	integral membrane protein			SZUA-1433_119:c(6747..7001)	hypothetical protein	K09792			K09792	K09792
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00662	K14059		int	integrase	07R0M@bactNOG,0GBEB@delNOG,16QPA@proNOG,COG0582@NOG	integron integrase			SZUA-1433_120:c(1030..1584)	Tyrosine recombinase XerC	K14059				K14059
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00663									SZUA-1433_121:c(240..488)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00664					11VKP@NOG,arCOG09685@arNOG				SZUA-1433_121:c(491..886)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00665	K07062	[EC:3.1.-.-]	fitB	toxin FitB	05KJA@bactNOG,0ET54@cloNOG,0NJ7Z@firmNOG,11V8C@NOG	PilT protein domain-containing protein			SZUA-1433_121:c(949..1338)	Ribonuclease VapC11	K07062			K07062	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00666					063TJ@bactNOG,0EVWM@cloNOG,0NQAN@firmNOG,0ZY3W@NOG	Uncharacterized protein conserved in bacteria (DUF2191)			SZUA-1433_121:c(1329..1535)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00667	K19304	[EC:3.4.24.-]	mepM	murein DD-endopeptidase	05DR5@bactNOG,0GBE0@delNOG,0I2M4@eproNOG,175GI@proNOG,COG0739@NOG	peptidase M23			SZUA-1433_121:c(1665..2480)	Murein DD-endopeptidase MepM	K19304			K19304	K21472
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00668	K11754	[EC:6.3.2.12][EC:6.3.2.17]	folC	dihydrofolate synthase / folylpolyglutamate synthase	05DPM@bactNOG,0GB40@delNOG,0I30K@eproNOG,16RVA@proNOG,COG0285@NOG	folylpolyglutamate synthase			SZUA-1433_121:c(2461..3615)	Dihydrofolate synthase/folylpolyglutamate synthase	K11754	K11754	K11754	K11754	K20457
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00669	K13069	[EC:2.7.7.65]	E2.7.7.65	diguanylate cyclase	05BZU@bactNOG,0GC3M@delNOG,0I350@eproNOG,0XNMH@NOG,16PWF@proNOG	Diguanylate cyclase			SZUA-1433_121:c(3616..5157)	Diguanylate cyclase DosC	K13069			K13069	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00670					05MU7@bactNOG,0GFIG@delNOG,0I442@eproNOG,11VKM@NOG,17HJ6@proNOG	(Lipo)protein			SZUA-1433_121:c(5154..5651)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00671	K01869	[EC:6.1.1.4]	LARS, leuS	leucyl-tRNA synthetase	05C8T@bactNOG,0GAIQ@delNOG,0I2VW@eproNOG,16QCR@proNOG,COG0495@NOG	Leucyl-tRNA synthetase			SZUA-1433_121:c(5657..8098)	Leucine--tRNA ligase	K01869	K01869	K01869	K01869	K01869
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00672					05P3W@bactNOG,0GFKT@delNOG,0I472@eproNOG,11VGQ@NOG,17FUF@proNOG				SZUA-1433_121:c(8163..8501)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00673	K00812	[EC:2.6.1.1]	aspB	aspartate aminotransferase	05CHM@bactNOG,0GAQT@delNOG,0I2PY@eproNOG,16PWZ@proNOG,COG0436@NOG	Aspartate aminotransferase			SZUA-1433_122:c(428..1591)	Aspartate aminotransferase	K00812	K00812	K00812	K00812	K20615
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00674	K13996	[EC:5.3.4.1]	EPS1	protein disulfide-isomerase	05XXY@bactNOG,0GGTJ@delNOG,0I4GR@eproNOG,17H5H@proNOG,COG0526@NOG	Thioredoxin			SZUA-1433_122:c(1637..1969)	Thioredoxin 1	K13996				K13996
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00675	K13993		HSP20	HSP20 family protein	05VN1@bactNOG,1CGRI@therNOG,COG0071@NOG	Heat shock protein, Hsp20			SZUA-1433_122:c(1966..2718)	hypothetical protein	K13993	K13993		K13993	K13993
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00676	K15710	[EC:3.6.4.-][EC:2.3.2.27]	SHPRH	E3 ubiquitin-protein ligase SHPRH	05BZK@bactNOG,0B9H3@bproNOG,16PBD@proNOG,COG0553@NOG	Helicase			SZUA-1433_123:c(2703..5495)	RNA polymerase-associated protein RapA	K15710				K15710
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00677	K06877		K06877	DEAD/DEAH box helicase domain-containing protein	07RRH@bactNOG,175N2@proNOG,COG1205@NOG	dEAD DEAH box helicase			SZUA-1433_123:c(5492..6211)	hypothetical protein	K06877			K06877	K06877
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00678	K02406		fliC	flagellin	05I03@bactNOG,0GBVA@delNOG,0I2TT@eproNOG,16PW1@proNOG,COG1344@NOG	flagellin			SZUA-1433_124:185..1210	Flagellin A	K02406	K02406		K02406	K02406
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00679									SZUA-1433_125:c(953..1228)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00680									SZUA-1433_125:c(1239..1736)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00681									SZUA-1433_125:c(1770..2363)	hypothetical protein					
