#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_sp_SZUA-1058|SZUA-1058_00001	K05592	[EC:3.6.4.13]	deaD, cshA	ATP-dependent RNA helicase DeaD	05C1J@bactNOG,0QI2F@gproNOG,16PDE@proNOG,COG0513@NOG	ATP-dependent RNA helicase			SZUA-1058_1:54..1805	ATP-dependent RNA helicase DeaD	K05592	K05592	K05592	K05592	K18692
Candidatus_sp_SZUA-1058|SZUA-1058_00195	K06925		tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	05K8N@bactNOG,0QS7U@gproNOG,17C3J@proNOG,COG0802@NOG	UPF0079 ATP-binding protein			SZUA-1058_67:c(2370..2828)	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	K06925	K06925		K06925	K06925
Candidatus_sp_SZUA-1058|SZUA-1058_00196	K07301		yrbG	cation:H+ antiporter	05FEU@bactNOG,0QISG@gproNOG,16PQ7@proNOG,COG0530@NOG	Na Ca antiporter, CaCA family			SZUA-1058_67:c(2819..3241)	Inner membrane protein YrbG	K07301	K07301		K07301	K07301
Candidatus_sp_SZUA-1058|SZUA-1058_00197	K01996		livF	branched-chain amino acid transport system ATP-binding protein	02EB1@aproNOG,08IV0@bactNOG,172ZQ@proNOG,COG0410@NOG	branched-chain amino acid ABC transporter (ATP-binding protein)			SZUA-1058_68:c(475..1326)	High-affinity branched-chain amino acid transport ATP-binding protein LivF	K01996	K01996		K01996	K11963
Candidatus_sp_SZUA-1058|SZUA-1058_00198	K01995		livG	branched-chain amino acid transport system ATP-binding protein	01SHY@aproNOG,05C0Z@bactNOG,16PSW@proNOG,COG0411@NOG	ABC transporter, (ATP-binding protein)			SZUA-1058_68:c(1329..2063)	Lipopolysaccharide export system ATP-binding protein LptB	K01995			K01995	K11957
Candidatus_sp_SZUA-1058|SZUA-1058_00199	K01998		livM	branched-chain amino acid transport system permease protein	01UHZ@aproNOG,07VX5@bactNOG,16VMV@proNOG,COG4177@NOG	amino acid			SZUA-1058_68:c(2063..3097)	hypothetical protein	K01998	K01998		K01998	K11961
Candidatus_sp_SZUA-1058|SZUA-1058_00200	K01997		livH	branched-chain amino acid transport system permease protein	01R37@aproNOG,07RB5@bactNOG,16QNH@proNOG,COG0559@NOG	ABC transporter permease protein			SZUA-1058_68:c(3110..4018)	High-affinity branched-chain amino acid transport system permease protein LivH	K01997	K01997		K01997	K11960
Candidatus_sp_SZUA-1058|SZUA-1058_00201	K01999		livK	branched-chain amino acid transport system substrate-binding protein	01VIE@aproNOG,05I4Y@bactNOG,0XP0X@NOG,174IV@proNOG	leu ile val-binding protein			SZUA-1058_68:c(4106..4849)	hypothetical protein	K01999	K01999		K01999	
Candidatus_sp_SZUA-1058|SZUA-1058_00202	K12256	[EC:2.6.1.113]	spuC	putrescine---pyruvate transaminase	08JPX@bactNOG,0RB1G@gproNOG,173ED@proNOG,COG0161@NOG	Aminotransferase			SZUA-1058_69:67..666	Putrescine--pyruvate aminotransferase	K12256	K12256		K00822	K21188
Candidatus_sp_SZUA-1058|SZUA-1058_00203	K09471	[EC:1.4.3.-]	puuB, ordL	gamma-glutamylputrescine oxidase	05CJP@bactNOG,0QITA@gproNOG,0XWBT@NOG,16Q0H@proNOG	Oxidoreductase			SZUA-1058_69:681..1949	Gamma-glutamylputrescine oxidoreductase	K09471	K09471		K09471	
Candidatus_sp_SZUA-1058|SZUA-1058_00204					05U58@bactNOG,0QWSC@gproNOG,11UEQ@NOG,17FW4@proNOG	lipopolysaccharide kinase			SZUA-1058_70:c(1194..1973)	Protein InaA					
Candidatus_sp_SZUA-1058|SZUA-1058_00205					07EG2@bactNOG,0QWMQ@gproNOG,0Z217@NOG,16T2Y@proNOG				SZUA-1058_71:58..2037	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00206									SZUA-1058_72:c(51..254)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00207									SZUA-1058_72:c(289..588)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00208									SZUA-1058_72:c(667..768)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00209	K07402		xdhC	xanthine dehydrogenase accessory factor	07XV4@bactNOG,0R9WC@gproNOG,170EI@proNOG,COG1975@NOG	XdhC and CoxI family			SZUA-1058_72:c(859..1674)	putative xanthine dehydrogenase subunit A	K07402	K07402		K07402	K07402
Candidatus_sp_SZUA-1058|SZUA-1058_00210	K07141	[EC:2.7.7.76]	mocA	molybdenum cofactor cytidylyltransferase	01TJV@aproNOG,05C43@bactNOG,16SF4@proNOG,COG0303@NOG,COG2068@NOG	Molybdopterin			SZUA-1058_72:c(1667..2227)	Bifunctional protein GlmU	K07141	K07141		K07141	K07141
Candidatus_sp_SZUA-1058|SZUA-1058_00211	K07303	[EC:1.3.99.16]	iorB	isoquinoline 1-oxidoreductase subunit beta	0034S@aciNOG,07QTC@bactNOG,COG1529@NOG	Aldehyde oxidase and xanthine dehydrogenase, molybdopterin binding			SZUA-1058_72:c(2294..3754)	Isoquinoline 1-oxidoreductase subunit beta	K07303	K07303		K07303	K21673
Candidatus_sp_SZUA-1058|SZUA-1058_00212									SZUA-1058_73:13..351	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00213									SZUA-1058_73:565..810	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00214	K07516	[EC:1.1.1.35]	fadN	3-hydroxyacyl-CoA dehydrogenase	05DYT@bactNOG,0B7NT@bproNOG,16PTX@proNOG,COG1024@NOG,COG1250@NOG	3-hydroxyacyl-coa dehydrogenase			SZUA-1058_73:c(1014..3395)	putative 3-hydroxyacyl-CoA dehydrogenase	K07516	K07516		K00074	K18612
Candidatus_sp_SZUA-1058|SZUA-1058_00215	K00113	[EC:1.1.5.3]	glpC	glycerol-3-phosphate dehydrogenase subunit C	07U6A@bactNOG,0R8FN@gproNOG,16V4G@proNOG,COG0247@NOG	Inherit from proNOG: dehydrogenase subunit c			SZUA-1058_74:c(274..1608)	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	K00113			K00113	K21834
Candidatus_sp_SZUA-1058|SZUA-1058_00216	K19824		fprB	rubrerythrin	08RAC@bactNOG,0BBMN@bproNOG,17AA9@proNOG,COG1592@NOG	Rubrerythrin			SZUA-1058_74:c(1630..1827)	Rubrerythrin	K19824				K19824
Candidatus_sp_SZUA-1058|SZUA-1058_00217	K01963	[EC:6.4.1.2][EC:2.1.3.15]	accD	acetyl-CoA carboxylase carboxyl transferase subunit beta	08IDZ@bactNOG,0GSX7@delNOG,0HSAR@dproNOG,172P8@proNOG,COG0777@NOG	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA (By similarity)			SZUA-1058_75:c(305..1147)	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	K01963	K01963	K01963	K01963	K13932
Candidatus_sp_SZUA-1058|SZUA-1058_00218	K17103	[EC:2.7.8.8]	CHO1, pssA	CDP-diacylglycerol---serine O-phosphatidyltransferase	06PT6@bactNOG,0GAVX@delNOG,0HC6B@dproNOG,16QDQ@proNOG,COG1183@NOG	o-phosphatidyltransferase			SZUA-1058_75:c(1240..1680)	hypothetical protein	K17103	K17103		K17103	K19665
Candidatus_sp_SZUA-1058|SZUA-1058_00219	K00020	[EC:1.1.1.31]	mmsB, HIBADH	3-hydroxyisobutyrate dehydrogenase	05FXF@bactNOG,16R25@proNOG,COG2084@NOG	3-hydroxyisobutyrate dehydrogenase			SZUA-1058_76:c(120..1085)	2-hydroxy-3-oxopropionate reductase	K00020	K00020		K00020	K22026
Candidatus_sp_SZUA-1058|SZUA-1058_00220	K01631	[EC:4.1.2.21]	dgoA	2-dehydro-3-deoxyphosphogalactonate aldolase	05CXK@bactNOG,0QJE9@gproNOG,16QS0@proNOG,COG4948@NOG	Catalyzes the dehydration of D-galactonate to 2-keto-3- deoxy-D-galactonate (By similarity)			SZUA-1058_76:c(1112..1849)	D-galactonate dehydratase family member	K01631			K01631	K21624
Candidatus_sp_SZUA-1058|SZUA-1058_00221	K02002		proX	glycine betaine/proline transport system substrate-binding protein	01RKV@aproNOG,08KMW@bactNOG,16QQE@proNOG,COG2113@NOG	Glycine betaine proline ABC transporter, periplasmic substrate-binding protein			SZUA-1058_77:5..979	hypothetical protein	K02002	K02002		K02002	K02002
Candidatus_sp_SZUA-1058|SZUA-1058_00222	K02000	[EC:3.6.3.32]	proV	glycine betaine/proline transport system ATP-binding protein	02E7S@aproNOG,08IJ7@bactNOG,172SV@proNOG,COG4175@NOG	Glycine betaine			SZUA-1058_77:1147..2220	Glycine betaine transport ATP-binding protein OpuAA	K02000	K02000		K02000	K02000
Candidatus_sp_SZUA-1058|SZUA-1058_00223	K02001		proW	glycine betaine/proline transport system permease protein	01SXJ@aproNOG,07TZ8@bactNOG,175JJ@proNOG,COG4176@NOG	glycine betaine proline ABC transporter permease protein			SZUA-1058_77:2231..4291	Glycine betaine transport system permease protein OpuAB	K02001	K02001		K02001	K02001
Candidatus_sp_SZUA-1058|SZUA-1058_00224					08ZI6@bactNOG,0BE0F@bproNOG,11NX0@NOG,17CNN@proNOG	FMN-binding domain-containing protein			SZUA-1058_78:118..651	Electron transport complex subunit RsxG					
Candidatus_sp_SZUA-1058|SZUA-1058_00225	K03734	[EC:2.7.1.180]	apbE	FAD:protein FMN transferase	080QA@bactNOG,0BE17@bproNOG,16WGT@proNOG,COG1477@NOG	(Lipo)protein			SZUA-1058_78:677..1558	FAD:protein FMN transferase	K03734	K03734		K03734	K03734
Candidatus_sp_SZUA-1058|SZUA-1058_00226	K00335	[EC:1.6.5.3]	nuoF	NADH-quinone oxidoreductase subunit F	07QIZ@bactNOG,0QIHG@gproNOG,16PNT@proNOG,COG1894@NOG	NADH dehydrogenase I, subunit F			SZUA-1058_79:96..602	NADH-quinone oxidoreductase subunit F	K00335	K00335		K00334	K18331
Candidatus_sp_SZUA-1058|SZUA-1058_00227	K01756	[EC:4.3.2.2]	purB, ADSL	adenylosuccinate lyase	07QTF@bactNOG,0QHZB@gproNOG,16PTV@proNOG,COG0015@NOG	adenylosuccinate lyase			SZUA-1058_80:16..1104	Adenylosuccinate lyase	K01756	K01756		K01756	K22004
Candidatus_sp_SZUA-1058|SZUA-1058_00228	K02501	[EC:2.4.2.-]	hisH	glutamine amidotransferase	08UJE@bactNOG,0QJ38@gproNOG,16TV5@proNOG,COG0118@NOG	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR (By similarity)			SZUA-1058_81:37..483	Imidazole glycerol phosphate synthase subunit HisH	K02501	K02501		K02501	K02501
Candidatus_sp_SZUA-1058|SZUA-1058_00229					08XX0@bactNOG,0QUB6@gproNOG,11MN4@NOG,17A35@proNOG	Domain of unknown function (DUF1841)			SZUA-1058_81:c(558..974)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00230	K10773	[EC:4.2.99.18]	NTH	endonuclease III	05CSM@bactNOG,0QI8Q@gproNOG,16PCJ@proNOG,COG0177@NOG	endonuclease III			SZUA-1058_81:c(992..1624)	Endonuclease III	K10773	K10773		K10773	K10773
Candidatus_sp_SZUA-1058|SZUA-1058_00231	K01141	[EC:3.1.11.1]	sbcB, exoI	exodeoxyribonuclease I	05CJB@bactNOG,0QIBB@gproNOG,16Q02@proNOG,COG2925@NOG	Exodeoxyribonuclease I			SZUA-1058_81:c(1704..1883)	hypothetical protein	K01141			K01141	K01141
Candidatus_sp_SZUA-1058|SZUA-1058_00232	K03640		pal	peptidoglycan-associated lipoprotein	05EW2@bactNOG,099VK@bctoNOG,1AGIA@sphNOG,COG2885@NOG	OmpA MotB domain protein			SZUA-1058_82:c(368..1408)	Outer membrane porin F	K03640			K03640	K21218
Candidatus_sp_SZUA-1058|SZUA-1058_00233					05CC2@bactNOG,09A3T@bctoNOG,0P7V4@flaNOG,0XNVS@NOG	regulator			SZUA-1058_82:c(1457..1759)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00234					05CC2@bactNOG,09A3T@bctoNOG,0P7V4@flaNOG,0XNVS@NOG	regulator			SZUA-1058_82:c(1825..3603)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00236									SZUA-1058_82:c(3974..4204)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00237	K01737	[EC:4.2.3.12][EC:4.1.2.50]	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase	07ZIF@bactNOG,0QQWM@gproNOG,179RS@proNOG,COG0720@NOG	6-carboxy-5,6,7,8-tetrahydropterin synthase			SZUA-1058_84:c(626..994)	6-carboxy-5,6,7,8-tetrahydropterin synthase	K01737	K01737	K01737	K01737	K01737
Candidatus_sp_SZUA-1058|SZUA-1058_00238	K02621	[EC:5.99.1.-]	parC	topoisomerase IV subunit A	05C24@bactNOG,0QII2@gproNOG,16PUJ@proNOG,COG0188@NOG	DNA topoisomerase IV, subunit A			SZUA-1058_84:c(1121..3367)	DNA topoisomerase 4 subunit A	K02621	K02621		K02469	K03164
Candidatus_sp_SZUA-1058|SZUA-1058_00239	K02503		HINT1, hinT, hit	histidine triad (HIT) family protein	05K59@bactNOG,0QR40@gproNOG,17FT2@proNOG,COG0537@NOG	Histidine triad (HIT) protein			SZUA-1058_84:c(3484..3822)	Purine nucleoside phosphoramidase	K02503	K02503		K02503	K19710
Candidatus_sp_SZUA-1058|SZUA-1058_00240	K09019	[EC:1.1.1.-]	rutE	3-hydroxypropanoate dehydrogenase	08RDT@bactNOG,0QK1R@gproNOG,177Q2@proNOG,COG0778@NOG	May reduce toxic product malonic semialdehyde to 3- hydroxypropionic acid, which is excreted (By similarity)			SZUA-1058_84:3916..4497	putative malonic semialdehyde reductase RutE	K09019	K09019		K09019	K21375
Candidatus_sp_SZUA-1058|SZUA-1058_00241	K15280		SLC35C2	solute carrier family 35, member C2	05RPH@bactNOG,0GFDT@delNOG,0I5TY@eproNOG,16RFZ@proNOG,COG0697@NOG	EamA-like transporter family			SZUA-1058_84:c(4532..4981)	hypothetical protein	K15280				K15280
Candidatus_sp_SZUA-1058|SZUA-1058_00242	K06147		ABCB-BAC	ATP-binding cassette, subfamily B, bacterial	05BZ1@bactNOG,0QHUD@gproNOG,16PGA@proNOG,COG1132@NOG	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)			SZUA-1058_85:248..514	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA	K06147	K06147		K06147	K20485
Candidatus_sp_SZUA-1058|SZUA-1058_00243	K03796		bax	Bax protein	08UR8@bactNOG,0QR31@gproNOG,179WK@proNOG,COG2992@NOG	BAX protein			SZUA-1058_85:650..1375	hypothetical protein	K03796	K03796		K03796	K03796
Candidatus_sp_SZUA-1058|SZUA-1058_00244	K02996		RP-S9, MRPS9, rpsI	small subunit ribosomal protein S9	08UJD@bactNOG,0QR1I@gproNOG,179RU@proNOG,COG0103@NOG	30S ribosomal protein S9			SZUA-1058_85:c(1447..1842)	30S ribosomal protein S9	K02996	K02996		K02996	K02996
Candidatus_sp_SZUA-1058|SZUA-1058_00245	K02871		RP-L13, MRPL13, rplM	large subunit ribosomal protein L13	08UM5@bactNOG,0QQ2R@gproNOG,179R6@proNOG,COG0102@NOG	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)			SZUA-1058_85:c(1854..2099)	50S ribosomal protein L13	K02871	K02871		K02871	K02872
Candidatus_sp_SZUA-1058|SZUA-1058_00246	K02946		RP-S10, MRPS10, rpsJ	small subunit ribosomal protein S10	08Z10@bactNOG,0QS8C@gproNOG,17CDQ@proNOG,COG0051@NOG	Involved in the binding of tRNA to the ribosomes (By similarity)			SZUA-1058_86:125..436	30S ribosomal protein S10	K02946	K02946		K02946	K02969
Candidatus_sp_SZUA-1058|SZUA-1058_00247	K02906		RP-L3, MRPL3, rplC	large subunit ribosomal protein L3	05EEE@bactNOG,0QIBA@gproNOG,16SCH@proNOG,COG0087@NOG	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)			SZUA-1058_86:459..1238	50S ribosomal protein L3	K02906	K02906		K02906	K02925
Candidatus_sp_SZUA-1058|SZUA-1058_00248	K02926		RP-L4, MRPL4, rplD	large subunit ribosomal protein L4	06U5A@bactNOG,0QIBC@gproNOG,16PQP@proNOG,COG0088@NOG	One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)			SZUA-1058_86:1266..1880	50S ribosomal protein L4	K02926	K02926		K02926	K02930
Candidatus_sp_SZUA-1058|SZUA-1058_00249	K02892		RP-L23, MRPL23, rplW	large subunit ribosomal protein L23	080KG@bactNOG,0QSDM@gproNOG,17FIH@proNOG,COG0089@NOG	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity)			SZUA-1058_86:1877..2167	50S ribosomal protein L23	K02892	K02892		K02892	K02893
Candidatus_sp_SZUA-1058|SZUA-1058_00250	K02886		RP-L2, MRPL2, rplB	large subunit ribosomal protein L2	05CFD@bactNOG,0QIEJ@gproNOG,16PRR@proNOG,COG0090@NOG	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity			SZUA-1058_86:2178..3002	50S ribosomal protein L2	K02886	K02886		K02886	K02938
Candidatus_sp_SZUA-1058|SZUA-1058_00251	K02965		RP-S19, rpsS	small subunit ribosomal protein S19	05K7S@bactNOG,0QS24@gproNOG,17C5Q@proNOG,COG0185@NOG	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity)			SZUA-1058_86:3012..3278	30S ribosomal protein S19	K02965	K02965		K02965	K02965
Candidatus_sp_SZUA-1058|SZUA-1058_00252	K02890		RP-L22, MRPL22, rplV	large subunit ribosomal protein L22	05KAP@bactNOG,0QS1D@gproNOG,17C3B@proNOG,COG0091@NOG	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)			SZUA-1058_86:3297..3629	50S ribosomal protein L22	K02890	K02890		K02890	K02890
Candidatus_sp_SZUA-1058|SZUA-1058_00253	K03565		recX	regulatory protein	05Y3E@bactNOG,0QVNQ@gproNOG,17K0Z@proNOG,COG2137@NOG	Modulates RecA activity (By similarity)			SZUA-1058_87:c(420..845)	Regulatory protein RecX	K03565	K03565		K03565	K03565
Candidatus_sp_SZUA-1058|SZUA-1058_00254	K03553		recA	recombination protein RecA	05C68@bactNOG,0QJ48@gproNOG,16Q80@proNOG,COG0468@NOG	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity)			SZUA-1058_87:c(820..1839)	Protein RecA	K03553	K03553	K03553	K03553	K04484
Candidatus_sp_SZUA-1058|SZUA-1058_00255	K02000	[EC:3.6.3.32]	proV	glycine betaine/proline transport system ATP-binding protein	02E7S@aproNOG,08IJ7@bactNOG,172SV@proNOG,COG4175@NOG	Glycine betaine			SZUA-1058_88:71..1051	Glycine betaine transport ATP-binding protein OpuAA	K02000	K02000		K02000	K02000
Candidatus_sp_SZUA-1058|SZUA-1058_00256	K14083	[EC:2.1.1.250]	mttB	trimethylamine---corrinoid protein Co-methyltransferase	01QTP@aproNOG,07RH3@bactNOG,17468@proNOG,COG5598@NOG	trimethylamine methyltransferase			SZUA-1058_89:c(33..1553)	Glycine betaine methyltransferase	K14083	K14083		K14083	K14083
Candidatus_sp_SZUA-1058|SZUA-1058_00257	K03079	[EC:5.1.3.22]	ulaE, sgaU, sgbU	L-ribulose-5-phosphate 3-epimerase	07UVW@bactNOG,10DHN@NOG	Xylose isomerase-like TIM barrel			SZUA-1058_90:c(1024..1878)	L-ribulose-5-phosphate 3-epimerase UlaE	K03079	K03079		K19974	
Candidatus_sp_SZUA-1058|SZUA-1058_00258	K20590	[EC:1.1.1.-]	genD2, gtmC, gntC	gentamicin A2 dehydrogenase	01RHG@aproNOG,05DDC@bactNOG,16QCS@proNOG,COG0673@NOG	Oxidoreductase			SZUA-1058_90:c(1890..2201)	hypothetical protein	K20590				K20590
Candidatus_sp_SZUA-1058|SZUA-1058_00259	K03424	[EC:3.1.21.-]	tatD	TatD DNase family protein	05F8V@bactNOG,0QINF@gproNOG,16Q01@proNOG,COG0084@NOG	hydrolase, TatD family			SZUA-1058_91:c(811..1581)	putative metal-dependent hydrolase YcfH	K03424	K03424	K03424	K03424	K03424
Candidatus_sp_SZUA-1058|SZUA-1058_00260	K03501	[EC:2.1.1.170]	gidB, rsmG	16S rRNA (guanine527-N7)-methyltransferase	05D28@bactNOG,0QIGE@gproNOG,16SA6@proNOG,COG0357@NOG	Specifically methylates the N7 position of guanine in position 527 of 16S rRNA (By similarity)			SZUA-1058_91:c(1589..2200)	Ribosomal RNA small subunit methyltransferase G	K03501	K03501		K03501	K03501
Candidatus_sp_SZUA-1058|SZUA-1058_00261	K03495		gidA, mnmG, MTO1	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	07RE5@bactNOG,0QIE9@gproNOG,16QRF@proNOG,COG0445@NOG	NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34 (By similarity)			SZUA-1058_91:c(2197..4068)	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	K03495	K03495	K03495	K03495	K03495
Candidatus_sp_SZUA-1058|SZUA-1058_00262	K01623	[EC:4.1.2.13]	ALDO	fructose-bisphosphate aldolase, class I	05WYW@bactNOG,0FK6Y@cyaNOG,COG3588@NOG	fructose-bisphosphate aldolase			SZUA-1058_91:c(4178..5239)	Fructose-bisphosphate aldolase class 1	K01623	K01623	K01623	K01623	K01623
Candidatus_sp_SZUA-1058|SZUA-1058_00263	K00873	[EC:2.7.1.40]	PK, pyk	pyruvate kinase	05CA9@bactNOG,0QHQ5@gproNOG,16PEB@proNOG,COG0469@NOG	Pyruvate kinase			SZUA-1058_91:c(5264..6709)	Pyruvate kinase II	K00873	K00873		K00873	K00873
Candidatus_sp_SZUA-1058|SZUA-1058_00264	K00927	[EC:2.7.2.3]	PGK, pgk	phosphoglycerate kinase	05BZA@bactNOG,0QI5S@gproNOG,16PB3@proNOG,COG0126@NOG	phosphoglycerate kinase			SZUA-1058_91:c(6715..7299)	Phosphoglycerate kinase	K00927	K00927		K00927	K15330
Candidatus_sp_SZUA-1058|SZUA-1058_00265	K03789	[EC:2.3.1.266]	rimI	[ribosomal protein S18]-alanine N-acetyltransferase	05KEG@bactNOG,0QTZN@gproNOG,17FWZ@proNOG,COG0456@NOG	Ribosomal-protein-alanine acetyltransferase			SZUA-1058_92:c(774..1277)	Ribosomal-protein-alanine acetyltransferase	K03789	K03789		K03789	K20794
Candidatus_sp_SZUA-1058|SZUA-1058_00266	K01754	[EC:4.3.1.19]	E4.3.1.19, ilvA, tdcB	threonine dehydratase	05C7B@bactNOG,0QKB1@gproNOG,16QMI@proNOG,COG1171@NOG	Threonine dehydratase			SZUA-1058_92:c(1216..1656)	L-threonine dehydratase biosynthetic IlvA	K01754	K01754		K01754	K17989
Candidatus_sp_SZUA-1058|SZUA-1058_00267	K06194		nlpD	lipoprotein NlpD	05XZZ@bactNOG,0BET8@bproNOG,121TR@NOG,17FWE@proNOG	Inherit from proNOG: membrAne			SZUA-1058_93:c(101..751)	hypothetical protein	K06194			K06194	
Candidatus_sp_SZUA-1058|SZUA-1058_00268	K02017	[EC:3.6.3.29]	modC	molybdate transport system ATP-binding protein	05CGB@bactNOG,0B97X@bproNOG,16PWU@proNOG,COG4148@NOG	Part of the ABC transporter complex ModABC involved in molybdenum import. Responsible for energy coupling to the transport system (By similarity)			SZUA-1058_93:c(757..1818)	Sulfate/thiosulfate import ATP-binding protein CysA	K02017	K02017		K02017	
Candidatus_sp_SZUA-1058|SZUA-1058_00269	K02018		modB	molybdate transport system permease protein					SZUA-1058_93:c(1818..1934)	hypothetical protein	K02018	K02018			
Candidatus_sp_SZUA-1058|SZUA-1058_00270	K15580		oppA, mppA	oligopeptide transport system substrate-binding protein	01SNT@aproNOG,07QSI@bactNOG,16Q4S@proNOG,COG4166@NOG	Extracellular solute-binding protein, family 5			SZUA-1058_94:43..447	Periplasmic murein peptide-binding protein	K15580	K15580		K02035	K16199
Candidatus_sp_SZUA-1058|SZUA-1058_00271	K15581		oppB	oligopeptide transport system permease protein	01QES@aproNOG,05CJM@bactNOG,16PNR@proNOG,COG0601@NOG	Binding-protein-dependent transport systems inner membrane component			SZUA-1058_94:548..1471	Oligopeptide transport system permease protein OppB	K15581	K15581		K02033	K19227
Candidatus_sp_SZUA-1058|SZUA-1058_00272	K15582		oppC	oligopeptide transport system permease protein	05C2T@bactNOG,0QKEB@gproNOG,16R8W@proNOG,COG1173@NOG	Permease protein			SZUA-1058_94:1478..2410	Oligopeptide transport system permease protein OppC	K15582	K15582	K15582	K02034	K19228
Candidatus_sp_SZUA-1058|SZUA-1058_00273	K01950	[EC:6.3.5.1]	E6.3.5.1, NADSYN1, QNS1, nadE	NAD+ synthase (glutamine-hydrolysing)	05C4K@bactNOG,0QJYR@gproNOG,16PJ8@proNOG,COG0171@NOG,COG0388@NOG	NAD synthetase			SZUA-1058_95:c(95..1972)	Glutamine-dependent NAD(+) synthetase	K01950	K01950		K01916	K20806
Candidatus_sp_SZUA-1058|SZUA-1058_00274	K03852	[EC:2.3.3.15]	xsc	sulfoacetaldehyde acetyltransferase	05HM0@bactNOG,16R0N@proNOG,COG0028@NOG	Sulfoacetaldehyde acetyltransferase			SZUA-1058_96:4..495	Sulfoacetaldehyde acetyltransferase	K03852	K03852		K00158	K21428
Candidatus_sp_SZUA-1058|SZUA-1058_00275					08UM8@bactNOG,0QR1V@gproNOG,17CQG@proNOG,COG3803@NOG	Bacterial protein of unknown function (DUF924)			SZUA-1058_96:574..1113	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00276	K01638	[EC:2.3.3.9]	aceB, glcB	malate synthase	01REQ@aproNOG,07QP3@bactNOG,16PKH@proNOG,COG2225@NOG	malate synthase g			SZUA-1058_96:c(1119..2408)	Malate synthase G	K01638	K01638		K01638	K01638
Candidatus_sp_SZUA-1058|SZUA-1058_00277	K09022	[EC:3.5.99.10]	ridA, tdcF, RIDA	2-iminobutanoate/2-iminopropanoate deaminase	05KME@bactNOG,0QS30@gproNOG,17FRN@proNOG,COG0251@NOG	endoribonuclease L-PSP			SZUA-1058_97:c(1854..2261)	Putative reactive intermediate deaminase TdcF	K09022			K09022	K09022
