#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00001	K03892		arsR	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	00P00@actNOG,05NK3@bactNOG,COG0640@NOG	transcriptional regulator, ArsR family			SZUA-1093_1:1101..1487	HTH-type transcriptional repressor CzrA	K03892			K03892	K22043
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00462	K04518	[EC:4.2.1.51]	pheA2	prephenate dehydratase	05CQC@bactNOG,0D258@chloNOG,COG0077@NOG	Prephenate dehydratase			SZUA-1093_59:c(5145..5981)	Prephenate dehydratase	K04518	K04518	K04518	K04518	K19546
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00463	K03499		trkA, ktrA	trk system potassium uptake protein	05C1A@bactNOG,COG0569@NOG	potassium transporter peripheral membrane			SZUA-1093_59:c(5981..6409)	Trk system potassium uptake protein TrkA	K03499	K03499		K03499	K03499
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00464	K03499		trkA, ktrA	trk system potassium uptake protein	07VEG@bactNOG,0D2G0@chloNOG,COG0569@NOG	TrkA-N domain protein			SZUA-1093_59:c(6416..6862)	hypothetical protein	K03499	K03499		K03499	K03499
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00465					063IP@bactNOG,0D30M@chloNOG,0G7BW@dehNOG,12D31@NOG	Universal stress			SZUA-1093_59:c(6892..7284)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00466	K03499		trkA, ktrA	trk system potassium uptake protein	07ZYR@bactNOG,0EQTJ@cloNOG,0NE6U@firmNOG,COG0569@NOG	domain protein			SZUA-1093_59:c(7431..8123)	Ktr system potassium uptake protein A	K03499	K03499	K03499	K03499	K03499
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00467	K03498		trkH, trkG, ktrB	trk system potassium uptake protein	05CZN@bactNOG,0D2K7@chloNOG,COG0168@NOG	H( )-transporting two-sector ATPase			SZUA-1093_59:c(8164..9591)	Ktr system potassium uptake protein B	K03498	K03498		K03498	K03498
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00468	K03189		ureG	urease accessory protein	01QS7@aproNOG,05E8T@bactNOG,16RW3@proNOG,COG0378@NOG	Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG (By similarity)			SZUA-1093_60:c(157..798)	Urease accessory protein UreG	K03189	K03189	K03189	K03189	K04652
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00469	K03188		ureF	urease accessory protein	01Y30@aproNOG,08YH3@bactNOG,17C51@proNOG,COG0830@NOG	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter (By similarity)			SZUA-1093_60:c(795..1487)	Urease accessory protein UreF	K03188	K03188		K03188	K03188
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00470	K01428	[EC:3.5.1.5]	ureC	urease subunit alpha	01RUK@aproNOG,05CQM@bactNOG,16PY0@proNOG,COG0804@NOG	Urea amidohydrolase subunit alpha			SZUA-1093_60:c(1492..3201)	Urease subunit alpha 1	K01428	K01428	K01428	K01428	K01428
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00471	K14048	[EC:3.5.1.5]	ureAB	urease subunit gamma/beta	01YBI@aproNOG,08YZ9@bactNOG,17C8M@proNOG,COG0831@NOG,COG0832@NOG	Urea amidohydrolase subunit gamma			SZUA-1093_60:c(3205..3831)	Urease subunit alpha	K14048	K14048	K14048	K01430	K14048
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00472	K03190		ureD, ureH	urease accessory protein	01VTE@aproNOG,08M9X@bactNOG,1798E@proNOG,COG0829@NOG	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter (By similarity)			SZUA-1093_60:c(3850..4572)	Urease accessory protein UreD	K03190	K03190		K03190	K03190
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00473	K01750	[EC:4.3.1.12]	E4.3.1.12, ocd	ornithine cyclodeaminase	06PUJ@bactNOG,0GCEI@delNOG,0HDXV@dproNOG,1740S@proNOG,COG2423@NOG	Ornithine cyclodeaminase			SZUA-1093_60:c(4709..5395)	Delta(1)-pyrroline-2-carboxylate reductase	K01750			K01750	K21721
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00474	K02033		ABC.PE.P	peptide/nickel transport system permease protein	05CJM@bactNOG,0D45Q@chloNOG,COG0601@NOG	binding-protein-dependent transport systems inner membrane component			SZUA-1093_61:336..1274	Dipeptide transport system permease protein DppB	K02033	K02033		K02033	K19227
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00475	K02034		ABC.PE.P1	peptide/nickel transport system permease protein	04T44@bacNOG,05C2T@bactNOG,0NF1N@firmNOG,COG1173@NOG	binding-protein-dependent transport systems inner membrane component			SZUA-1093_61:1285..2364	Glutathione transport system permease protein GsiD	K02034	K02034		K02034	K19228
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00476									SZUA-1093_61:2536..3069	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00477					086PY@bactNOG,0D5KA@chloNOG,0ZZCP@NOG	Protein of unknown function (DUF2723)			SZUA-1093_62:40..1566	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00478	K21226		kedN4	acyl-CoA N-acyltransferase	05VRF@bactNOG,0ERFQ@cloNOG,0NG5W@firmNOG,COG4552@NOG	acetyltransferase			SZUA-1093_62:1667..2833	N-acetyltransferase Eis	K21226				K21226
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00479	K00052	[EC:1.1.1.85]	leuB, IMDH	3-isopropylmalate dehydrogenase					SZUA-1093_62:c(2855..3016)	3-isopropylmalate dehydrogenase	K00052	K00052			
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00480	K21883	[EC:1.1.1.401]	lra5	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)	05H05@bactNOG,0D53N@chloNOG,COG1028@NOG	Short-chain dehydrogenase reductase SDR			SZUA-1093_63:58..807	3-oxoacyl-[acyl-carrier-protein] reductase	K21883				K21883
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00481	K06979		mph	macrolide phosphotransferase	01RXD@aproNOG,05M31@bactNOG,175H2@proNOG,COG3173@NOG	Aminoglycoside phosphotransferase			SZUA-1093_63:c(889..1284)	hypothetical protein	K06979				K06979
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00482	K12503	[EC:2.5.1.68]	E2.5.1.68	short-chain Z-isoprenyl diphosphate synthase	00BUA@actNOG,05CR3@bactNOG,COG0020@NOG	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids (By similarity)			SZUA-1093_63:c(1384..2007)	(2Z,6E)-farnesyl diphosphate synthase	K12503	K12503		K00806	K21273
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00483	K07046	[EC:3.1.1.-]	K07046	L-fuconolactonase	07S7A@bactNOG,16RWY@proNOG,COG3618@NOG	amidohydrolase			SZUA-1093_63:c(2377..3390)	hypothetical protein	K07046			K07046	K18982
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00484	K07263	[EC:3.4.24.-]	pqqL	zinc protease	05C1V@bactNOG,0D1A8@chloNOG,COG0612@NOG	Peptidase M16 domain protein			SZUA-1093_64:61..1350	putative zinc protease	K07263				K07263
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00485	K07157		K07157	uncharacterized protein	07TRC@bactNOG,0D2P0@chloNOG,0D6H9@chlorNOG,COG2802@NOG	Peptidase S16 lon domain protein			SZUA-1093_64:1418..2068	Lon protease 2	K07157	K07157		K01338	K07157
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00486	K02016		ABC.FEV.S	iron complex transport system substrate-binding protein	05JKQ@bactNOG,0D2F6@chloNOG,COG0614@NOG	periplasmic binding protein			SZUA-1093_64:c(2122..3039)	High-affinity heme uptake system protein IsdE	K02016	K02016		K02016	K21701
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00487	K05825	[EC:2.6.1.-]	LYSN	2-aminoadipate transaminase	0KRIF@eurNOG,1CCKS@theNOG,COG1167@NOG,arCOG00492@arNOG	Aminotransferase class I and II			SZUA-1093_64:c(3129..3932)	2-aminoadipate transaminase	K05825	K05825		K05825	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00488	K03546		sbcC, rad50	DNA repair protein SbcC/Rad50	07U3T@bactNOG,0D1PJ@chloNOG,0D6WP@chlorNOG,COG0419@NOG	SMC domain-containing protein			SZUA-1093_65:22..3156	Nuclease SbcCD subunit C	K03546	K03546		K03546	K19171
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00489	K03207	[EC:3.6.1.-]	wcaH	colanic acid biosynthesis protein WcaH	COG1051@NOG	NUDiX hydrolase			SZUA-1093_65:c(3216..3536)	hypothetical protein	K03207			K03207	K19965
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00490	K00329	[EC:1.6.5.3]	E1.6.5.3	NADH dehydrogenase	08RWB@bactNOG,0GE9K@delNOG,0HF6I@dproNOG,178IG@proNOG,COG0702@NOG	NmrA-like family			SZUA-1093_65:3704..4069	hypothetical protein	K00329			K00329	K20432
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00491	K00329	[EC:1.6.5.3]	E1.6.5.3	NADH dehydrogenase	07TPM@bactNOG,COG0702@NOG	3-beta hydroxysteroid dehydrogenase/isomerase family			SZUA-1093_65:4088..4621	hypothetical protein	K00329			K00329	K20432
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00492	K01029	[EC:2.8.3.5]	E2.8.3.5B, scoB	3-oxoacid CoA-transferase subunit B	08IIH@bactNOG,0GSXZ@delNOG,172S8@proNOG,COG2057@NOG	subunit b			SZUA-1093_65:c(4664..5329)	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B	K01029	K01029		K01029	K01035
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00493	K01028	[EC:2.8.3.5]	E2.8.3.5A, scoA	3-oxoacid CoA-transferase subunit A	04TDA@bacNOG,05D6N@bactNOG,0NHAQ@firmNOG,COG1788@NOG	subunit a			SZUA-1093_65:c(5383..6090)	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A	K01028	K01028		K01028	K01034
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00494					06048@bactNOG,124BF@NOG,17P8U@proNOG	Cupin 2, conserved barrel domain protein			SZUA-1093_65:c(6176..6502)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00495	K00302	[EC:1.5.3.1]	soxA	sarcosine oxidase, subunit alpha	05P5G@bactNOG,0EP3E@cloNOG,0NDER@firmNOG,COG0446@NOG	pyridine nucleotide-disulfide oxidoreductase			SZUA-1093_65:c(6530..7675)	Ferredoxin--NADP reductase	K00302			K00302	K21833
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00496					05GRK@bactNOG,0R2J2@gproNOG,11NHI@NOG,17HCF@proNOG	Gcn5-related n-acetyltransferase			SZUA-1093_65:7751..8218	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00497	K00058	[EC:1.1.1.95][EC:1.1.1.399]	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	08RMZ@bactNOG,COG0111@NOG	D-isomer specific 2-hydroxyacid dehydrogenase			SZUA-1093_65:c(8443..9408)	Glycerate dehydrogenase	K00058			K00058	K16843
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00498	K10778	[EC:2.1.1.63]	ada	AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase	01RB8@aproNOG,05K85@bactNOG,17FJB@proNOG,COG0350@NOG,COG2169@NOG	Methyltransferase			SZUA-1093_65:c(9945..10235)	Bifunctional transcriptional activator/DNA repair enzyme Ada	K10778	K10778		K00567	K13530
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00499	K10778	[EC:2.1.1.63]	ada	AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase	01RB8@aproNOG,05K85@bactNOG,17FJB@proNOG,COG0350@NOG,COG2169@NOG	Methyltransferase			SZUA-1093_65:c(10232..10564)	Bifunctional transcriptional activator/DNA repair enzyme Ada	K10778	K10778		K00567	K13530
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00500	K03636		moaD, cysO	sulfur-carrier protein	06G8U@bactNOG,0Y8EX@NOG,155I4@plaNOG	ThiS family			SZUA-1093_66:57..323	Sulfur carrier protein CysO	K03636	K03636			
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00501	K01714	[EC:4.3.3.7]	dapA	4-hydroxy-tetrahydrodipicolinate synthase	01V41@aproNOG,05CDP@bactNOG,16TC3@proNOG,COG0329@NOG	Dihydrodipicolinate synthase			SZUA-1093_66:628..1551	4-hydroxy-tetrahydrodipicolinate synthase	K01714	K01714		K01639	K21062
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00502	K01175	[EC:3.1.-.-]	ybfF	esterase	01SYK@aproNOG,05EV9@bactNOG,16RM9@proNOG,COG0596@NOG	Alpha Beta			SZUA-1093_66:1548..2426	Tropinesterase	K01175			K01175	K21821
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00503					05JCD@bactNOG,09G5V@bctoNOG,1AM5V@sphNOG,COG4447@NOG	BNR/Asp-box repeat			SZUA-1093_66:c(2638..3714)	Ycf48-like protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00504	K02033		ABC.PE.P	peptide/nickel transport system permease protein	07R3P@bactNOG,16QBX@proNOG,COG0601@NOG	oligopeptide ABC transporter, permease protein			SZUA-1093_67:15..248	hypothetical protein	K02033	K02033		K02033	K19227
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00505	K02034		ABC.PE.P1	peptide/nickel transport system permease protein	05C2T@bactNOG,COG1173@NOG	Binding-protein-dependent transport systems, inner membrane component			SZUA-1093_67:252..1391	Oligopeptide transport system permease protein OppC	K02034	K02034		K02034	K19228
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00506	K02031		ABC.PE.A	peptide/nickel transport system ATP-binding protein	05C3U@bactNOG,COG0444@NOG	ABC transporter			SZUA-1093_67:1410..2447	Dipeptide transport ATP-binding protein DppD	K02031	K02031		K02031	K19229
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00507	K02032		ABC.PE.A1	peptide/nickel transport system ATP-binding protein	08JQ7@bactNOG,COG4608@NOG	(ABC) transporter			SZUA-1093_67:2448..3497	Oligopeptide transport ATP-binding protein OppF	K02032	K02032		K02032	K10823
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00508									SZUA-1093_67:3619..4176	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00509									SZUA-1093_67:c(4133..4333)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00510					07MZC@bactNOG,0NXJP@firmNOG,COG5267@NOG	Protein of unknown function (DUF1800)			SZUA-1093_67:5818..7224	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00511					0M1ZV@eurNOG,0WPKS@methaNOG,COG3391@NOG,arCOG02510@arNOG,arCOG03561@arNOG,arCOG03563@arNOG,arCOG03611@arNOG	NHL repeat			SZUA-1093_67:7239..8270	Serine/threonine-protein kinase PknD					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00512	K00108	[EC:1.1.99.1]	betA, CHDH	choline dehydrogenase	00CMY@actNOG,05CZ6@bactNOG,COG2303@NOG	Choline dehydrogenase			SZUA-1093_67:c(8535..8711)	Oxygen-dependent choline dehydrogenase	K00108			K00108	K21166
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00513									SZUA-1093_67:c(8930..9109)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00514	K00064	[EC:1.1.1.122]	E1.1.1.122	D-threo-aldose 1-dehydrogenase	04ZP8@bacNOG,07B4W@bactNOG,0NN8Z@firmNOG,COG0667@NOG	Aldo keto reductase			SZUA-1093_67:c(9386..10318)	Aldo-keto reductase IolS	K00064			K00064	K21334
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00515									SZUA-1093_67:c(10907..11026)	4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00516	K07493		K07493	putative transposase	060PF@bactNOG,COG3328@NOG	Transposase			SZUA-1093_67:c(11511..11759)	hypothetical protein	K07493				K07493
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00517	K01560	[EC:3.8.1.2]	E3.8.1.2	2-haloacid dehalogenase	00IUI@actNOG,08R3G@bactNOG,COG1011@NOG	haloacid dehalogenase, type II			SZUA-1093_68:c(540..1256)	(S)-2-haloacid dehalogenase 4A	K01560	K01560		K01560	K21063
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00518	K05799		pdhR	GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex	073TP@bactNOG,0GF6V@delNOG,0HG6U@dproNOG,16SSY@proNOG,COG2186@NOG	GntR family transcriptional regulator			SZUA-1093_68:1436..2176	HTH-type transcriptional regulator LutR	K05799	K05799	K05799	K05799	K19776
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00519	K01468	[EC:3.5.2.7]	hutI, AMDHD1	imidazolonepropionase	04S62@bacNOG,0604Q@bactNOG,0NFIA@firmNOG,COG1228@NOG	amidohydrolase			SZUA-1093_69:124..612	Imidazolonepropionase	K01468				K01468
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00520									SZUA-1093_69:c(457..930)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00521	K03153	[EC:1.4.3.19]	thiO	glycine oxidase	08JPK@bactNOG,0F7DB@cloNOG,0P6P3@firmNOG,COG0665@NOG	FAD dependent oxidoreductase			SZUA-1093_69:c(1154..2350)	Glycine oxidase	K03153			K03153	K21061
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00522	K01053	[EC:3.1.1.17]	E3.1.1.17, gnl, RGN	gluconolactonase	05E7N@bactNOG,COG3386@NOG	gluconolactonase (EC 3.1.1.17)			SZUA-1093_69:c(2473..3372)	Gluconolactonase	K01053	K01053			K13874
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00523	K02510	[EC:4.1.2.52]	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase	07YN3@bactNOG,09CXQ@bctoNOG,0FV0I@cytNOG,COG3836@NOG	HpcH HpaI aldolase			SZUA-1093_69:c(3425..4252)	2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase	K02510	K02510		K02510	K12660
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00524									SZUA-1093_69:4543..5166	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00525									SZUA-1093_69:c(5181..6281)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00526	K06897	[EC:2.5.1.105]	K06897	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase	07Y6N@bactNOG,COG1237@NOG	Metallo-beta-lactamase superfamily			SZUA-1093_69:6883..7869	Ribonuclease BN	K06897	K06897		K06897	K06897
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00527					07VUG@bactNOG,0R10R@gproNOG,0Y3ZC@NOG,176NW@proNOG	Major Facilitator			SZUA-1093_69:7872..9083	putative L-galactonate transporter					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00528	K01684	[EC:4.2.1.6]	dgoD	galactonate dehydratase	01SCD@aproNOG,05CXK@bactNOG,16QS0@proNOG,COG4948@NOG	mandelate racemase muconate lactonizing			SZUA-1093_69:9162..10265	L-talarate/galactarate dehydratase	K01684			K01684	K21624
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00529					053Q7@bacNOG,061J4@bactNOG,0NFST@firmNOG,0XRWU@NOG	Major Facilitator Superfamily			SZUA-1093_69:10385..11791	putative sulfoacetate transporter SauU					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00530	K21835	[EC:1.1.98.5]	adf	secondary-alcohol dehydrogenase (coenzyme-F420)	07B9R@bactNOG,COG2141@NOG	Luciferase family			SZUA-1093_69:11877..12749	hypothetical protein	K21835				K21835
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00531					07RTY@bactNOG,0XTIR@NOG	nhl repeat containing protein			SZUA-1093_69:12908..13927	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00532	K16422	[EC:1.1.3.46]	hmo, nocN	4-hydroxymandelate oxidase	05DMF@bactNOG,0FM15@cyaNOG,COG1304@NOG	Alpha-hydroxy acid dehydrogenase			SZUA-1093_69:c(13958..15040)	4-hydroxymandelate oxidase	K16422	K16422		K00101	K10530
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00533					00GAW@actNOG,05M5G@bactNOG,0Z5ZJ@NOG	N5,N10-methylenetetrahydromethanopterin reductase-related protein			SZUA-1093_69:c(15082..15759)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00534									SZUA-1093_70:346..522	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00535									SZUA-1093_70:519..794	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00536									SZUA-1093_70:849..1385	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00537	K01915	[EC:6.3.1.2]	glnA, GLUL	glutamine synthetase	05C5F@bactNOG,0D1H3@chloNOG,0G6ZH@dehNOG,COG0174@NOG	glutamine synthetase, type I			SZUA-1093_70:c(1382..2716)	Glutamine synthetase	K01915	K01915	K01915	K01915	K20712
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00538	K01915	[EC:6.3.1.2]	glnA, GLUL	glutamine synthetase	00GNM@actNOG,07R5B@bactNOG,COG0174@NOG	glutamine synthetase			SZUA-1093_70:c(3292..4290)	Glutamine synthetase	K01915	K01915	K01915	K01915	K20712
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00539									SZUA-1093_70:c(4711..4806)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00540	K00087	[EC:1.17.1.4]	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit	01QRF@aproNOG,05C7W@bactNOG,16PWW@proNOG,COG1529@NOG	Aldehyde oxidase and xanthine dehydrogenase, molybdopterin binding			SZUA-1093_71:19..1386	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA	K00087	K00087		K00087	K21673
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00541	K11178	[EC:1.17.1.4]	yagS	xanthine dehydrogenase YagS FAD-binding subunit	05DIP@bactNOG,0GF0X@delNOG,0HG0T@dproNOG,16Q2R@proNOG,COG1319@NOG	Molybdopterin dehydrogenase			SZUA-1093_71:1383..2363	Putative xanthine dehydrogenase YagS FAD-binding subunit	K11178	K11178		K03519	K20445
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00542									SZUA-1093_71:c(2546..2956)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00543	K19552		bacE	MFS transporter, DHA3 family, bacilysin exporter BacE	07U67@bactNOG,16UN5@proNOG,COG0477@NOG	Major facilitator superfamily			SZUA-1093_72:3..308	hypothetical protein	K19552				K19552
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00544					00PZ9@actNOG,061T2@bactNOG,126NR@NOG	Domain of unknown function (DUF385)			SZUA-1093_72:348..728	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00545	K03524	[EC:6.3.4.15]	birA	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase	07SSC@bactNOG,0D2V3@chloNOG,0G774@dehNOG,COG0340@NOG	Biotin-acetyl-CoA-carboxylase ligase			SZUA-1093_72:762..1538	Bifunctional ligase/repressor BirA	K03524	K03524		K03524	K03524
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00546	K00065	[EC:1.1.1.127]	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	04UMZ@bacNOG,05CHR@bactNOG,0NE3E@firmNOG,0XNW1@NOG	Short chain dehydrogenase			SZUA-1093_72:1641..2447	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	K00065	K00065		K00046	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00547	K00065	[EC:1.1.1.127]	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	04RC2@bacNOG,05CHR@bactNOG,0NE3E@firmNOG,0XNW1@NOG	Short-chain dehydrogenase reductase sdr			SZUA-1093_72:2532..3290	3-oxoacyl-[acyl-carrier-protein] reductase FabG	K00065			K00065	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00548	K09131		K09131	uncharacterized protein	02G4R@aquNOG,086YC@bactNOG,COG1872@NOG	UPF0235 protein			SZUA-1093_72:3306..3566	hypothetical protein	K09131	K09131	K09131	K09131	K09131
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00549					08MKA@bactNOG,0XT5K@NOG				SZUA-1093_72:3610..4608	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00550	K02221		yggT	YggT family protein	07ZGD@bactNOG,0D3F5@chloNOG,0D8KR@chlorNOG,COG0762@NOG	YGGT family			SZUA-1093_72:c(4624..4893)	hypothetical protein	K02221	K02221		K02221	K02221
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00551	K00286	[EC:1.5.1.2]	proC	pyrroline-5-carboxylate reductase	05II7@bactNOG,COG0345@NOG	pyrroline-5-carboxylate reductase			SZUA-1093_72:c(4897..5697)	Pyrroline-5-carboxylate reductase	K00286	K00286	K00286	K00286	K02239
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00552	K22024	[EC:1.1.1.408][EC:1.1.1.409]	pdxA2	4-phospho-D-threonate 3-dehydrogenase / 4-phospho-D-erythronate 3-dehydrogenase	05CEZ@bactNOG,0QI7S@gproNOG,16PUS@proNOG,COG1995@NOG	Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP) (By similarity)			SZUA-1093_72:c(5742..6752)	D-erythronate 4-phosphate dehydrogenase	K22024	K22024	K22024	K00097	K22024
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00553									SZUA-1093_73:792..1277	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00554	K03392	[EC:4.1.1.45]	ACMSD	aminocarboxymuconate-semialdehyde decarboxylase	01WBN@aproNOG,087KV@bactNOG,1779V@proNOG,COG2159@NOG	Amidohydrolase			SZUA-1093_73:c(1835..2908)	hypothetical protein	K03392	K03392		K03392	K20941
