#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00001	K00344	[EC:1.6.5.5]	qor, CRYZ	NADPH2:quinone reductase	05EE6@bactNOG,0D4HV@chloNOG,COG0604@NOG	Alcohol dehydrogenase zinc-binding domain protein			SZUA-1128_1:c(145..1113)	Quinone oxidoreductase 1	K00344	K00344		K00344	K21839
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00350					02U1Y@arNOG,0ZVZD@NOG	Major Facilitator			SZUA-1128_115:2395..3663	Fosmidomycin resistance protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00351									SZUA-1128_115:c(4325..4681)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00352									SZUA-1128_116:44..268	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00353	K00333	[EC:1.6.5.3]	nuoD	NADH-quinone oxidoreductase subunit D	05CQV@bactNOG,0D1K9@chloNOG,0G73Q@dehNOG,COG0649@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1128_116:c(442..1527)	NADH-quinone oxidoreductase subunit 4	K00333	K00333		K00333	K13380
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00354	K00332	[EC:1.6.5.3]	nuoC	NADH-quinone oxidoreductase subunit C	05CYU@bactNOG,0D2ZU@chloNOG,0G7D9@dehNOG,COG0852@NOG	proton-translocating NADH-quinone oxidoreductase, C subunit			SZUA-1128_116:c(1630..2076)	NADH-quinone oxidoreductase chain 5	K00332	K00332		K00332	K13380
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00355	K00331	[EC:1.6.5.3]	nuoB	NADH-quinone oxidoreductase subunit B	05ES3@bactNOG,0D2P3@chloNOG,0G6TR@dehNOG,COG0377@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1128_116:c(2076..2702)	NADH-quinone oxidoreductase subunit B	K00331	K00331		K00331	K13380
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00356	K01692	[EC:4.2.1.17]	paaF, echA	enoyl-CoA hydratase	05D8U@bactNOG,0XPNC@NOG	Enoyl-CoA hydratase			SZUA-1128_117:32..757	Crotonyl-CoA hydratase	K01692			K01692	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00357	K00042	[EC:1.1.1.60]	garR, glxR	2-hydroxy-3-oxopropionate reductase	05CF3@bactNOG,0GC1Q@delNOG,0I5PB@eproNOG,16QDI@proNOG,COG2084@NOG	NADP oxidoreductase coenzyme F420-dependent			SZUA-1128_117:c(831..1727)	2-hydroxy-3-oxopropionate reductase	K00042		K00042	K00020	K22026
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00358									SZUA-1128_118:120..359	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00359	K06168	[EC:2.8.4.3]	miaB	tRNA-2-methylthio-N6-dimethylallyladenosine synthase	05CIW@bactNOG,0D1RN@chloNOG,COG0621@NOG	Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine (By similarity)			SZUA-1128_118:c(466..1746)	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	K06168	K06168		K06168	K18707
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00362					02DZK@aproNOG,08HGF@bactNOG,0XS0X@NOG,17279@proNOG	NHL repeat			SZUA-1128_119:c(189..1106)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00363	K01053	[EC:3.1.1.17]	E3.1.1.17, gnl, RGN	gluconolactonase	05CYF@bactNOG,0D32P@chloNOG,COG3386@NOG	SMP-30/Gluconolaconase/LRE-like region			SZUA-1128_119:c(1180..2070)	Gluconolactonase	K01053	K01053		K01053	K13874
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00364	K06034	[EC:4.1.1.79]	comD	sulfopyruvate decarboxylase subunit alpha	08T2N@bactNOG,COG4032@NOG	Sulfopyruvate decarboxylase			SZUA-1128_120:130..642	hypothetical protein	K06034	K06034		K06034	K06034
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00365	K13039	[EC:4.1.1.79]	comE	sulfopyruvate decarboxylase subunit beta	05DTI@bactNOG,COG0028@NOG	Phosphonopyruvate decarboxylase			SZUA-1128_120:642..1217	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	K13039	K13039		K09459	K21428
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00366	K01042	[EC:2.9.1.1]	selA	L-seryl-tRNA(Ser) seleniumtransferase	0KU5Z@eurNOG,0RGJC@halNOG,COG1921@NOG,arCOG07389@arNOG	L-seryl-tRNA selenium transferase			SZUA-1128_120:1283..2422	D-glucosaminate-6-phosphate ammonia lyase	K01042	K01042		K01042	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00367	K00077	[EC:1.1.1.169]	panE, apbA	2-dehydropantoate 2-reductase	07WF6@bactNOG,1ANXE@spiNOG,COG1893@NOG	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid (By similarity)			SZUA-1128_121:c(59..1108)	hypothetical protein	K00077	K00077		K00077	K17665
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00368	K00058	[EC:1.1.1.95][EC:1.1.1.399]	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	08JQ1@bactNOG,0D60M@chloNOG,0G7IM@dehNOG,COG0111@NOG	D-3-phosphoglycerate dehydrogenase			SZUA-1128_121:c(1327..2013)	D-3-phosphoglycerate dehydrogenase	K00058	K00058		K00058	K16843
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00369					08F17@bactNOG,0BR7X@bproNOG,171E6@proNOG,COG3899@NOG,COG3903@NOG	CYCc			SZUA-1128_122:59..310	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00370									SZUA-1128_122:c(403..573)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00371									SZUA-1128_122:805..1116	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00372	K21375	[EC:1.3.3.13]	albA	albonoursin synthase	083F7@bactNOG,0D3BD@chloNOG,COG0778@NOG	nitroreductase			SZUA-1128_122:c(1126..1641)	5,6-dimethylbenzimidazole synthase	K21375				K21375
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00373	K11477		glcG	glc operon protein GlcG	00PU4@actNOG,05FJI@bactNOG,COG3193@NOG	Domain of unknown function (DUF336)			SZUA-1128_122:c(1830..2231)	hypothetical protein	K11477				K11477
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00374	K05708	[EC:1.14.12.19]	hcaE, hcaA1	3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha	01RAC@aproNOG,05FUY@bactNOG,16QQ2@proNOG,COG4638@NOG	alpha subunit			SZUA-1128_122:c(2333..3316)	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha	K05708	K05708		K03268	K21724
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00375					1017J@NOG	Major Facilitator superfamily			SZUA-1128_123:c(169..1449)	Fosmidomycin resistance protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00376									SZUA-1128_123:c(1791..1886)	Oxygen-dependent choline dehydrogenase					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00377									SZUA-1128_124:21..212	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00378					05SD9@bactNOG,11X9C@NOG	3-dehydroquinate dehydratase			SZUA-1128_124:c(932..1345)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00379	K18613	[EC:4.1.1.51]	K18613	3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase	01XJ1@aproNOG,08S8N@bactNOG,178TV@proNOG,COG0235@NOG	Class II aldolase			SZUA-1128_124:c(1352..2059)	4-hydroxy-3-prenylphenylpyruvate oxygenase/4-hydroxy-3-prenylbenzoate synthase	K18613		K18613	K10622	K18847
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00380	K00077	[EC:1.1.1.169]	panE, apbA	2-dehydropantoate 2-reductase	084M5@bactNOG,0QWE8@gproNOG,16RVE@proNOG,COG1893@NOG	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid (By similarity)			SZUA-1128_125:44..313	hypothetical protein	K00077	K00077		K00077	K17665
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00381	K01892	[EC:6.1.1.21]	HARS, hisS	histidyl-tRNA synthetase	05CUT@bactNOG,0D1S9@chloNOG,0G73F@dehNOG,COG0124@NOG	histidyl-tRNA synthetase (EC 6.1.1.21)			SZUA-1128_125:603..1919	Histidine--tRNA ligase	K01892	K01892		K01892	K01892
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00382									SZUA-1128_125:c(1951..2283)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00383									SZUA-1128_125:2402..2863	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00384									SZUA-1128_125:3098..3334	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00385	K07130	[EC:3.5.1.9]	kynB	arylformamidase	06IPI@bactNOG,0FRFY@cyaNOG,COG1878@NOG	Putative cyclase			SZUA-1128_125:3385..4125	Kynurenine formamidase	K07130				K07130
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00386	K11477		glcG	glc operon protein GlcG	00NDN@actNOG,05YR8@bactNOG,COG3193@NOG	Domain of unknown function (DUF336)			SZUA-1128_125:c(4221..4616)	hypothetical protein	K11477				K11477
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00387	K06934		K06934	uncharacterized protein	080XJ@bactNOG,0GENR@delNOG,0HFMP@dproNOG,11PPS@NOG,17E7P@proNOG	Domain of unknown function (DUF296)			SZUA-1128_126:225..632	hypothetical protein	K06934			K06934	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00388	K01912	[EC:6.2.1.30]	paaK	phenylacetate-CoA ligase	05DZS@bactNOG,0GAQR@delNOG,0HBZI@dproNOG,16RB4@proNOG,COG1541@NOG	phenylacetate-CoA ligase			SZUA-1128_127:242..1561	Phenylacetate-coenzyme A ligase	K01912	K01912		K01912	K21179
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00389	K01715	[EC:4.2.1.17]	crt	enoyl-CoA hydratase	06YT9@bactNOG,16Q6W@proNOG,COG1024@NOG	Enoyl-CoA hydratase			SZUA-1128_127:1608..2417	putative enoyl-CoA hydratase echA8	K01715	K01715		K01692	K20765
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00390	K00185		K00185	prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit	05F4M@bactNOG,0D20T@chloNOG,COG5557@NOG	Polysulphide reductase NrfD			SZUA-1128_128:32..1237	hypothetical protein	K00185	K00185		K00185	K00185
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00391					0865C@bactNOG,0D5Q1@chloNOG,0XVMZ@NOG	Protein of unknown function (DUF3341)			SZUA-1128_128:1325..1834	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00392					05HU8@bactNOG,0D3C6@chloNOG,11F91@NOG	Inherit from bactNOG: cytochrome C			SZUA-1128_128:1861..2412	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00393	K01560	[EC:3.8.1.2]	E3.8.1.2	2-haloacid dehalogenase	05MZ2@bactNOG,0FQYY@cyaNOG,COG1011@NOG	Haloacid dehalogenase, type II			SZUA-1128_128:2488..3189	(S)-2-haloacid dehalogenase	K01560	K01560	K01560	K01560	K21063
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00394	K02200		ccmH	cytochrome c-type biogenesis protein CcmH	05KWW@bactNOG,0G8Y1@deiNOG,COG3088@NOG	cytochrome c biogenesis protein			SZUA-1128_128:3263..3877	Cytochrome c-type biogenesis protein CcmH	K02200	K02200		K02200	K04017
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00395	K02198		ccmF	cytochrome c-type biogenesis protein CcmF	05DA4@bactNOG,0D1JK@chloNOG,COG1138@NOG	Cytochrome c assembly protein			SZUA-1128_128:3870..5867	Cytochrome c-type biogenesis protein CcmF	K02198	K02198		K02198	K04016
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00396									SZUA-1128_128:5904..6338	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00397					063DR@bactNOG,0D30Y@chloNOG,1277Y@NOG				SZUA-1128_128:6449..7774	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00398	K02199		ccmG, dsbE	cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE	05KJP@bactNOG,0D367@chloNOG,COG0526@NOG	alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen			SZUA-1128_128:7870..8454	Thiol:disulfide interchange protein CycY	K02199			K02199	K13996
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00399									SZUA-1128_128:8527..9456	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00400	K00845	[EC:2.7.1.2]	glk	glucokinase	0265T@aproNOG,05DKQ@bactNOG,16QXD@proNOG,COG1940@NOG	ROK family			SZUA-1128_128:9522..10526	Glucokinase	K00845	K00845		K00845	K20433
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00401	K18455	[EC:3.5.1.115]	mca	mycothiol S-conjugate amidase	05FJR@bactNOG,0D2AD@chloNOG,0G6VS@dehNOG,COG2120@NOG	GlcNAc-PI de-N-acetylase			SZUA-1128_129:c(185..889)	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2	K18455				K18455
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00402									SZUA-1128_130:850..1062	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00403									SZUA-1128_130:1081..1551	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00404	K01952	[EC:6.3.5.3]	purL, PFAS	phosphoribosylformylglycinamidine synthase	08JIU@bactNOG,0F7BV@cloNOG,0P6M7@firmNOG,COG0046@NOG	phosphoribosylformylglycinamidine synthase ii			SZUA-1128_130:c(1644..2795)	Phosphoribosylformylglycinamidine synthase subunit PurL	K01952	K01952		K01952	K01952
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00405									SZUA-1128_131:85..240	Transcriptional regulatory protein PmpR					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00406	K01159	[EC:3.1.22.4]	ruvC	crossover junction endodeoxyribonuclease RuvC	05NHU@bactNOG,0ESF2@cloNOG,0NI9W@firmNOG,COG0817@NOG	Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group (By similarity)			SZUA-1128_131:286..807	Crossover junction endodeoxyribonuclease RuvC	K01159	K01159		K01159	K01159
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00407	K03550	[EC:3.6.4.12]	ruvA	holliday junction DNA helicase RuvA	05KA4@bactNOG,0D2TN@chloNOG,COG0632@NOG	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB (By similarity)			SZUA-1128_131:811..1395	Holliday junction ATP-dependent DNA helicase RuvA	K03550	K03550		K03550	K03550
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00408	K03702		uvrB	excinuclease ABC subunit B	05CCW@bactNOG,0D1BA@chloNOG,COG0556@NOG	damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage (By similarity)			SZUA-1128_131:1491..3617	UvrABC system protein B	K03702	K03702	K03702	K03702	K03702
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00409					08VE0@bactNOG,0ETHG@cloNOG,0NJJW@firmNOG,11WXQ@NOG				SZUA-1128_131:c(3625..4482)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00410					05CFM@bactNOG,0EPZZ@cloNOG,0NDRD@firmNOG,COG4336@NOG	UPF0317 protein			SZUA-1128_131:c(4527..5138)	Putative hydro-lyase					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00411									SZUA-1128_132:602..874	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00412	K18703	[EC:2.8.3.13]	SUGCT	succinate---hydroxymethylglutarate CoA-transferase	05C04@bactNOG,0EPR7@cloNOG,0NE52@firmNOG,COG1804@NOG	L-carnitine dehydratase bile acid-inducible protein F			SZUA-1128_132:1367..1993	Acetyl-CoA:oxalate CoA-transferase	K18703	K18703		K07749	K20882
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00413	K01903	[EC:6.2.1.5]	sucC	succinyl-CoA synthetase beta subunit	04RZB@bacNOG,05CMV@bactNOG,0NDUU@firmNOG,COG0045@NOG	succinyl-CoA synthetase subunit beta			SZUA-1128_133:c(902..2056)	Succinate--CoA ligase [ADP-forming] subunit beta	K01903	K01903		K01903	K01903
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00414	K02510	[EC:4.1.2.52]	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase	011Q7@actNOG,07X3R@bactNOG,COG3836@NOG	HpcH/HpaI aldolase/citrate lyase family			SZUA-1128_133:2375..3238	2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase	K02510	K02510		K02510	K12660
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00415	K04087	[EC:3.4.-.-]	hflC	membrane protease subunit HflC	05EPW@bactNOG,16PBV@proNOG,COG0330@NOG	hflc protein			SZUA-1128_133:c(3347..4597)	Modulator of FtsH protease HflC	K04087	K04087		K04087	K17081
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00416	K04088	[EC:3.4.-.-]	hflK	membrane protease subunit HflK	07QJR@bactNOG,16PEW@proNOG,COG0330@NOG	hflk protein			SZUA-1128_133:c(4698..5789)	Modulator of FtsH protease HflK	K04088	K04088		K04088	K17081
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00417									SZUA-1128_133:6276..6584	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00418	K03545		tig	trigger factor	05DEA@bactNOG,0D2HE@chloNOG,0G73C@dehNOG,COG0544@NOG	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase (By similarity)			SZUA-1128_134:25..1269	Trigger factor	K03545	K03545		K01802	K03545
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00419	K01358	[EC:3.4.21.92]	clpP, CLPP	ATP-dependent Clp protease, protease subunit	05CCQ@bactNOG,0D24Y@chloNOG,0G6WA@dehNOG,COG0740@NOG	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)			SZUA-1128_134:1287..1967	ATP-dependent Clp protease proteolytic subunit	K01358	K01358		K01358	K01358
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00420	K03544		clpX, CLPX	ATP-dependent Clp protease ATP-binding subunit ClpX	05CHN@bactNOG,COG1219@NOG	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP (By similarity)			SZUA-1128_134:2121..3338	ATP-dependent Clp protease ATP-binding subunit ClpX	K03544	K03544		K03544	K03544
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00421	K00525	[EC:1.17.4.1]	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain	05BZH@bactNOG,0G549@defNOG,COG0209@NOG	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)			SZUA-1128_135:29..1924	Vitamin B12-dependent ribonucleoside-diphosphate reductase	K00525	K00525		K00525	K00525
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00422					08VSN@bactNOG,11JZJ@NOG	Cupin 2, conserved barrel domain protein			SZUA-1128_136:c(36..500)	Quercetin 2,3-dioxygenase					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00423					05GZV@bactNOG,11N53@NOG	GYD family			SZUA-1128_136:c(628..861)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00424	K01637	[EC:4.1.3.1]	E4.1.3.1, aceA	isocitrate lyase	08GTC@bactNOG,0D5VI@chloNOG,COG2513@NOG	Isocitrate lyase			SZUA-1128_136:c(1000..1854)	2,3-dimethylmalate lyase	K01637			K01637	K20454
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00425	K03671		trxA	thioredoxin 1	05K63@bactNOG,09GE9@bctoNOG,0FX9Q@cytNOG,COG0526@NOG	K03671 thioredoxin 1			SZUA-1128_137:c(151..480)	Thioredoxin 1	K03671	K03671	K03671	K03671	K13996
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00426	K03215	[EC:2.1.1.190]	rumA	23S rRNA (uracil1939-C5)-methyltransferase	05BZT@bactNOG,0D2FF@chloNOG,0G6VZ@dehNOG,COG0424@NOG,COG2265@NOG	RNA methyltransferase, TrmA family			SZUA-1128_137:831..2795	23S rRNA (uracil-C(5))-methyltransferase RlmCD	K03215	K03215		K00557	K15331
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00427									SZUA-1128_137:2792..3148	Sec-independent protein translocase protein TatB					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00428									SZUA-1128_137:c(3129..3410)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00429	K15580		oppA, mppA	oligopeptide transport system substrate-binding protein	05DEF@bactNOG,0D1ZD@chloNOG,COG0747@NOG	Extracellular solute-binding protein, family 5			SZUA-1128_138:109..1866	Dipeptide-binding protein DppE	K15580	K15580		K02035	K19226
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00430									SZUA-1128_139:55..174	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00431	K01470	[EC:3.5.2.10]	E3.5.2.10	creatinine amidohydrolase	COG1402@NOG	K01470 creatinine amidohydrolase EC 3.5.2.10			SZUA-1128_139:192..308	hypothetical protein	K01470			K01470	K14653
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00432	K01950	[EC:6.3.5.1]	E6.3.5.1, NADSYN1, QNS1, nadE	NAD+ synthase (glutamine-hydrolysing)	08GTT@bactNOG,0D5VV@chloNOG,0G7HX@dehNOG,COG0171@NOG,COG0388@NOG	glutamine-dependent NAD( ) synthetase			SZUA-1128_139:c(340..2082)	Glutamine-dependent NAD(+) synthetase	K01950	K01950		K01916	K20806
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00433					05Y1A@bactNOG,0BGDM@bproNOG,0XXS8@NOG,16ZIW@proNOG	Methyltransferase			SZUA-1128_140:c(76..888)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00434	K13282	[EC:3.4.15.6]	cphB	cyanophycinase	05DDG@bactNOG,09DD6@bctoNOG,1AGEY@sphNOG,COG4242@NOG	Peptidase family S51			SZUA-1128_140:c(1087..1842)	Cyanophycinase	K13282	K13282		K13282	K13282
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00435									SZUA-1128_140:2145..2306	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00436	K20882	[EC:2.8.3.24]	hadA	(R)-2-hydroxy-4-methylpentanoate CoA-transferase	08T8P@bactNOG,COG1804@NOG	l-carnitine dehydratase bile acid-inducible protein F			SZUA-1128_141:1132..2472	Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsF	K20882				K20882
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00437	K07749	[EC:2.8.3.16]	frc	formyl-CoA transferase	COG1804@NOG	l-carnitine dehydratase bile acid-inducible protein F			SZUA-1128_142:14..2059	CoA-transferase/lyase DddD	K07749			K07749	K20882
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00438	K02227	[EC:6.3.1.10]	cbiB, cobD	adenosylcobinamide-phosphate synthase	05DH2@bactNOG,0D2BF@chloNOG,0G74F@dehNOG,COG1270@NOG	Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group (By similarity)			SZUA-1128_142:2118..3059	Cobalamin biosynthesis protein CobD	K02227	K02227		K02227	K02227
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00439	K04720	[EC:4.1.1.81]	cobD	threonine-phosphate decarboxylase	05CIH@bactNOG,0D28I@chloNOG,0G6SN@dehNOG,COG0079@NOG	Histidinol-phosphate aminotransferase			SZUA-1128_142:3158..4282	Threonine-phosphate decarboxylase	K04720	K04720		K00817	K04720
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00440	K07006		K07006	uncharacterized protein	04V0Z@bacNOG,08R39@bactNOG,0NKAD@firmNOG,COG3576@NOG	pyridoxamine 5-phosphate			SZUA-1128_142:4417..4998	hypothetical protein	K07006	K07006		K07006	K07006
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00441									SZUA-1128_143:316..411	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00442									SZUA-1128_143:463..816	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00443	K00567	[EC:2.1.1.63]	ogt, MGMT	methylated-DNA-[protein]-cysteine S-methyltransferase	05K85@bactNOG,0D32C@chloNOG,0G7DA@dehNOG,COG0350@NOG	Methylated-DNA--protein-cysteine methyltransferase			SZUA-1128_143:1314..1844	Methylated-DNA--protein-cysteine methyltransferase	K00567	K00567		K00567	K13531
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00444					07H08@bactNOG,0ZKGX@NOG	Alpha beta hydrolase			SZUA-1128_143:1981..2859	Tropinesterase					
