#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00001					05GRK@bactNOG,11NHI@NOG	Gcn5-related n-acetyltransferase			SZUA-1123_1:101..577	Mycothiol acetyltransferase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00765	K03086		rpoD	RNA polymerase primary sigma factor	003E3@aciNOG,05DG1@bactNOG,COG0568@NOG	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)			SZUA-1123_38:c(36266..36508)	RNA polymerase sigma factor RpoD	K03086	K03086		K02316	K03089
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00766					05TWE@bactNOG,0XRNX@NOG	Protein of unknown function (DUF1595)			SZUA-1123_39:91..2478	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00767					05DI0@bactNOG,0XNYJ@NOG	Tat (Twin-arginine translocation) pathway signal sequence domain protein			SZUA-1123_39:2475..3836	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00768					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_39:3869..4921	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00769	K07749	[EC:2.8.3.16]	frc	formyl-CoA transferase	05C04@bactNOG,0BI9Z@bproNOG,16PTM@proNOG,COG1804@NOG	CoA-transferase family III			SZUA-1123_39:4953..6137	Acetyl-CoA:oxalate CoA-transferase	K07749			K07749	K20882
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00770	K00504	[EC:1.14.17.3]	PAM, PHM	peptidylglycine monooxygenase	05F0B@bactNOG,0XSQC@NOG	NHL repeat containing protein			SZUA-1123_39:6140..7126	hypothetical protein	K00504			K00504	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00771	K19687		vapB	antitoxin VapB	COG4423@NOG	Antitoxin component of a toxin-antitoxin (TA) module			SZUA-1123_39:7166..7420	Antitoxin VapB	K19687			K19687	K19687
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00772	K19686	[EC:3.1.-.-]	vapC	ribonuclease VapC	05ZGE@bactNOG,17I5M@proNOG,COG3742@NOG	Toxic component of a toxin-antitoxin (TA) module. A			SZUA-1123_39:7623..7808	Ribonuclease VapC	K19686	K19686		K19686	K19686
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00773					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_39:7843..8871	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00774					0054Y@aciNOG,077BR@bactNOG,0XQNN@NOG	Metallo-beta-lactamase superfamily			SZUA-1123_39:8972..9850	Metallo-beta-lactamase type 2					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00775	K12661	[EC:4.2.1.90]	LRA3, yfaW	L-rhamnonate dehydratase	0IFG4@euNOG,COG4948@NOG	Mandelate racemase muconate lactonizing enzyme family protein			SZUA-1123_39:c(9829..11127)	L-rhamnonate dehydratase	K12661	K12661		K12661	K21624
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00776					05TWE@bactNOG,0XRNX@NOG	Protein of unknown function (DUF1595)			SZUA-1123_39:11258..13747	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00777					05DI0@bactNOG,0XNYJ@NOG	Tat (Twin-arginine translocation) pathway signal sequence domain protein			SZUA-1123_39:13777..15114	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00778	K18696	[EC:3.1.4.46]	GDE1	glycerophosphodiester phosphodiesterase	006QM@aciNOG,05JXB@bactNOG,COG0666@NOG	ANK			SZUA-1123_39:15281..16807	hypothetical protein	K18696				K18696
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00779	K12132	[EC:2.7.11.1]	prkC, stkP	eukaryotic-like serine/threonine-protein kinase	COG0515@NOG	Serine Threonine protein kinase			SZUA-1123_39:16928..17134	Serine/threonine-protein kinase PknA	K12132	K12132			K22009
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00780					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_39:17321..18325	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00781	K21469	[EC:3.4.16.4]	pbp4b	serine-type D-Ala-D-Ala carboxypeptidase	07X87@bactNOG,09BFS@bctoNOG,0FXF4@cytNOG,COG1680@NOG	beta-lactamase			SZUA-1123_39:c(18649..20169)	hypothetical protein	K21469				K21469
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00782									SZUA-1123_39:c(20314..21141)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00783	K01134	[EC:3.1.6.8]	ARSA	arylsulfatase A	05C16@bactNOG,0GHAG@delNOG,0HHNM@dproNOG,176J6@proNOG,COG3119@NOG	Sulfatase			SZUA-1123_39:c(21219..23744)	Arylsulfatase	K01134			K01134	K01138
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00784	K18696	[EC:3.1.4.46]	GDE1	glycerophosphodiester phosphodiesterase	006QM@aciNOG,05JXB@bactNOG,COG0666@NOG	ANK			SZUA-1123_39:c(23854..25431)	hypothetical protein	K18696				K18696
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00785					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_39:25640..27016	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00786					06VP7@bactNOG,0YQ3R@NOG,182K2@proNOG				SZUA-1123_39:27088..28086	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00787					05TWE@bactNOG,0XRNX@NOG	Protein of unknown function (DUF1595)			SZUA-1123_39:28237..30645	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00788					05DI0@bactNOG,0XNYJ@NOG	Tat (Twin-arginine translocation) pathway signal sequence domain protein			SZUA-1123_39:30679..32028	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00789									SZUA-1123_39:32137..32562	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00790									SZUA-1123_39:32626..34686	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00791					05TWE@bactNOG,0XRNX@NOG	Protein of unknown function (DUF1595)			SZUA-1123_39:35052..37532	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00792					05DI0@bactNOG,0XNYJ@NOG	Tat (Twin-arginine translocation) pathway signal sequence domain protein			SZUA-1123_39:37529..38863	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00793	K00114	[EC:1.1.2.8]	exaA	alcohol dehydrogenase (cytochrome c)	05DZG@bactNOG,COG4993@NOG	Dehydrogenase			SZUA-1123_39:38902..40956	Quinohemoprotein alcohol dehydrogenase	K00114			K00114	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00794	K18696	[EC:3.1.4.46]	GDE1	glycerophosphodiester phosphodiesterase	006QM@aciNOG,05JXB@bactNOG,COG0666@NOG	ANK			SZUA-1123_39:41032..42609	hypothetical protein	K18696				K18696
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00795									SZUA-1123_39:42783..43334	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00796	K01253	[EC:3.3.2.9]	EPHX1	microsomal epoxide hydrolase	01UQ3@aproNOG,05CIR@bactNOG,16T4K@proNOG,COG0596@NOG	epoxide hydrolase			SZUA-1123_39:43384..44628	Soluble epoxide hydrolase	K01253		K01253	K01253	K21821
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00797									SZUA-1123_39:44628..45722	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00798	K08234		yaeR	glyoxylase I family protein	05P35@bactNOG,0BF0K@bproNOG,17HJI@proNOG,COG0346@NOG	glyoxalase bleomycin resistance protein			SZUA-1123_39:45782..46918	Metallothiol transferase FosB	K08234			K08234	K21265
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00799					088JC@bactNOG,0XSHD@NOG,153WX@plaNOG	Inherit from bactNOG: Pyrrolo-quinoline quinone			SZUA-1123_39:46930..48300	Outer membrane protein assembly factor BamB					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00800	K03286		TC.OOP	OmpA-OmpF porin, OOP family	05W44@bactNOG,09BA3@bctoNOG,0FVYQ@cytNOG,COG0464@NOG,COG2885@NOG	ompa motb domain protein			SZUA-1123_39:48347..48967	hypothetical protein	K03286			K03286	K21218
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00801					0878N@bactNOG,0BFE4@bproNOG,0XQW8@NOG,16RY3@proNOG	Protein of unknown function (DUF1499)			SZUA-1123_39:49154..49897	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00802	K16239	[EC:4.1.1.61]	bsdC	4-hydroxybenzoate decarboxylase subunit C	05D3H@bactNOG,0ENT2@cloNOG,0ND9Q@firmNOG,COG0043@NOG	decarboxylase			SZUA-1123_39:50481..52280	4-hydroxybenzoate decarboxylase subunit C	K16239		K16239	K03182	K20039
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00803									SZUA-1123_39:52355..52849	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00804	K00231	[EC:1.3.3.4][EC:1.3.3.15]	PPOX, hemY	protoporphyrinogen/coproporphyrinogen III oxidase	07PQI@bactNOG,COG1232@NOG	Flavin containing amine oxidoreductase			SZUA-1123_39:53112..54200	Protoporphyrinogen oxidase	K00231	K00231		K00231	K00231
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00805					01QMM@aproNOG,07QMI@bactNOG,16TJK@proNOG,COG4111@NOG	Inherit from proNOG: cytoplasmic membrane protein			SZUA-1123_39:54200..55171	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00806	K03517	[EC:2.5.1.72]	nadA	quinolinate synthase	01RD8@aproNOG,05D0I@bactNOG,16T75@proNOG,COG0379@NOG	Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate (By similarity)			SZUA-1123_39:55287..56318	Quinolinate synthase A	K03517	K03517	K03517	K03517	K03517
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00807	K00278	[EC:1.4.3.16]	nadB	L-aspartate oxidase					SZUA-1123_39:56263..56568	hypothetical protein	K00278	K00278			
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00808	K00767	[EC:2.4.2.19]	nadC, QPRT	nicotinate-nucleotide pyrophosphorylase (carboxylating)	01R9V@aproNOG,05D18@bactNOG,16QK3@proNOG,COG0157@NOG	nicotinate-nucleotide pyrophosphorylase			SZUA-1123_39:56571..57443	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]	K00767	K00767		K00767	K03813
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00809					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_39:57654..59207	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00810	K18696	[EC:3.1.4.46]	GDE1	glycerophosphodiester phosphodiesterase	006QM@aciNOG,05JXB@bactNOG,COG0666@NOG	ANK			SZUA-1123_40:75..1682	Phosphocholine transferase AnkX	K18696				K18696
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00811									SZUA-1123_40:1802..3949	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00812	K00099	[EC:1.1.1.267]	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase	05CEA@bactNOG,0GAWA@delNOG,0HCAI@dproNOG,16Q1Q@proNOG,COG0743@NOG	Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP) (By similarity)			SZUA-1123_41:c(1130..2311)	1-deoxy-D-xylulose 5-phosphate reductoisomerase	K00099	K00099		K00099	K00099
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00813	K00981	[EC:2.7.7.41]	E2.7.7.41, CDS1, CDS2, cdsA	phosphatidate cytidylyltransferase	05KNE@bactNOG,0GDJN@delNOG,0HFPV@dproNOG,16TPY@proNOG,COG0575@NOG	Phosphatidate cytidylyltransferase			SZUA-1123_41:c(2325..3101)	Phosphatidate cytidylyltransferase	K00981	K00981		K00981	K19664
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00814	K00806	[EC:2.5.1.31]	uppS	undecaprenyl diphosphate synthase	0036W@aciNOG,05CR3@bactNOG,COG0020@NOG	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids (By similarity)			SZUA-1123_41:c(3105..3995)	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	K00806	K00806		K00806	K21273
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00815	K06173	[EC:5.4.99.12]	truA, PUS1	tRNA pseudouridine38-40 synthase	05DI7@bactNOG,0GE7M@delNOG,0HF18@dproNOG,16PZQ@proNOG,COG0101@NOG	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs (By similarity)			SZUA-1123_41:c(4092..4907)	tRNA pseudouridine synthase A	K06173	K06173		K06173	K15452
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00816	K00762	[EC:2.4.2.10]	pyrE	orotate phosphoribosyltransferase	07QV3@bactNOG,0P2UC@firmNOG,COG0461@NOG	Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP) (By similarity)			SZUA-1123_41:c(4938..5516)	Orotate phosphoribosyltransferase	K00762	K00762		K00762	K00762
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00817					0042D@aciNOG,05JFI@bactNOG,0ZVGH@NOG	Outer membrane efflux protein			SZUA-1123_41:5756..7393	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00818					07SY8@bactNOG,0ESA9@cloNOG,0P2YI@firmNOG,0YD0D@NOG	Glycosyl transferase family 2			SZUA-1123_41:7532..8317	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00819	K19422	[EC:2.4.-.-]	epsD	glycosyltransferase EpsD	08PQP@bactNOG,11SD1@NOG,16VAW@proNOG	Glycosyl transferase (Group 1			SZUA-1123_41:8393..9523	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	K19422			K19422	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00820					05JF5@bactNOG,0GAZV@delNOG,0HEI0@dproNOG,0XRBU@NOG,175X5@proNOG	Protein of unknown function (DUF2400)			SZUA-1123_41:c(9423..10352)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00821	K01465	[EC:3.5.2.3]	URA4, pyrC	dihydroorotase	05CD3@bactNOG,0GB5C@delNOG,0HCB2@dproNOG,16PSG@proNOG,COG0044@NOG	Dihydroorotase, multifunctional complex type			SZUA-1123_41:c(10389..11750)	Dihydroorotase	K01465	K01465		K01465	K01466
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00822	K00609	[EC:2.1.3.2]	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit	05CXT@bactNOG,0GAYV@delNOG,0HC15@dproNOG,16SNS@proNOG,COG0540@NOG	Aspartate transcarbamylase			SZUA-1123_41:c(11918..12937)	Aspartate carbamoyltransferase	K00609	K00609	K00609	K00609	K00609
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00823	K02825	[EC:2.4.2.9]	pyrR	pyrimidine operon attenuation protein / uracil phosphoribosyltransferase	08UK1@bactNOG,0G8H6@deiNOG,COG2065@NOG	Also displays a weak uracil phosphoribosyltransferase activity which is not physiologically significant (By similarity)			SZUA-1123_41:c(12921..13451)	Bifunctional protein PyrR	K02825	K02825	K02825	K02825	K02825
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00824	K02823		pyrDII	dihydroorotate dehydrogenase electron transfer subunit	00IZ5@actNOG,05DF0@bactNOG,COG0543@NOG	electron transfer subunit			SZUA-1123_41:13870..14688	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	K02823	K02823		K00528	K20256
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00825	K17828	[EC:1.3.1.14]	pyrDI	dihydroorotate dehydrogenase (NAD+) catalytic subunit	07QYT@bactNOG,0GB0N@delNOG,0HCCN@dproNOG,16Q3F@proNOG,COG0167@NOG	Catalyzes the conversion of dihydroorotate to orotate			SZUA-1123_41:14685..15629	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	K17828	K17828		K00226	K17723
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00826	K13996	[EC:5.3.4.1]	EPS1	protein disulfide-isomerase	06BPA@bactNOG,COG0526@NOG	glutaredoxin 2			SZUA-1123_41:16004..16249	hypothetical protein	K13996				K13996
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00827	K03640		pal	peptidoglycan-associated lipoprotein	05KCK@bactNOG,0D07X@chlNOG,COG2885@NOG	Peptidoglycan-associated lipoprotein			SZUA-1123_41:c(16475..17053)	Outer membrane lipoprotein Omp16	K03640	K03640		K03640	K21218
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00828									SZUA-1123_41:c(17264..17473)	Alpha-aminoadipate carrier protein LysW					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00829	K02676		pilZ	type IV pilus assembly protein PilZ	0644W@bactNOG,0GRDC@delNOG,0HHGX@dproNOG,12ARA@NOG,17QYG@proNOG	PilZ domain			SZUA-1123_41:17819..18535	hypothetical protein	K02676			K02676	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00830	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	003GR@aciNOG,05CJ1@bactNOG,COG1131@NOG	ABC transporter			SZUA-1123_41:18884..19897	putative ABC transporter ATP-binding protein YxlF	K01990	K01990	K01990	K01990	K21397
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00831	K01992		ABC-2.P	ABC-2 type transport system permease protein	085SG@bactNOG,COG1277@NOG	ABC transporter			SZUA-1123_41:19890..20657	hypothetical protein	K01992	K01992		K01992	K21397
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00832					05E8U@bactNOG,0GFWW@delNOG,0HGVT@dproNOG,16ZEQ@proNOG,COG3225@NOG	ABC-type uncharacterized transport system			SZUA-1123_41:20702..22339	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00833					05FM6@bactNOG,11R32@NOG				SZUA-1123_41:22339..23679	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00834	K01872	[EC:6.1.1.7]	AARS, alaS	alanyl-tRNA synthetase	06ZHN@bactNOG,0D309@chloNOG,0D6XD@chlorNOG,COG2872@NOG	Threonyl alanyl tRNA synthetase SAD			SZUA-1123_41:c(23704..24912)	Alanine--tRNA ligase	K01872	K01872	K07050	K01872	K07050
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00835	K06920	[EC:6.3.4.20]	queC	7-cyano-7-deazaguanine synthase	05FD2@bactNOG,0QJTF@gproNOG,16RF8@proNOG,COG0603@NOG	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)) (By similarity)			SZUA-1123_41:c(24909..25616)	7-cyano-7-deazaguanine synthase	K06920	K06920		K06920	K06920
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00836	K10026	[EC:4.3.99.3]	queE	7-carboxy-7-deazaguanine synthase	05EIZ@bactNOG,COG0602@NOG	Catalyzes the conversion of 6-carboxy-5,6,7,8- tetrahydropterin (CPH4) to 7-carboxy-7-deazaguanine (CDG) (By similarity)			SZUA-1123_41:c(25800..26441)	7-carboxy-7-deazaguanine synthase	K10026	K10026		K10026	K10026
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00837					05I3N@bactNOG,0FPGH@cyaNOG,COG1801@NOG	Protein of unknown function DUF72			SZUA-1123_41:26544..27524	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00838	K10773	[EC:4.2.99.18]	NTH	endonuclease III	05CSM@bactNOG,0D2B7@chloNOG,0D8TY@chlorNOG,COG0177@NOG	DNA-(Apurinic or apyrimidinic site) lyase			SZUA-1123_41:c(27598..28236)	Endonuclease III	K10773	K10773	K10773	K10773	K10773
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00839	K00015	[EC:1.1.1.26]	gyaR, GOR1	glyoxylate reductase	00BN1@actNOG,05C5I@bactNOG,COG1052@NOG	glyoxylate reductase (EC 1.1.1.26)			SZUA-1123_41:c(28320..29378)	Putative 2-hydroxyacid dehydrogenase	K00015	K00015		K00015	K18916
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00840	K04028		eutN	ethanolamine utilization protein EutN	05WVM@bactNOG,0EVJ3@cloNOG,0NP6R@firmNOG,COG4576@NOG	ethanolamine utilization protein EutN carboxysome structural protein Ccml			SZUA-1123_41:c(29409..29672)	Ethanolamine utilization protein EutN	K04028	K04028		K04028	K04028
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00841	K04028		eutN	ethanolamine utilization protein EutN	07JUF@bactNOG,0Y81J@NOG	ethanolamine utilization protein EutN carboxysome structural protein Ccml			SZUA-1123_41:c(29834..30154)	Carbon dioxide concentrating mechanism protein CcmL	K04028			K04028	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00842	K08697		ccmL	carbon dioxide concentrating mechanism protein CcmL	05WVM@bactNOG,COG4576@NOG	ethanolamine utilization protein EutN carboxysome structural protein Ccml			SZUA-1123_41:c(30207..30491)	Carbon dioxide concentrating mechanism protein CcmL	K08697		K08697	K04028	K04028
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00843	K04027		eutM	ethanolamine utilization protein EutM	05KNY@bactNOG,COG4577@NOG	Microcompartments protein			SZUA-1123_41:c(30618..30905)	Ethanolamine utilization protein EutM	K04027		K04027	K04027	K04027
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00844	K01628	[EC:4.1.2.17]	fucA	L-fuculose-phosphate aldolase	05CR5@bactNOG,0EPFM@cloNOG,0NEMJ@firmNOG,COG0235@NOG	Class II aldolase adducin family protein			SZUA-1123_41:c(30919..31803)	3-oxo-tetronate 4-phosphate decarboxylase	K01628	K01628		K01628	K18847
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00845									SZUA-1123_41:c(32045..32317)	Copper-transporting P-type ATPase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00846					05KFC@bactNOG,11U1E@NOG	repeat-containing protein			SZUA-1123_41:c(32390..32965)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00847	K03474	[EC:2.6.99.2]	pdxJ	pyridoxine 5-phosphate synthase	05CSZ@bactNOG,0FJR9@cyaNOG,COG0854@NOG	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate (By similarity)			SZUA-1123_41:c(33030..33737)	Pyridoxine 5'-phosphate synthase	K03474	K03474		K03474	K03474
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00848	K03431	[EC:5.4.2.10]	glmM	phosphoglucosamine mutase	003IG@aciNOG,07QJF@bactNOG,COG1109@NOG	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)			SZUA-1123_41:c(33835..35217)	Phosphoglucosamine mutase	K03431	K03431		K03431	K16881
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00849					08ZV7@bactNOG,0GF77@delNOG,0HFQ9@dproNOG,11PCN@NOG,17CYG@proNOG	YbbR family			SZUA-1123_41:c(35275..36198)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00850	K18672	[EC:2.7.7.85]	dacA	diadenylate cyclase	004W2@aciNOG,05C8B@bactNOG,COG1624@NOG	DisA bacterial checkpoint controller nucleotide-binding			SZUA-1123_41:c(36195..37013)	Cyclic di-AMP synthase CdaA	K18672		K18672	K18672	K18672
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00851	K00796	[EC:2.5.1.15]	folP	dihydropteroate synthase	05EEI@bactNOG,0GAR7@delNOG,0HBUD@dproNOG,16QUG@proNOG,COG0294@NOG	dihydropteroate synthase			SZUA-1123_41:c(37029..37913)	Dihydropteroate synthase	K00796	K00796		K00796	K18974
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00852	K03798	[EC:3.4.24.-]	ftsH, hflB	cell division protease FtsH	003J9@aciNOG,05C3H@bactNOG,COG0465@NOG	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)			SZUA-1123_41:c(37965..39869)	ATP-dependent zinc metalloprotease FtsH	K03798	K03798		K03798	K08956
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00853	K04075	[EC:6.3.4.19]	tilS, mesJ	tRNA(Ile)-lysidine synthase	05D3U@bactNOG,0EP4X@cloNOG,0NE7P@firmNOG,COG0037@NOG	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)			SZUA-1123_41:c(39873..41288)	tRNA(Ile)-lysidine synthase	K04075	K04075		K00760	K21947
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00855	K07568	[EC:2.4.99.17]	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	02ESX@aquNOG,05E2N@bactNOG,COG0809@NOG	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA) (By similarity)			SZUA-1123_41:c(41616..42662)	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	K07568	K07568		K07568	K07568
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00856	K00648	[EC:2.3.1.180]	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III	000N1@acidNOG,0044G@aciNOG,05CCZ@bactNOG,COG0332@NOG	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids (By similarity)			SZUA-1123_41:c(42809..43846)	3-oxoacyl-[acyl-carrier-protein] synthase 3	K00648	K00648		K00648	K21788
