#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00001	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0QICC@gproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1235_1:c(428..1207)	Methionine aminopeptidase	K01265	K01265		K01265	K14813
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00552	K02452		gspC	general secretion pathway protein C	08XKW@bactNOG,0QR7Z@gproNOG,17AI0@proNOG,COG3031@NOG	General secretion pathway protein C			SZUA-1235_31:c(65810..66748)	Type II secretion system protein C	K02452	K02452		K02452	K02452
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00553	K01069	[EC:3.1.2.6]	gloB, HAGH	hydroxyacylglutathione hydrolase	07QPB@bactNOG,0GD85@delNOG,0HE2W@dproNOG,16PKT@proNOG,COG0491@NOG	Metallo-beta-lactamase superfamily			SZUA-1235_31:66915..67814	Beta-lactamase hydrolase-like protein	K01069			K01069	K20257
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00554	K21147	[EC:2.7.7.80][EC:2.7.7.-][EC:2.8.1.11][EC:2.8.1.-]	moeZR, moeBR	sulfur-carrier protein adenylyltransferase/sulfurtransferase	082J7@bactNOG,0QWPT@gproNOG,17G14@proNOG,COG0607@NOG	domain protein			SZUA-1235_31:c(67824..68144)	Sulfurtransferase	K21147				K21147
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00555									SZUA-1235_31:c(68160..68750)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00556					05JR3@bactNOG,0BG86@bproNOG,11PHY@NOG,1791F@proNOG	Rhodanese-like domain			SZUA-1235_31:c(68750..69076)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00557	K02450		gspA	general secretion pathway protein A	065QU@bactNOG,0QI7R@gproNOG,16TEZ@proNOG,COG3267@NOG	general secretion pathway protein A			SZUA-1235_31:69214..70353	hypothetical protein	K02450			K02450	K12283
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00558	K03592		pmbA	PmbA protein	05CMS@bactNOG,0QI3K@gproNOG,16QS3@proNOG,COG0312@NOG	peptidase U62, modulator of DNA gyrase			SZUA-1235_32:c(727..2091)	Metalloprotease PmbA	K03592	K03592	K03592	K03592	K03592
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00559	K03568		tldD	TldD protein	05D1U@bactNOG,0QKAI@gproNOG,16PKJ@proNOG,COG0312@NOG	peptidase U62, modulator of DNA gyrase			SZUA-1235_32:c(2091..3548)	Metalloprotease TldD	K03568	K03568	K03568	K03568	K03592
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00560	K11206	[EC:3.5.1.-]	NIT1, ybeM	deaminated glutathione amidase	07QPI@bactNOG,0QQBP@gproNOG,16PM5@proNOG,COG0388@NOG	nitrilase cyanide hydratase and apolipoprotein n-acyltransferase			SZUA-1235_32:c(3560..4384)	Deaminated glutathione amidase	K11206	K11206	K11206	K01501	K20806
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00561									SZUA-1235_32:c(4384..4755)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00562					080XD@bactNOG,0R8IV@gproNOG,16WN5@proNOG,COG3164@NOG	Inherit from COG: exported protein			SZUA-1235_32:c(4810..8598)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00563	K08301	[EC:3.1.26.-]	rng, cafA	ribonuclease G	05C03@bactNOG,0QHZ9@gproNOG,16PBS@proNOG,COG1530@NOG	Ribonuclease G			SZUA-1235_32:c(8595..10052)	Ribonuclease G	K08301	K08301	K08301	K08300	K08301
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00564	K06287		maf	septum formation protein	08Z03@bactNOG,0QMJ0@gproNOG,17CMI@proNOG,COG0424@NOG	Maf-like protein			SZUA-1235_32:c(10065..10661)	Maf-like protein YhdE	K06287	K06287		K06287	K06287
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00565	K00783	[EC:2.1.1.177]	rlmH	23S rRNA (pseudouridine1915-N3)-methyltransferase	08UXA@bactNOG,0QI73@gproNOG,178DX@proNOG,COG1576@NOG	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA (By similarity)			SZUA-1235_32:c(10658..11128)	Ribosomal RNA large subunit methyltransferase H	K00783	K00783		K00783	K00783
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00566	K11747		kefB	glutathione-regulated potassium-efflux system protein KefB	07U8C@bactNOG,0QK2R@gproNOG,16VHR@proNOG,COG0475@NOG	sodium hydrogen			SZUA-1235_32:11235..12404	Iron transporter MagA	K11747				K11747
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00567					08EWC@bactNOG,0BR77@bproNOG,1719M@proNOG,COG0457@NOG,COG3914@NOG	Tetratricopeptide repeat			SZUA-1235_32:12414..12980	Beta-barrel assembly-enhancing protease					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00568					023PD@aproNOG,05PK1@bactNOG,0XT6K@NOG,175VZ@proNOG	Phytanoyl-CoA dioxygenase (PhyH)			SZUA-1235_32:13005..13796	Kanamycin B dioxygenase					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00569	K09710		ybeB	ribosome-associated protein	05KEM@bactNOG,0QTXQ@gproNOG,17FD3@proNOG,COG0799@NOG	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation (By similarity)			SZUA-1235_32:c(13898..14248)	Ribosomal silencing factor RsfS	K09710	K09710	K09710	K09710	K09710
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00570	K00969	[EC:2.7.7.18]	nadD	nicotinate-nucleotide adenylyltransferase	08Z1W@bactNOG,0QRGE@gproNOG,17A41@proNOG,COG1057@NOG	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD) (By similarity)			SZUA-1235_32:c(14245..14682)	Nicotinate-nucleotide adenylyltransferase	K00969	K00969		K00969	K00969
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00571	K02033		ABC.PE.P	peptide/nickel transport system permease protein	05CJM@bactNOG,0QIQX@gproNOG,16PNR@proNOG,COG0601@NOG	transporter, permease			SZUA-1235_33:4..477	Glutathione transport system permease protein GsiC	K02033	K02033		K02033	K19227
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00572	K02034		ABC.PE.P1	peptide/nickel transport system permease protein	05C2T@bactNOG,0R9XX@gproNOG,16QXW@proNOG,COG1173@NOG	binding-protein-dependent transport systems inner membrane component			SZUA-1235_33:474..1301	Glutathione transport system permease protein GsiD	K02034	K02034		K02034	K19228
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00573	K02415		fliL	flagellar FliL protein	05STZ@bactNOG,0QTWH@gproNOG,17JED@proNOG,COG1580@NOG	Flagellar basal body-associated protein FliL			SZUA-1235_33:c(1279..1716)	hypothetical protein	K02415			K02415	K02415
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00574	K01207	[EC:3.2.1.52]	nagZ	beta-N-acetylhexosaminidase	07QPA@bactNOG,0QICE@gproNOG,16PKR@proNOG,COG1472@NOG	Cleaves GlcNAc linked beta-1,4 to MurNAc tripeptides (By similarity)			SZUA-1235_33:1882..2922	Beta-hexosaminidase	K01207	K01207		K01207	K20836
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00575	K00760	[EC:2.4.2.8]	hprT, hpt, HPRT1	hypoxanthine phosphoribosyltransferase	08UGV@bactNOG,0QMIS@gproNOG,1735X@proNOG,COG0634@NOG	Hypoxanthine phosphoribosyltransferase			SZUA-1235_33:2958..3491	Hypoxanthine-guanine phosphoribosyltransferase	K00760	K00760		K00760	K15780
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00576									SZUA-1235_33:c(3584..3778)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00577	K19696	[EC:2.4.2.44]	mtiP	5'-methylthioinosine phosphorylase	07RHB@bactNOG,0QJKB@gproNOG,16QX2@proNOG,COG0005@NOG	Catalyzes the reversible phosphorylation of S-methyl-5'- thioinosine (MTI) to hypoxanthine and 5-methylthioribose-1- phosphate. Involved in the breakdown of S-methyl-5'-thioadenosine (MTA), a major by-product of polyamine biosynthesis. Catabolism of (MTA) occurs via deamination to MTI and phosphorolysis to hypoxanthine (By similarity)			SZUA-1235_33:3919..4653	S-methyl-5'-thioinosine phosphorylase	K19696	K19696		K00772	K19696
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00578					05YCE@bactNOG,0QW2V@gproNOG,1269W@NOG,17MYK@proNOG	Protein of unknown function (DUF2803)			SZUA-1235_33:c(4676..5692)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00579	K03723	[EC:3.6.4.-]	mfd	transcription-repair coupling factor (superfamily II helicase)	08JA2@bactNOG,0RAXV@gproNOG,1737D@proNOG,COG1197@NOG	transcription-repair coupling factor			SZUA-1235_33:c(5689..9177)	Transcription-repair-coupling factor	K03723	K03723		K03723	K03723
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00580					05JR3@bactNOG,0BG86@bproNOG,11PHY@NOG,1791F@proNOG	Rhodanese-like domain			SZUA-1235_33:c(9698..10357)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00581					05VNA@bactNOG,0QZ4R@gproNOG,1221J@NOG,17P36@proNOG	Protein of unknown function (DUF3530)			SZUA-1235_33:10553..11347	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00582					06CWZ@bactNOG,0QXZV@gproNOG,0XXPC@NOG,17SYJ@proNOG				SZUA-1235_33:c(11398..11697)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00583	K09808		lolC_E	lipoprotein-releasing system permease protein	05D60@bactNOG,0QHZR@gproNOG,16QH9@proNOG,COG4591@NOG	Lipoprotein releasing system transmembrane protein			SZUA-1235_33:11898..13145	Lipoprotein-releasing system transmembrane protein LolE	K09808	K09808	K09808	K02004	K09808
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00584	K09810	[EC:3.6.3.-]	lolD	lipoprotein-releasing system ATP-binding protein	05CQU@bactNOG,0QK9F@gproNOG,16R9B@proNOG,COG1136@NOG	Part of the ABC transporter complex LolCDE involved in the translocation of mature outer membrane-directed lipoproteins, from the inner membrane to the periplasmic chaperone, LolA. Responsible for the formation of the LolA-lipoprotein complex in an ATP-dependent manner (By similarity)			SZUA-1235_33:13138..13818	Lipoprotein-releasing system ATP-binding protein LolD	K09810	K09810	K09810	K02003	K19083
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00585	K09928		K09928	uncharacterized protein	08V5M@bactNOG,0QQVJ@gproNOG,17A22@proNOG,COG3216@NOG	flagellar biosynthesis protein FlhF			SZUA-1235_33:c(13835..14359)	hypothetical protein	K09928	K09928		K09928	K09928
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00586	K02238		comEC	competence protein ComEC	08EQH@bactNOG,0RA3T@gproNOG,17140@proNOG,COG0658@NOG,COG2333@NOG	DNA internalization-related competence protein ComEC Rec2			SZUA-1235_33:14454..16754	ComE operon protein 3	K02238	K02238		K02238	K02238
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00587	K03561		exbB	biopolymer transport protein ExbB	05FGH@bactNOG,0QQ57@gproNOG,1789D@proNOG,COG0811@NOG	motA TolQ ExbB proton channel			SZUA-1235_33:16832..17467	Protein TolQ	K03561	K03561		K03561	K03562
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00588	K03559		exbD	biopolymer transport protein ExbD	05NJH@bactNOG,0QU0Z@gproNOG,17CWK@proNOG,COG0848@NOG	biopolymer transport protein			SZUA-1235_33:17464..17877	hypothetical protein	K03559	K03559		K03559	K03560
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00589	K11085	[EC:3.6.3.-]	msbA	ATP-binding cassette, subfamily B, bacterial MsbA	05BZ1@bactNOG,0QHUD@gproNOG,16PGA@proNOG,COG1132@NOG	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)			SZUA-1235_33:17892..19640	Lipid A export ATP-binding/permease protein MsbA	K11085	K11085	K11085	K02021	K20485
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00590	K00912	[EC:2.7.1.130]	lpxK	tetraacyldisaccharide 4'-kinase	05CHD@bactNOG,0QIQM@gproNOG,16PXU@proNOG,COG1663@NOG	Transfers the gamma-phosphate of ATP to the 4'-position of a tetraacyldisaccharide 1-phosphate intermediate (termed DS-1- P) to form tetraacyldisaccharide 1,4'-bis-phosphate (lipid IVA) (By similarity)			SZUA-1235_33:19630..20610	Tetraacyldisaccharide 4'-kinase	K00912	K00912		K00912	K00912
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00591	K09791		K09791	uncharacterized protein	05W49@bactNOG,0BFMP@bproNOG,17JS5@proNOG,COG2835@NOG	UPF0434 protein			SZUA-1235_33:20616..20795	hypothetical protein	K09791	K09791		K09791	K09791
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00592	K00979	[EC:2.7.7.38]	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)	05CET@bactNOG,0QII1@gproNOG,16PUI@proNOG,COG1212@NOG	Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria (By similarity)			SZUA-1235_33:20808..21593	3-deoxy-manno-octulosonate cytidylyltransferase	K00979	K00979	K00979	K00979	K00979
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00593									SZUA-1235_34:258..491	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00594					07JM3@bactNOG,0R6GW@gproNOG,0ZPF0@NOG,18CG9@proNOG	Protein of unknown function (DUF465)			SZUA-1235_34:616..822	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00595									SZUA-1235_34:871..1104	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00596	K00548	[EC:2.1.1.13]	metH, MTR	5-methyltetrahydrofolate--homocysteine methyltransferase	05C3R@bactNOG,0QJXR@gproNOG,16QB3@proNOG,COG0646@NOG,COG1410@NOG	methionine synthase			SZUA-1235_34:c(1106..4810)	Methionine synthase	K00548	K00548	K00548	K00548	K00548
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00597	K03498		trkH, trkG, ktrB	trk system potassium uptake protein	05D37@bactNOG,0QICP@gproNOG,16R05@proNOG,COG0168@NOG	Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA (By similarity)			SZUA-1235_34:c(4919..6370)	Trk system potassium uptake protein TrkH	K03498	K03498		K03498	K03498
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00598	K03499		trkA, ktrA	trk system potassium uptake protein	05C1A@bactNOG,0QJ3Q@gproNOG,16RDV@proNOG,COG0569@NOG	potassium transporter peripheral membrane			SZUA-1235_34:c(6390..7763)	Trk system potassium uptake protein TrkA	K03499	K03499	K03499	K03499	K03499
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00599	K02481		K02481	two-component system, NtrC family, response regulator	05C1W@bactNOG,0QKH9@gproNOG,16PNY@proNOG,COG2204@NOG	two component, sigma54 specific, transcriptional regulator, Fis family			SZUA-1235_34:c(7851..9221)	Regulatory protein AtoC	K02481			K02481	K20919
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00600	K11383	[EC:2.7.13.3]	kinB	two-component system, NtrC family, sensor histidine kinase KinB	05ES5@bactNOG,0QK3I@gproNOG,16R7G@proNOG,COG5000@NOG	Histidine kinase			SZUA-1235_34:c(9233..11410)	Signal transduction histidine-protein kinase AtoS	K11383			K11383	K13598
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00601					084GW@bactNOG,0QTNI@gproNOG,0ZXT4@NOG,16WTM@proNOG				SZUA-1235_34:c(11407..11958)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00602	K03500	[EC:2.1.1.176]	rsmB, sun	16S rRNA (cytosine967-C5)-methyltransferase	05CYJ@bactNOG,0QJN4@gproNOG,16PJK@proNOG,COG0144@NOG	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA (By similarity)			SZUA-1235_34:c(12003..13346)	Ribosomal RNA small subunit methyltransferase B	K03500	K03500		K03500	K15334
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00603	K00604	[EC:2.1.2.9]	MTFMT, fmt	methionyl-tRNA formyltransferase	05CAE@bactNOG,0QINX@gproNOG,16PY6@proNOG,COG0223@NOG	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)			SZUA-1235_34:c(13343..14290)	Methionyl-tRNA formyltransferase	K00604	K00604	K00604	K00604	K19640
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00604	K01462	[EC:3.5.1.88]	PDF, def	peptide deformylase	08Z02@bactNOG,0QQV7@gproNOG,179MN@proNOG,COG0242@NOG	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity)			SZUA-1235_34:c(14306..14860)	Peptide deformylase	K01462	K01462	K01462	K01462	K01462
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00605					05D8S@bactNOG,0QIZD@gproNOG,16Q43@proNOG,COG1652@NOG	LysM domain-containing protein			SZUA-1235_34:15003..16046	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00606	K04096		smf	DNA processing protein	05C79@bactNOG,0QIIS@gproNOG,16Q42@proNOG,COG0758@NOG	DNA protecting protein DprA			SZUA-1235_34:16144..17247	DNA processing protein DprA	K04096	K04096		K04096	K04096
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00607	K03747		smg	Smg protein	08RPN@bactNOG,0QPZ2@gproNOG,1781C@proNOG,COG2922@NOG	Protein smg homolog			SZUA-1235_34:17401..17877	Protein Smg	K03747	K03747		K03747	K03747
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00608	K03168	[EC:5.99.1.2]	topA	DNA topoisomerase I	05C73@bactNOG,0QIIK@gproNOG,16PJG@proNOG,COG0550@NOG,COG0551@NOG	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity)			SZUA-1235_34:17934..20240	DNA topoisomerase 1	K03168	K03168	K03168	K03168	K12087
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00609	K07566	[EC:2.7.7.87]	tsaC, rimN, SUA5	L-threonylcarbamoyladenylate synthase	05EK0@bactNOG,0QSA2@gproNOG,16RA3@proNOG,COG0009@NOG	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)			SZUA-1235_34:20260..20847	Threonylcarbamoyl-AMP synthase	K07566	K07566		K07566	K07566
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00610	K13590	[EC:2.7.7.65]	dgcB	diguanylate cyclase	05BZU@bactNOG,0QM8V@gproNOG,0XNMH@NOG,16R4B@proNOG	Diguanylate cyclase			SZUA-1235_34:21222..22733	Diguanylate cyclase VdcA	K13590	K13590		K13590	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00611	K01613	[EC:4.1.1.65]	psd, PISD	phosphatidylserine decarboxylase	05FGM@bactNOG,0QHWZ@gproNOG,16RSK@proNOG,COG3001@NOG	Fructosamine kinase			SZUA-1235_34:22827..23708	hypothetical protein	K01613			K01613	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00612									SZUA-1235_34:c(23735..23938)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00613					08W2E@bactNOG,0QTBC@gproNOG,11K14@NOG,17BS5@proNOG	Inherit from proNOG: putative transmembrane protein			SZUA-1235_34:c(24281..24793)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00614					069JE@bactNOG,0QZ2F@gproNOG,0XYH5@NOG,17SSC@proNOG				SZUA-1235_34:c(24903..25199)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00615	K00655	[EC:2.3.1.51]	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	08Z20@bactNOG,0BMS4@bproNOG,17QE6@proNOG,COG0204@NOG	1-acyl-sn-glycerol-3-phosphate acyltransferase			SZUA-1235_34:c(25293..26039)	1-acyl-sn-glycerol-3-phosphate acyltransferase	K00655			K00655	K13509
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00616	K07126		K07126	uncharacterized protein	081WR@bactNOG,0QT9U@gproNOG,16WD5@proNOG,COG0790@NOG	Sel1 repeat			SZUA-1235_34:26158..26598	Secretory immunoglobulin A-binding protein EsiB	K07126	K07126		K07126	K21217
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00617	K00018	[EC:1.1.1.29]	hprA	glycerate dehydrogenase	05C5I@bactNOG,0QHXY@gproNOG,16PBG@proNOG,COG1052@NOG	dehydrogenase			SZUA-1235_34:c(26603..27541)	Glycerate dehydrogenase	K00018	K00018		K00018	K18916
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00618					05M08@bactNOG,0FSSS@cyaNOG,COG2363@NOG	Protein of unknown function (DUF423)			SZUA-1235_34:c(27534..27926)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00619					067I5@bactNOG,0R6XI@gproNOG,12BS5@NOG,17QC3@proNOG				SZUA-1235_34:c(27937..28482)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00620	K03638	[EC:2.7.7.75]	moaB	molybdopterin adenylyltransferase	08RIR@bactNOG,0QPVY@gproNOG,16SD8@proNOG,COG0521@NOG	molybdenum cofactor biosynthesis protein B			SZUA-1235_34:c(28492..29040)	Molybdenum cofactor biosynthesis protein B	K03638	K03638		K03638	K03831
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00621									SZUA-1235_34:29159..29437	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00622					05XUJ@bactNOG,0QKE5@gproNOG,0ZWJV@NOG,16SKG@proNOG	lipopolysaccharide biosynthesis protein			SZUA-1235_35:57..533	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00623	K08253	[EC:2.7.10.2]	E2.7.10.2	non-specific protein-tyrosine kinase	07XGJ@bactNOG,COG0489@NOG	Capsular exopolysaccharide family			SZUA-1235_35:544..1332	Putative tyrosine-protein kinase YveL	K08253			K08253	K16692
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00624	K02450		gspA	general secretion pathway protein A	065QU@bactNOG,0QI7R@gproNOG,16TEZ@proNOG,COG3267@NOG	general secretion pathway protein A			SZUA-1235_35:1343..2200	hypothetical protein	K02450			K02450	K12283
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00625									SZUA-1235_35:c(2685..2906)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00626	K00031	[EC:1.1.1.42]	IDH1, IDH2, icd	isocitrate dehydrogenase	05E9K@bactNOG,0QMIZ@gproNOG,16PGU@proNOG,COG2838@NOG	Isocitrate dehydrogenase			SZUA-1235_36:10..1383	Isocitrate dehydrogenase [NADP]	K00031	K00031		K00031	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00627					05ZJ2@bactNOG,0BPVG@bproNOG,1270X@NOG,17QI7@proNOG	Sulfotransferase family			SZUA-1235_36:1376..1981	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00628	K19127		csy1	CRISPR-associated protein Csy1	COG3914@NOG	protein N-acetylglucosaminyltransferase activity			SZUA-1235_36:1992..3890	UDP-glucose:protein N-beta-glucosyltransferase	K19127			K19127	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00629									SZUA-1235_36:3954..4118	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00630									SZUA-1235_36:4256..4417	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00631	K09004		K09004	uncharacterized protein	05N8D@bactNOG,0QUCV@gproNOG,11WBB@NOG,17H0Z@proNOG	DsrE/DsrF-like family			SZUA-1235_36:4483..4911	hypothetical protein	K09004	K09004		K09004	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00632									SZUA-1235_36:5058..5615	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00633									SZUA-1235_36:5634..6026	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00634					08WC4@bactNOG,0BDZB@bproNOG,11KIZ@NOG,179SK@proNOG	Alpha beta hydrolase fold protein			SZUA-1235_36:c(6023..6799)	Putative non-heme bromoperoxidase BpoC					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00635	K03635	[EC:2.8.1.12]	MOCS2B, moaE	molybdopterin synthase catalytic subunit	08ZAF@bactNOG,0BCGE@bproNOG,17CF9@proNOG,COG0314@NOG	Molybdopterin			SZUA-1235_36:c(6805..7263)	Molybdopterin synthase catalytic subunit	K03635	K03635		K03635	K21142
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00636	K13590	[EC:2.7.7.65]	dgcB	diguanylate cyclase	06TD9@bactNOG,0QP65@gproNOG,118EV@NOG,176Z3@proNOG	Diguanylate cyclase			SZUA-1235_36:c(7319..8416)	Diguanylate cyclase VdcA	K13590	K13590		K13590	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00637	K03753		mobB	molybdopterin-guanine dinucleotide biosynthesis adapter protein	05C6R@bactNOG,0QN04@gproNOG,17C4D@proNOG,COG0746@NOG,COG1763@NOG	Transfers a GMP moiety from GTP to Mo-molybdopterin (Mo- MPT) cofactor (Moco or molybdenum cofactor) to form Mo- molybdopterin guanine dinucleotide (Mo-MGD) cofactor (By similarity)			SZUA-1235_36:8576..9103	Molybdopterin-guanine dinucleotide biosynthesis adapter protein	K03753	K03753		K02379	K13818
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00638	K03118		tatC	sec-independent protein translocase protein TatC	05DCX@bactNOG,0QI0S@gproNOG,16Q1Y@proNOG,COG0805@NOG	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides (By similarity)			SZUA-1235_36:c(9100..9930)	Sec-independent protein translocase protein TatC	K03118	K03118	K03118	K03118	K03118
