#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00001	K01622	[EC:4.1.2.13][EC:3.1.3.11]	K01622	fructose 1,6-bisphosphate aldolase/phosphatase	02F0N@aquNOG,07NFR@bactNOG,COG1980@NOG	Fructose-1,6-bisphosphatase			SZUA-1519_1:c(9..1154)	Fructose-1,6-bisphosphate aldolase/phosphatase	K01622	K01622		K01622	K01622
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00213	K02907		RP-L30, MRPL30, rpmD	large subunit ribosomal protein L30	02G3F@aquNOG,08C6F@bactNOG,COG1841@NOG	50S ribosomal protein L30			SZUA-1519_10:c(49424..49804)	50S ribosomal protein L30	K02907	K02907		K02907	K02937
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00214	K02988		RP-S5, MRPS5, rpsE	small subunit ribosomal protein S5	02FDQ@aquNOG,08RA9@bactNOG,COG0098@NOG	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body (By similarity)			SZUA-1519_10:c(49819..50388)	30S ribosomal protein S5	K02988	K02988		K02988	K02988
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00215	K02881		RP-L18, MRPL18, rplR	large subunit ribosomal protein L18	02FJN@aquNOG,05K4C@bactNOG,COG0256@NOG	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)			SZUA-1519_10:c(50432..50836)	50S ribosomal protein L18	K02881	K02881	K02881	K02881	K02932
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00216	K02933		RP-L6, MRPL6, rplF	large subunit ribosomal protein L6	02FDJ@aquNOG,08R5J@bactNOG,COG0097@NOG	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity)			SZUA-1519_10:c(50853..51476)	50S ribosomal protein L6	K02933	K02933		K02933	K02940
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00217	K02994		RP-S8, rpsH	small subunit ribosomal protein S8	02FKK@aquNOG,08UJY@bactNOG,COG0096@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)			SZUA-1519_10:c(51493..51912)	30S ribosomal protein S8	K02994	K02994		K02994	K02994
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00218	K02954		RP-S14, MRPS14, rpsN	small subunit ribosomal protein S14	02FY8@aquNOG,082QR@bactNOG,COG0199@NOG	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site (By similarity)			SZUA-1519_10:c(51993..52181)	30S ribosomal protein S14 type Z	K02954	K02954		K02954	K02980
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00219	K02931		RP-L5, MRPL5, rplE	large subunit ribosomal protein L5	02EPM@aquNOG,05CW6@bactNOG,COG0094@NOG	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits			SZUA-1519_10:c(52200..52760)	50S ribosomal protein L5	K02931	K02931		K02931	K02931
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00220	K02895		RP-L24, MRPL24, rplX	large subunit ribosomal protein L24	02FTW@aquNOG,05KAR@bactNOG,COG0198@NOG	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit (By similarity)			SZUA-1519_10:c(52775..53161)	50S ribosomal protein L24	K02895	K02895		K02895	K02898
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00221	K02874		RP-L14, MRPL14, rplN	large subunit ribosomal protein L14	02FKW@aquNOG,08UNN@bactNOG,COG0093@NOG	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity)			SZUA-1519_10:c(53174..53542)	50S ribosomal protein L14	K02874	K02874		K02874	K02894
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00223	K07164		K07164	uncharacterized protein	02G0B@aquNOG,063MK@bactNOG,COG1579@NOG	Putative zinc ribbon domain			SZUA-1519_10:53821..54555	Chromosome partition protein Smc	K07164	K07164		K07164	K07164
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00224	K03177	[EC:5.4.99.25]	truB, PUS4, TRUB1	tRNA pseudouridine55 synthase	02FC1@aquNOG,05D0T@bactNOG,COG0130@NOG	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs (By similarity)			SZUA-1519_10:c(54552..55421)	tRNA pseudouridine synthase B	K03177	K03177		K03177	K03177
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00225	K07237		tusB, dsrH	tRNA 2-thiouridine synthesizing protein B	02FW4@aquNOG,06217@bactNOG,124UA@NOG				SZUA-1519_10:c(55436..55672)	hypothetical protein	K07237			K07237	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00226	K07236		tusC, dsrF	tRNA 2-thiouridine synthesizing protein C	02FW3@aquNOG,05Z1K@bactNOG,127BJ@NOG	DsrE/DsrF-like family			SZUA-1519_10:c(55672..56016)	hypothetical protein	K07236			K07236	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00227	K07235	[EC:2.8.1.-]	tusD, dsrE	tRNA 2-thiouridine synthesizing protein D	02G17@aquNOG,065YP@bactNOG,128N1@NOG	DsrE/DsrF-like family			SZUA-1519_10:c(56016..56327)	hypothetical protein	K07235			K07235	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00228	K21337		mdpA5	aminotransferase	02EU0@aquNOG,05CF4@bactNOG,COG0399@NOG	DegT DnrJ EryC1			SZUA-1519_10:56376..57452	3-oxo-glucose-6-phosphate:glutamate aminotransferase	K21337				K21337
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00229	K01928	[EC:6.3.2.13]	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	02EYU@aquNOG,07EEN@bactNOG,COG0769@NOG	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)			SZUA-1519_10:c(57420..58850)	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	K01928	K01928		K01928	K15792
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00230	K03525	[EC:2.7.1.33]	coaX	type III pantothenate kinase	02FYT@aquNOG,05CGM@bactNOG,COG1521@NOG	Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis (By similarity)			SZUA-1519_10:58875..59579	Type III pantothenate kinase	K03525	K03525		K03525	K03525
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00232	K01924	[EC:6.3.2.8]	murC	UDP-N-acetylmuramate--alanine ligase	02ER6@aquNOG,05DFU@bactNOG,COG0773@NOG	Cell wall formation (By similarity)			SZUA-1519_11:177..1553	UDP-N-acetylmuramate--L-alanine ligase	K01924	K01924		K01921	K02558
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00233	K04654		hypD	hydrogenase expression/formation protein HypD	02F7I@aquNOG,05CQS@bactNOG,COG0409@NOG	hydrogenase expression formation protein HypD			SZUA-1519_12:21..1094	Hydrogenase maturation factor HypD	K04654	K04654		K04654	K04654
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00234	K00762	[EC:2.4.2.10]	pyrE	orotate phosphoribosyltransferase	02FFE@aquNOG,07YIW@bactNOG,COG0461@NOG	Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP) (By similarity)			SZUA-1519_12:c(1077..1634)	Orotate phosphoribosyltransferase	K00762	K00762		K00762	K00762
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00235	K00286	[EC:1.5.1.2]	proC	pyrroline-5-carboxylate reductase	02FBH@aquNOG,05II7@bactNOG,COG0345@NOG	pyrroline-5-carboxylate reductase (EC 1.5.1.2)			SZUA-1519_12:1667..2467	Pyrroline-5-carboxylate reductase	K00286	K00286	K00286	K00286	K02239
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00236	K01151	[EC:3.1.21.2]	nfo	deoxyribonuclease IV	02EXX@aquNOG,05EFU@bactNOG,COG0648@NOG	Endonuclease IV plays a role in DNA repair. It cleaves phosphodiester bonds at apurinic or apyrimidinic sites (AP sites) to produce new 5'-ends that are base-free deoxyribose 5-phosphate residues. It preferentially attacks modified AP sites created by bleomycin and neocarzinostatin (By similarity)			SZUA-1519_13:216..1058	Endonuclease 4	K01151	K01151	K10771	K01151	K01151
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00237	K07140		K07140	uncharacterized protein	07UT8@bactNOG,0FJWX@cyaNOG,COG3217@NOG	MOSC domain-containing protein			SZUA-1519_13:1065..1859	hypothetical protein	K07140	K07140		K07140	K07140
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00238	K04043		dnaK, HSPA9	molecular chaperone DnaK	02EVD@aquNOG,05CFG@bactNOG,COG0443@NOG	Acts as a chaperone (By similarity)			SZUA-1519_13:c(1856..3748)	Chaperone protein DnaK	K04043	K04043		K04043	K04046
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00239	K01255	[EC:3.4.11.1]	CARP, pepA	leucyl aminopeptidase	02EUY@aquNOG,05BZ6@bactNOG,COG0260@NOG	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides (By similarity)			SZUA-1519_13:c(3897..5381)	Cytosol aminopeptidase	K01255	K01255		K01255	K07751
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00240	K00951	[EC:2.7.6.5]	relA	GTP pyrophosphokinase	02EJE@aquNOG,05CWR@bactNOG,COG0317@NOG	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance			SZUA-1519_13:5430..7511	GTP pyrophosphokinase	K00951	K00951		K00951	K01139
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00241									SZUA-1519_13:c(7498..7833)	Sec-independent protein translocase protein TatB					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00242	K01627	[EC:2.5.1.55]	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)	02EVB@aquNOG,05CXR@bactNOG,COG2877@NOG	2-dehydro-3-deoxyphosphooctonate aldolase			SZUA-1519_13:7871..8671	2-dehydro-3-deoxyphosphooctonate aldolase	K01627	K01627		K01627	K01627
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00243	K03628		rho	transcription termination factor Rho	02F89@aquNOG,05C4P@bactNOG,COG1158@NOG	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template (By similarity)			SZUA-1519_13:c(8668..10101)	Transcription termination factor Rho	K03628	K03628		K03628	K03628
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00244	K03650	[EC:3.6.-.-]	mnmE, trmE, MSS1	tRNA modification GTPase	02EPT@aquNOG,05C1H@bactNOG,COG0486@NOG	Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34 (By similarity)			SZUA-1519_13:c(10125..11501)	tRNA modification GTPase MnmE	K03650	K03650		K03650	K03650
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00246	K02897		RP-L25, rplY	large subunit ribosomal protein L25	02FC9@aquNOG,07ZTA@bactNOG,COG1825@NOG	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance (By similarity)			SZUA-1519_13:c(11818..12423)	General stress protein CTC	K02897	K02897		K02897	K02897
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00247	K00948	[EC:2.7.6.1]	PRPS, prsA	ribose-phosphate pyrophosphokinase	02EYN@aquNOG,05C5T@bactNOG,COG0462@NOG	ribose-phosphate pyrophosphokinase (EC 2.7.6.1)			SZUA-1519_13:c(12512..13447)	Ribose-phosphate pyrophosphokinase	K00948	K00948	K00948	K00948	K00948
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00248	K01101	[EC:3.1.3.41]	E3.1.3.41	4-nitrophenyl phosphatase	02FDB@aquNOG,07Z0T@bactNOG,COG0647@NOG	HAD-superfamily hydrolase, subfamily IIA			SZUA-1519_13:c(13468..14262)	Dihydroxyacetone phosphatase	K01101			K01101	K02566
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00249									SZUA-1519_13:c(14274..14618)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00250	K06176	[EC:5.4.99.27]	truD, PUS7	tRNA pseudouridine13 synthase	02FEJ@aquNOG,088NP@bactNOG,COG0585@NOG	tRNA pseudouridine synthase D			SZUA-1519_13:c(14625..15572)	tRNA pseudouridine synthase D	K06176	K06176		K06176	K06176
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00251	K06199		crcB, FEX	fluoride exporter	02FXE@aquNOG,05WMR@bactNOG,COG0239@NOG	Protein CrcB homolog			SZUA-1519_14:793..1167	Putative fluoride ion transporter CrcB	K06199	K06199	K06199	K06199	K06199
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00252	K03495		gidA, mnmG, MTO1	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	02EY7@aquNOG,07RE5@bactNOG,COG0445@NOG	NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34 (By similarity)			SZUA-1519_14:c(1201..3093)	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	K03495	K03495		K03495	K03495
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00253	K00097	[EC:1.1.1.262]	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	02EU7@aquNOG,05CEZ@bactNOG,COG1995@NOG	Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP) (By similarity)			SZUA-1519_14:c(3086..4087)	D-threonate 4-phosphate dehydrogenase	K00097	K00097		K00097	K22024
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00254	K02843	[EC:2.4.-.-]	waaF, rfaF	heptosyltransferase II	02ETQ@aquNOG,05XA0@bactNOG,COG0859@NOG	glycosyl transferase family			SZUA-1519_14:c(4094..5107)	ADP-heptose--LPS heptosyltransferase 2	K02843	K02843		K02843	K12982
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00255	K03499		trkA, ktrA	trk system potassium uptake protein	02FPG@aquNOG,05ER4@bactNOG,COG3400@NOG	TrkA-N domain			SZUA-1519_14:5127..6587	hypothetical protein	K03499	K03499		K09944	K09944
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00256	K03455		TC.KEF	monovalent cation:H+ antiporter-2, CPA2 family	02FGQ@aquNOG,07WWF@bactNOG,COG0475@NOG	Sodium/hydrogen exchanger family			SZUA-1519_14:6589..7740	Na(+)/H(+)-K(+) antiporter GerN	K03455			K03455	K11747
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00257	K01695	[EC:4.2.1.20]	trpA	tryptophan synthase alpha chain	02F50@aquNOG,05F6H@bactNOG,COG0159@NOG	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity)			SZUA-1519_14:7766..8551	Tryptophan synthase alpha chain	K01695	K01695		K00571	K01695
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00258	K13292	[EC:2.-.-.-]	lgt, umpA	phosphatidylglycerol:prolipoprotein diacylglycerol transferase	02FBT@aquNOG,07XN1@bactNOG,COG0682@NOG	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins (By similarity)			SZUA-1519_14:8565..9302	Prolipoprotein diacylglyceryl transferase	K13292	K13292		K13292	K13292
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00259	K03666		hfq	host factor-I protein	02FZD@aquNOG,05KW8@bactNOG,COG1923@NOG	RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Also binds with high specificity to tRNAs (By similarity)			SZUA-1519_14:c(9721..9993)	RNA-binding protein Hfq	K03666	K03666		K03666	K03666
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00260	K02902		RP-L28, MRPL28, rpmB	large subunit ribosomal protein L28	02EY0@aquNOG,05DSJ@bactNOG,COG1561@NOG	Domain of unknown function (DUF1732)			SZUA-1519_14:10087..10956	hypothetical protein	K02902			K02902	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00261	K01972	[EC:6.5.1.2]	E6.5.1.2, ligA, ligB	DNA ligase (NAD+)	02EPB@aquNOG,05C77@bactNOG,COG0272@NOG	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA			SZUA-1519_14:c(10958..13210)	DNA ligase	K01972	K01972		K01972	K01972
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00262	K01007	[EC:2.7.9.2]	pps, ppsA	pyruvate, water dikinase	02GSX@aquNOG,08HRN@bactNOG,COG0574@NOG	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate (By similarity)			SZUA-1519_14:c(13311..15884)	Phosphoenolpyruvate synthase	K01007	K01007		K01007	K21787
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00263	K01879	[EC:6.1.1.14]	glyS	glycyl-tRNA synthetase beta chain	02EZ8@aquNOG,07RFA@bactNOG,COG0751@NOG	Glycyl-tRNA synthetase beta subunit			SZUA-1519_14:c(15980..18058)	Glycine--tRNA ligase beta subunit	K01879	K01879		K01879	K01879
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00264	K03147	[EC:4.1.99.17]	thiC	phosphomethylpyrimidine synthase	02EMD@aquNOG,05CBF@bactNOG,COG0422@NOG	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction (By similarity)			SZUA-1519_14:18164..19567	Phosphomethylpyrimidine synthase	K03147	K03147		K03147	K03147
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00265	K02035		ABC.PE.S	peptide/nickel transport system substrate-binding protein	02F44@aquNOG,07QRA@bactNOG,COG0747@NOG	Extracellular solute-binding protein family 5			SZUA-1519_14:19592..21340	putative ABC transporter-binding protein	K02035	K02035		K02035	K19226
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00266	K02653		pilC	type IV pilus assembly protein PilC	02EZS@aquNOG,05D7Q@bactNOG,COG1459@NOG	Type II secretion system			SZUA-1519_14:c(21435..22712)	Type II secretion system protein F	K02653	K02653		K02653	K12278
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00267	K02669		pilT	twitching motility protein PilT	02F0H@aquNOG,05CZX@bactNOG,COG2805@NOG	twitching motility protein			SZUA-1519_14:c(22716..23819)	Twitching mobility protein	K02669	K02669		K02669	K02670
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00268	K03274	[EC:5.1.3.20]	gmhD, rfaD	ADP-L-glycero-D-manno-heptose 6-epimerase	02EX7@aquNOG,05CUI@bactNOG,COG0451@NOG	Catalyzes the interconversion between ADP-D-glycero- beta-D-manno-heptose and ADP-L-glycero-beta-D-manno-heptose via an epimerization at carbon 6 of the heptose (By similarity)			SZUA-1519_14:23906..24838	ADP-L-glycero-D-manno-heptose-6-epimerase	K03274	K03274		K01784	K22025
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00269	K00525	[EC:1.17.4.1]	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain	02F08@aquNOG,05BZH@bactNOG,COG0209@NOG	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)			SZUA-1519_14:24864..27299	Ribonucleoside-diphosphate reductase 1 subunit alpha	K00525	K00525		K00525	K00525
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00270	K00526	[EC:1.17.4.1]	E1.17.4.1B, nrdB, nrdF	ribonucleoside-diphosphate reductase beta chain	02F7Y@aquNOG,05E05@bactNOG,COG0208@NOG	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)			SZUA-1519_14:27549..28688	Ribonucleoside-diphosphate reductase subunit beta	K00526			K00526	K00526
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00271	K00077	[EC:1.1.1.169]	panE, apbA	2-dehydropantoate 2-reductase	08JZF@bactNOG,COG1893@NOG	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid (By similarity)			SZUA-1519_14:28709..29650	2-dehydropantoate 2-reductase	K00077	K00077		K00077	K17665
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00272	K04094	[EC:2.1.1.74]	trmFO, gid	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase	02EV3@aquNOG,07QXI@bactNOG,COG1206@NOG	Catalyzes the folate-dependent formation of 5-methyl- uridine at position 54 (M-5-U54) in all tRNAs (By similarity)			SZUA-1519_14:29654..30979	Methylenetetrahydrofolate--tRNA-(uracil-5-)- methyltransferase TrmFO	K04094	K04094		K03495	K04094
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00273	K01950	[EC:6.3.5.1]	E6.3.5.1, NADSYN1, QNS1, nadE	NAD+ synthase (glutamine-hydrolysing)	02ETH@aquNOG,05C4K@bactNOG,COG0171@NOG,COG0388@NOG	NAD synthetase			SZUA-1519_14:30996..32720	Glutamine-dependent NAD(+) synthetase	K01950	K01950		K01916	K20806
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00274	K09457	[EC:1.7.1.13]	queF	7-cyano-7-deazaguanine reductase	02FG4@aquNOG,07ZTM@bactNOG,COG0780@NOG	Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1) (By similarity)			SZUA-1519_14:32717..33139	NADPH-dependent 7-cyano-7-deazaguanine reductase	K09457	K09457	K09457	K09457	K09457
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00275	K15897	[EC:3.6.1.57]	pseG	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase	07DKY@bactNOG,COG3980@NOG	pseudaminic acid biosynthesis-associated protein PseG			SZUA-1519_14:c(33136..34125)	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	K15897			K15897	K15897
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00276	K00941	[EC:2.7.1.49][EC:2.7.4.7]	thiD	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	02F0M@aquNOG,05DWF@bactNOG,COG0351@NOG	Phosphomethylpyrimidine kinase			SZUA-1519_14:c(34128..34772)	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	K00941	K00941		K00941	K21219
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00277	K00024	[EC:1.1.1.37]	mdh	malate dehydrogenase	05C80@bactNOG,COG0039@NOG	Catalyzes the reversible oxidation of malate to oxaloacetate (By similarity)			SZUA-1519_15:c(9..992)	Malate dehydrogenase	K00024	K00024		K00024	K00051
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00278	K13789	[EC:2.5.1.1][EC:2.5.1.10][EC:2.5.1.29]	GGPS	geranylgeranyl diphosphate synthase, type II	02F8B@aquNOG,05CTB@bactNOG,COG0142@NOG	Polyprenyl synthetase			SZUA-1519_15:c(1059..1880)	Farnesyl diphosphate synthase	K13789	K13789		K00795	K21275
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00279	K13640		hspR	MerR family transcriptional regulator, heat shock protein HspR	02FSP@aquNOG,05KNI@bactNOG,COG0789@NOG	transcriptional regulator, MerR family			SZUA-1519_15:c(1945..2337)	Putative heat shock protein HspR	K13640	K13640		K13640	K21972
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00280	K03686		dnaJ	molecular chaperone DnaJ	02F42@aquNOG,05BZ5@bactNOG,COG0484@NOG	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity)			SZUA-1519_15:c(2341..3492)	Chaperone protein DnaJ	K03686	K03686	K09502	K03686	K14002
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00281	K03685	[EC:3.1.26.3]	rnc, DROSHA, RNT1	ribonuclease III	02FF4@aquNOG,08ZBM@bactNOG,COG0571@NOG	Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Also processes some mRNAs, and tRNAs when they are encoded in the rRNA operon			SZUA-1519_15:3899..4546	Ribonuclease 3	K03685	K03685		K03685	K03685
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00282	K13283		fieF	ferrous-iron efflux pump FieF	02F62@aquNOG,07QNN@bactNOG,COG0053@NOG	cation diffusion facilitator family transporter			SZUA-1519_15:c(4543..5775)	putative cation efflux system protein	K13283				K13283
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00283	K00950	[EC:2.7.6.3]	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	02FQF@aquNOG,05K8U@bactNOG,COG0801@NOG	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase			SZUA-1519_15:5850..6347	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	K00950	K00950		K00950	K13941
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00284									SZUA-1519_15:6361..6600	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00285	K07462	[EC:3.1.-.-]	recJ	single-stranded-DNA-specific exonuclease	02ES7@aquNOG,05C2R@bactNOG,COG0608@NOG	single-stranded-DNA-specific exonuclease RecJ			SZUA-1519_15:6601..8235	Single-stranded-DNA-specific exonuclease RecJ	K07462	K07462		K07462	K07462
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00286	K02357		tsf, TSFM	elongation factor Ts	02ETB@aquNOG,05CU7@bactNOG,COG0264@NOG	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)			SZUA-1519_15:c(8260..9135)	Elongation factor Ts	K02357	K02357		K02357	K02357
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00287					06AEI@bactNOG,0XWXR@NOG,17S73@proNOG				SZUA-1519_15:c(9172..10356)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00288									SZUA-1519_15:c(10404..11108)	hypothetical protein					
