#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00001	K00288	[EC:1.5.1.5][EC:3.5.4.9][EC:6.3.4.3]	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase	05CKU@bactNOG,0D1VH@chloNOG,COG2759@NOG	Formate--tetrahydrofolate ligase (EC 6.3.4.3)			SZUA-1494_1:5..1879	Formate--tetrahydrofolate ligase	K00288	K00288		K00288	K01938
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00469					05BZU@bactNOG,099K3@bctoNOG,0P86V@flaNOG,0XNMH@NOG	Histidine kinase			SZUA-1494_201:c(258..1493)	Sensor histidine kinase ResE					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00470	K12410	[EC:3.5.1.-]	npdA	NAD-dependent deacetylase	05NDF@bactNOG,0D2RR@chloNOG,COG0846@NOG	silent information regulator protein Sir2			SZUA-1494_201:c(1563..2339)	NAD-dependent protein deacetylase	K12410	K12410	K12410	K12410	K12410
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00471	K05982	[EC:3.1.21.7]	E3.1.21.7, nfi	deoxyribonuclease V	05Y7X@bactNOG,0QHSN@gproNOG,173YH@proNOG,COG1515@NOG	Selectively cleaves double-stranded DNA at the second phosphodiester bond 3' to a deoxyinosine leaving behind the intact lesion on the nicked DNA. Acts in DNA repair (By similarity)			SZUA-1494_201:c(2360..3106)	Endonuclease V	K05982	K05982		K05982	K05982
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00472	K02282		cpaE, tadZ	pilus assembly protein CpaE	05KVC@bactNOG,COG4963@NOG	response regulator receiver protein			SZUA-1494_201:c(3146..3877)	hypothetical protein	K02282			K02282	K02282
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00473	K01776	[EC:5.1.1.3]	murI	glutamate racemase	05F03@bactNOG,0D29S@chloNOG,COG0796@NOG	Provides the (R)-glutamate required for cell wall biosynthesis (By similarity)			SZUA-1494_202:c(150..1751)	Glutamate racemase	K01776	K01776	K01776	K01776	K01776
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00474	K02884		RP-L19, MRPL19, rplS	large subunit ribosomal protein L19	08YY1@bactNOG,0D2N7@chloNOG,COG0335@NOG	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)			SZUA-1494_202:c(1903..2265)	50S ribosomal protein L19	K02884	K02884		K02884	K02884
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00475					07FPD@bactNOG,0D5M8@chloNOG,0Y4JW@NOG	FecR protein			SZUA-1494_203:57..1262	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00476									SZUA-1494_203:1273..1470	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00477									SZUA-1494_204:62..394	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00478	K07776		regX3	two-component system, OmpR family, response regulator RegX3	05DPZ@bactNOG,0D2CE@chloNOG,0G724@dehNOG,COG0745@NOG	response regulator			SZUA-1494_204:540..1235	Transcriptional regulatory protein WalR	K07776		K07776	K02483	K21603
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00479	K12132	[EC:2.7.11.1]	prkC, stkP	eukaryotic-like serine/threonine-protein kinase	05D9P@bactNOG,COG0515@NOG	serine threonine protein kinase			SZUA-1494_205:c(858..2072)	Serine/threonine-protein kinase StkP	K12132	K12132		K12132	K22009
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00480	K21397		K21397	ABC transport system ATP-binding/permease protein	08MUM@bactNOG,0ETA4@cloNOG,0NJCJ@firmNOG,COG1716@NOG	FHA domain-containing protein			SZUA-1494_205:c(2101..2841)	FHA domain-containing protein FhaB	K21397				K21397
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00481					07GYA@bactNOG,0D2KJ@chloNOG,0D6HI@chlorNOG,0ZKF0@NOG				SZUA-1494_206:113..2446	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00482									SZUA-1494_207:1665..2144	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00483									SZUA-1494_207:2511..2876	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00484									SZUA-1494_208:867..1070	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00485									SZUA-1494_208:c(1324..1497)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00486									SZUA-1494_209:c(1328..2044)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00487									SZUA-1494_210:134..538	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00488	K21395		yiaO	TRAP-type transport system periplasmic protein	05EVV@bactNOG,0G8TB@deiNOG,COG1638@NOG	Bacterial extracellular solute-binding protein, family 7			SZUA-1494_210:558..1532	hypothetical protein	K21395				K21395
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00489	K08972		K08972	putative membrane protein	0836Q@bactNOG,0D353@chloNOG,COG1950@NOG	Membrane protein of unknown function			SZUA-1494_211:312..698	hypothetical protein	K08972	K08972		K08972	K08972
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00490	K00615	[EC:2.2.1.1]	E2.2.1.1, tktA, tktB	transketolase	05CV1@bactNOG,0D1ER@chloNOG,COG0021@NOG	transketolase (EC 2.2.1.1)			SZUA-1494_211:c(879..2279)	Transketolase	K00615	K00615		K00615	K00615
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00491					069Z1@bactNOG,0QW2X@gproNOG,0XUQY@NOG,17RYK@proNOG	Excisionase			SZUA-1494_212:12..338	Putative DNA-binding proteinA					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00492					05BZU@bactNOG,0D3JX@chloNOG,0D6TE@chlorNOG,0XNMH@NOG	Signal transduction histidine kinase			SZUA-1494_212:492..2084	Sensor histidine kinase ResE					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00493					05F8C@bactNOG,0D1QX@chloNOG,0D63J@chlorNOG,COG1305@NOG	transglutaminase domain-containing protein			SZUA-1494_212:c(2097..3689)	Protein-glutamine gamma-glutamyltransferase					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00494	K10441	[EC:3.6.3.17]	rbsA	ribose transport system ATP-binding protein	05C2J@bactNOG,0D1G7@chloNOG,COG1129@NOG	Part of the ABC transporter complex RbsABCD involved in ribose import. Responsible for energy coupling to the transport system (By similarity)			SZUA-1494_213:c(162..1673)	Ribose import ATP-binding protein RbsA	K10441	K10441	K10441	K01995	K17215
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00495	K10439		rbsB	ribose transport system substrate-binding protein	05E9V@bactNOG,0D2NF@chloNOG,COG1879@NOG	Periplasmic binding proteins and sugar binding domain of LacI family			SZUA-1494_213:c(1742..1906)	Ribose import binding protein RbsB	K10439	K10439		K10439	K17213
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00496	K02851	[EC:2.7.8.33][EC:2.7.8.35]	wecA, tagO, rfe	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase	05ESV@bactNOG,0D1RQ@chloNOG,COG0472@NOG	Glycosyl transferase, family 4			SZUA-1494_214:38..922	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase	K02851	K02851		K02851	K13685
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00497	K07029	[EC:2.7.1.107]	dagK	diacylglycerol kinase (ATP)	05CBD@bactNOG,0D2GK@chloNOG,0D6X9@chlorNOG,COG1597@NOG	Diacylglycerol kinase, catalytic region			SZUA-1494_215:47..793	Putative lipid kinase BmrU	K07029			K07029	K07029
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00498									SZUA-1494_215:c(955..1254)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00499	K19055	[EC:3.1.1.-]	prdX, proX	Ala-tRNA(Pro) deacylase	00K6Z@actNOG,080SN@bactNOG,COG2606@NOG	ybak prolyl-trna synthetase associated region			SZUA-1494_215:c(1432..1908)	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	K19055				K19055
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00500					05XDK@bactNOG,0EXC3@cloNOG,0NS6K@firmNOG,124T1@NOG				SZUA-1494_215:c(1905..2882)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00501	K01048	[EC:3.1.1.5]	pldB	lysophospholipase	05E8V@bactNOG,09F55@bctoNOG,COG2267@NOG	Alpha beta hydrolase			SZUA-1494_216:c(851..1717)	Monoacylglycerol lipase	K01048			K01048	K01122
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00502	K02483		K02483	two-component system, OmpR family, response regulator	05DPZ@bactNOG,0D2CE@chloNOG,COG0745@NOG	Two component transcriptional regulator, winged helix family			SZUA-1494_217:c(641..1333)	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	K02483		K02483	K02483	K21603
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00503					067C9@bactNOG,0D3C3@chloNOG,125FG@NOG				SZUA-1494_217:c(1716..2177)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00504					08R20@bactNOG,0EZ7X@cloNOG,0NTVW@firmNOG,11F46@NOG	Uroporphyrinogen decarboxylase (URO-D)			SZUA-1494_218:135..1142	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00505	K01885	[EC:6.1.1.17]	EARS, gltX	glutamyl-tRNA synthetase	05C20@bactNOG,0D1KX@chloNOG,COG0008@NOG	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)			SZUA-1494_218:1139..2626	Glutamate--tRNA ligase	K01885	K01885	K01885	K01885	K09698
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00506	K00865	[EC:2.7.1.165]	glxK, garK	glycerate 2-kinase					SZUA-1494_219:c(25..552)	hypothetical protein	K00865	K00865			
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00507									SZUA-1494_220:126..242	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00508					0KT1A@eurNOG,0WM8F@methaNOG,COG1592@NOG,COG4802@NOG,arCOG01099@arNOG,arCOG01100@arNOG	Ferredoxin thioredoxin reductase catalytic beta chain			SZUA-1494_220:239..727	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00509	K07079		K07079	uncharacterized protein	07SET@bactNOG,0NF30@firmNOG,COG0667@NOG	aldo keto reductase			SZUA-1494_220:774..1652	Aldo-keto reductase IolS	K07079			K07079	K21334
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00510	K18455	[EC:3.5.1.115]	mca	mycothiol S-conjugate amidase	05ISU@bactNOG,0NK4D@firmNOG,COG2120@NOG	Lmbe family			SZUA-1494_221:58..657	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2	K18455			K18455	K18455
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00511	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	0KSE0@eurNOG,0WKC9@methaNOG,COG1131@NOG,arCOG00194@arNOG	daunorubicin resistance ABC transporter ATPase subunit			SZUA-1494_221:654..1676	Daunorubicin/doxorubicin resistance ATP-binding protein DrrA	K01990	K01990	K01990	K01990	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00512	K01903	[EC:6.2.1.5]	sucC	succinyl-CoA synthetase beta subunit	05CMV@bactNOG,0D1TA@chloNOG,COG0045@NOG	succinyl-CoA synthetase subunit beta			SZUA-1494_222:47..1189	Succinate--CoA ligase [GDP-forming] subunit beta	K01903	K01903	K01903	K01903	K01903
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00513	K02503		HINT1, hinT, hit	histidine triad (HIT) family protein	07Z60@bactNOG,0D3HG@chloNOG,0D865@chlorNOG,COG0537@NOG	Histidine triad (HIT) protein			SZUA-1494_222:1195..1605	Protein hit	K02503	K02503		K02503	K19710
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00514									SZUA-1494_223:48..1109	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00515	K16886		qmoB	quinone-modifying oxidoreductase, subunit QmoB	08Z1E@bactNOG,COG1908@NOG	Methyl-viologen-reducing hydrogenase, delta subunit			SZUA-1494_223:c(947..1387)	hypothetical protein	K16886				K16886
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00516	K03390	[EC:1.8.7.3][EC:1.8.98.4][EC:1.8.98.5][EC:1.8.98.6]	hdrC2	heterodisulfide reductase subunit C2	07TP2@bactNOG,0GC9H@delNOG,0HCPB@dproNOG,17IAH@proNOG,COG1150@NOG	heterodisulfide reductase, subunit			SZUA-1494_223:c(1384..1983)	NADH-quinone oxidoreductase subunit I	K03390			K03390	K08265
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00517	K03388	[EC:1.8.7.3][EC:1.8.98.4][EC:1.8.98.5][EC:1.8.98.6]	hdrA2	heterodisulfide reductase subunit A2	07EEV@bactNOG,0GRRM@delNOG,0HRFE@dproNOG,18A50@proNOG,COG1148@NOG,COG1908@NOG	4Fe-4S Ferredoxin iron-sulfur binding domain protein			SZUA-1494_223:c(1985..3133)	Ferredoxin-2	K03388	K03388		K03388	K16886
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00518					0KSJ5@eurNOG,0WK17@methaNOG,COG0053@NOG,arCOG01475@arNOG	cation diffusion facilitator family transporter			SZUA-1494_224:55..1266	putative cation efflux system protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00519	K06897	[EC:2.5.1.105]	K06897	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase	08R8Y@bactNOG,0GDN9@delNOG,0HH4S@dproNOG,177Z1@proNOG,COG1237@NOG	Metallo-beta-lactamase superfamily			SZUA-1494_224:1517..2224	Ribonuclease BN	K06897	K06897		K06897	K06897
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00520	K04488		iscU, nifU	nitrogen fixation protein NifU and related proteins	08Z9E@bactNOG,0ETFZ@cloNOG,0NJIA@firmNOG,COG0822@NOG	nifu-like protein			SZUA-1494_224:2243..2659	Iron-sulfur cluster assembly scaffold protein IscU	K04488	K04488		K04488	K13819
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00521	K03711		fur, zur, furB	Fur family transcriptional regulator, ferric uptake regulator	090R7@bactNOG,0ETBY@cloNOG,0NJEG@firmNOG,COG0735@NOG	Ferric uptake regulator, Fur family			SZUA-1494_224:2916..3326	Peroxide operon regulator	K03711	K03711		K03711	K09826
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00522					05W5S@bactNOG,0GHUA@delNOG,0HHS0@dproNOG,122UZ@NOG,17P3S@proNOG	Dinitrogenase iron-molybdenum cofactor			SZUA-1494_224:3350..3544	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00523	K02036	[EC:3.6.3.27]	pstB	phosphate transport system ATP-binding protein	05BZY@bactNOG,0D1DH@chloNOG,0G70B@dehNOG,COG1117@NOG	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system (By similarity)			SZUA-1494_224:c(3706..4449)	Phosphate import ATP-binding protein PstB 3	K02036	K02036	K02036	K02036	K02036
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00524					0787Z@bactNOG,0Z2PU@NOG	Dolichyl-phosphate-mannose-protein mannosyltransferase			SZUA-1494_225:c(645..2684)	Anti-sigma-I factor RsgI3					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00525	K00012	[EC:1.1.1.22]	UGDH, ugd	UDPglucose 6-dehydrogenase	05C6Y@bactNOG,0D1MR@chloNOG,COG1004@NOG	Nucleotide sugar dehydrogenase			SZUA-1494_226:c(388..1713)	UDP-glucose 6-dehydrogenase TuaD	K00012	K00012	K00012	K00012	K00012
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00526	K02025		ABC.MS.P	multiple sugar transport system permease protein	04SFF@bacNOG,05E4X@bactNOG,0NEEM@firmNOG,COG1175@NOG	-transport system			SZUA-1494_227:102..593	Lactose transport system permease protein LacF	K02025	K02025		K02025	K17330
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00527	K02026		ABC.MS.P1	multiple sugar transport system permease protein	05EX2@bactNOG,0D4P0@chloNOG,COG0395@NOG	binding-protein-dependent transport systems inner membrane component			SZUA-1494_227:604..1494	L-arabinose transport system permease protein AraQ	K02026	K02026	K02026	K02026	K17331
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00528									SZUA-1494_227:c(1539..1724)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00529	K04096		smf	DNA processing protein	05C79@bactNOG,0D1J0@chloNOG,0D69M@chlorNOG,COG0758@NOG	DNA protecting protein DprA			SZUA-1494_228:212..1321	DNA processing protein DprA	K04096	K04096		K04096	K04096
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00530	K00971	[EC:2.7.7.13]	manC, cpsB	mannose-1-phosphate guanylyltransferase	05CJT@bactNOG,COG0836@NOG	Mannose-1-phosphate guanylyltransferase			SZUA-1494_228:1357..2424	Alginate biosynthesis protein AlgA	K00971	K00971	K00971	K00971	K16011
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00531					0KTPY@eurNOG,0WMNS@methaNOG,COG4741@NOG,arCOG05252@arNOG	Endonuclease related to archaeal Holliday junction resolvase			SZUA-1494_229:c(1455..2126)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00532	K04072	[EC:1.2.1.10][EC:1.1.1.1]	adhE	acetaldehyde dehydrogenase / alcohol dehydrogenase	05C0A@bactNOG,0D1MA@chloNOG,COG1454@NOG	iron-containing alcohol dehydrogenase			SZUA-1494_229:c(2126..3292)	Aldehyde-alcohol dehydrogenase	K04072	K04072		K00001	K19954
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00533	K05518	[EC:3.1.3.3]	rsbX	phosphoserine phosphatase RsbX	064BQ@bactNOG,126YW@NOG	Phosphatase			SZUA-1494_230:101..682	Phosphoserine phosphatase RsbX	K05518			K05518	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00534									SZUA-1494_230:c(1476..2090)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00535	K01940	[EC:6.3.4.5]	argG, ASS1	argininosuccinate synthase	05CDH@bactNOG,0D1TS@chloNOG,COG0137@NOG	Citrulline--aspartate ligase			SZUA-1494_231:25..564	Argininosuccinate synthase	K01940	K01940		K01940	K01940
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00536	K01755	[EC:4.3.2.1]	argH, ASL	argininosuccinate lyase	05CH7@bactNOG,0D1QW@chloNOG,0D716@chlorNOG,COG0165@NOG	argininosuccinate lyase			SZUA-1494_231:612..1997	Argininosuccinate lyase	K01755	K01755		K01755	K14681
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00537	K05826		lysW	alpha-aminoadipate/glutamate carrier protein LysW	06928@bactNOG,0D3CG@chloNOG,0D8V7@chlorNOG,0XXG3@NOG	lysine biosynthesis protein LysW			SZUA-1494_231:1990..2154	Alpha-aminoadipate carrier protein LysW	K05826	K05826		K05826	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00538	K05827	[EC:6.3.2.43]	lysX	[lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase	05D9I@bactNOG,0D1B1@chloNOG,0D64K@chlorNOG,COG0189@NOG	Lysine biosynthesis enzyme LysX			SZUA-1494_231:2554..3045	Alpha-aminoadipate--LysW ligase LysX	K05827	K05827		K05827	K19727
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00539	K05827	[EC:6.3.2.43]	lysX	[lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase	05D9I@bactNOG,0D1B1@chloNOG,0D64K@chlorNOG,COG0189@NOG	Lysine biosynthesis enzyme LysX			SZUA-1494_231:3021..3878	Alpha-aminoadipate--LysW ligase LysX	K05827	K05827		K05827	K19727
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00540									SZUA-1494_231:c(4019..4738)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00541	K03710		K03710	GntR family transcriptional regulator	05C1I@bactNOG,0D1UG@chloNOG,COG1167@NOG	Transcriptional regulator, GntR family with aminotransferase domain			SZUA-1494_232:c(554..1936)	2-aminoadipate transaminase	K03710			K03710	K18907
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00542					0KS8G@eurNOG,0WKDT@methaNOG,COG4745@NOG,arCOG00562@arNOG	Glycosyl transferase family 39			SZUA-1494_233:c(55..1857)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00543					05BZU@bactNOG,0D21J@chloNOG,0D696@chlorNOG,0XNMH@NOG	multi-sensor signal transduction histidine kinase			SZUA-1494_234:5..2230	Sensor histidine kinase ResE					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00544					06SNR@bactNOG,0ENVE@cloNOG,0NEDQ@firmNOG,0XR6P@NOG				SZUA-1494_235:c(77..976)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00545	K13292	[EC:2.-.-.-]	lgt, umpA	phosphatidylglycerol:prolipoprotein diacylglycerol transferase	07X0M@bactNOG,0GFEB@delNOG,0HG91@dproNOG,16X9U@proNOG,COG0682@NOG	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins (By similarity)			SZUA-1494_235:c(1067..1843)	Prolipoprotein diacylglyceryl transferase	K13292	K13292		K13292	K13292
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00546									SZUA-1494_236:100..486	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00547	K03569		mreB	rod shape-determining protein MreB and related proteins	05DFF@bactNOG,0D1YT@chloNOG,COG1077@NOG	Rod shape-determining protein MreB			SZUA-1494_236:860..1921	Rod shape-determining protein MreB	K03569	K03569	K03569	K03569	K03569
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00548	K03570		mreC	rod shape-determining protein MreC	07RJW@bactNOG,0D2GF@chloNOG,COG1792@NOG	Involved in formation and maintenance of cell shape (By similarity)			SZUA-1494_236:2126..2989	Cell shape-determining protein MreC	K03570	K03570		K03570	K03570
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00549									SZUA-1494_237:23..646	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00550					085M7@bactNOG,0D3BK@chloNOG,0D8K2@chlorNOG,12AVV@NOG	family transcriptional regulator			SZUA-1494_237:c(702..1241)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00551	K03787	[EC:3.1.3.5]	surE	5'-nucleotidase	05XMS@bactNOG,COG0496@NOG	Survival protein SurE			SZUA-1494_237:1444..2235	5'-nucleotidase SurE	K03787	K03787		K03787	K03787
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00552	K00575	[EC:2.1.1.80]	cheR	chemotaxis protein methyltransferase CheR	0KRPJ@eurNOG,0WKH5@methaNOG,COG0457@NOG,arCOG03032@arNOG,arCOG03038@arNOG,arCOG05137@arNOG	TPR repeat-containing protein			SZUA-1494_237:2537..3982	Lipopolysaccharide assembly protein B	K00575			K00575	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00553									SZUA-1494_238:40..519	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00554	K19302	[EC:3.6.1.27]	bcrC	undecaprenyl-diphosphatase	05WCH@bactNOG,COG0671@NOG	integral membrane protein			SZUA-1494_238:529..1110	Undecaprenyl-diphosphatase BcrC	K19302	K19302		K06153	K19803
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00555	K07100		K07100	putative phosphoribosyl transferase	08V4Y@bactNOG,0ESHQ@cloNOG,0NI69@firmNOG,COG1926@NOG	phosphoribosyltransferase			SZUA-1494_239:c(158..793)	hypothetical protein	K07100			K07100	K07100
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00556	K06966	[EC:3.2.2.10][EC:3.2.2.-]	ppnN	pyrimidine/purine-5'-nucleotide nucleosidase	05PVK@bactNOG,COG1611@NOG	Rossmann fold nucleotide-binding protein			SZUA-1494_239:c(797..1270)	Cytokinin riboside 5'-monophosphate phosphoribohydrolase	K06966	K06966	K06966	K06966	K06966
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00557	K01975	[EC:3.1.4.58]	thpR	RNA 2',3'-cyclic 3'-phosphodiesterase	05M7V@bactNOG,0D2T7@chloNOG,0G7AJ@dehNOG,COG1514@NOG	2-5 RNA ligase			SZUA-1494_239:c(1478..2065)	RNA 2',3'-cyclic phosphodiesterase	K01975	K01975	K01975	K01975	K01975
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00558					06JT6@bactNOG,0D1VW@chloNOG,0D6BZ@chlorNOG,0YA86@NOG				SZUA-1494_240:66..1331	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00559	K20946		vpsE	polysaccharide biosynthesis protein VpsE	085TM@bactNOG,0D2BP@chloNOG,COG2244@NOG	Polysaccharide biosynthesis protein			SZUA-1494_241:c(441..1568)	hypothetical protein	K20946				K20946
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00560									SZUA-1494_242:424..1323	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00561	K13954	[EC:1.1.1.1]	yiaY	alcohol dehydrogenase	06PN1@bactNOG,1APIT@spiNOG,COG1454@NOG	3-dehydroquinate synthase			SZUA-1494_243:c(6..1286)	NAD-dependent methanol dehydrogenase	K13954			K13954	K19954
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00562									SZUA-1494_243:c(1485..2105)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00563									SZUA-1494_243:c(2138..2482)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00564	K01733	[EC:4.2.3.1]	thrC	threonine synthase	07QZA@bactNOG,16VS7@proNOG,COG0498@NOG	Threonine synthase			SZUA-1494_244:72..1478	Threonine synthase	K01733	K01733		K01733	K15527
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00565					07AHD@bactNOG,0ZBBQ@NOG				SZUA-1494_244:1500..1862	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00566									SZUA-1494_245:96..233	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00567	K06921		K06921	uncharacterized protein	0KVMQ@eurNOG,1CDR9@thermNOG,COG1672@NOG,arCOG03169@arNOG	Archaeal ATPase			SZUA-1494_245:337..1584	hypothetical protein	K06921			K06921	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00568	K06200		cstA	carbon starvation protein	05D22@bactNOG,0EQC5@cloNOG,0NDV6@firmNOG,COG1966@NOG	Carbon starvation protein			SZUA-1494_246:74..1639	Peptide transporter CstA	K06200	K06200		K06200	K06200
