#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1430|SZUA-1430_00001					08R5T@bactNOG,11FHM@NOG	secreted protein			SZUA-1430_1:4..1179	Putative lipoprotein YerB					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00103	K01462	[EC:3.5.1.88]	PDF, def	peptide deformylase	08RBJ@bactNOG,COG0242@NOG	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity)			SZUA-1430_42:1927..2427	Peptide deformylase	K01462	K01462		K01462	K01462
Candidatus_bacterium_SZUA-1430|SZUA-1430_00104	K09721		K09721	uncharacterized protein	1CC1W@thaNOG,COG1698@NOG,arCOG04308@arNOG	Uncharacterised protein family (UPF0147)			SZUA-1430_43:c(408..677)	hypothetical protein	K09721	K09721		K09721	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00105					1CBTC@thaNOG,COG0179@NOG,arCOG00235@arNOG	5-carboxymethyl-2-hydroxymuconate Delta-isomerase			SZUA-1430_43:c(735..1580)	putative protein YisK					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00106	K16857		THBS1	thrombospondin 1	0A0RB@biNOG,0DNNJ@chorNOG,0IFQQ@euNOG,0N2TN@fiNOG,0V6VV@meNOG,0XQKE@NOG,12R26@opiNOG,1CY61@veNOG	thrombospondin 1			SZUA-1430_44:6..608	hypothetical protein	K16857			K16857	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00107									SZUA-1430_44:608..982	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00108									SZUA-1430_44:1006..1536	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00109	K06950		K06950	uncharacterized protein	05EST@bactNOG,0GE7W@delNOG,0HFBE@dproNOG,174Z7@proNOG,COG1418@NOG	Metal dependent phosphohydrolase			SZUA-1430_44:1555..2229	putative protein YedJ	K06950	K06950		K06950	K18682
Candidatus_bacterium_SZUA-1430|SZUA-1430_00110	K18568	[EC:3.6.1.-]	thnR	CoA pyrophosphatase	04WYH@bacNOG,064P7@bactNOG,0NNXZ@firmNOG,COG0494@NOG	nudix family			SZUA-1430_44:2409..2894	RNA pyrophosphohydrolase	K18568				K18568
Candidatus_bacterium_SZUA-1430|SZUA-1430_00111	K02906		RP-L3, MRPL3, rplC	large subunit ribosomal protein L3					SZUA-1430_45:7..147	50S ribosomal protein L3	K02906	K02906			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00112	K02926		RP-L4, MRPL4, rplD	large subunit ribosomal protein L4	06U5A@bactNOG,0EPXA@cloNOG,0NEBN@firmNOG,COG0088@NOG	Forms part of the polypeptide exit tunnel (By similarity)			SZUA-1430_45:162..794	50S ribosomal protein L4	K02926	K02926		K02926	K02930
Candidatus_bacterium_SZUA-1430|SZUA-1430_00113	K02892		RP-L23, MRPL23, rplW	large subunit ribosomal protein L23	00MWC@actNOG,05KZR@bactNOG,COG0089@NOG	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity)			SZUA-1430_45:799..1206	50S ribosomal protein L23	K02892	K02892		K02892	K02893
Candidatus_bacterium_SZUA-1430|SZUA-1430_00114	K02886		RP-L2, MRPL2, rplB	large subunit ribosomal protein L2	05CFD@bactNOG,0EP03@cloNOG,0NDSP@firmNOG,COG0090@NOG	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity			SZUA-1430_45:1233..2063	50S ribosomal protein L2	K02886	K02886		K02886	K02938
Candidatus_bacterium_SZUA-1430|SZUA-1430_00115	K02965		RP-S19, rpsS	small subunit ribosomal protein S19	05K7S@bactNOG,0GEM6@delNOG,0I3UC@eproNOG,17C5Q@proNOG,COG0185@NOG	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity)			SZUA-1430_45:2074..2367	30S ribosomal protein S19	K02965	K02965		K02965	K02965
Candidatus_bacterium_SZUA-1430|SZUA-1430_00116	K02890		RP-L22, MRPL22, rplV	large subunit ribosomal protein L22	04UV2@bacNOG,05KAP@bactNOG,0NJ7J@firmNOG,COG0091@NOG	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)			SZUA-1430_45:2403..2819	50S ribosomal protein L22	K02890	K02890		K02890	K02890
Candidatus_bacterium_SZUA-1430|SZUA-1430_00117	K02982		RP-S3, rpsC	small subunit ribosomal protein S3	05CKE@bactNOG,0ENVZ@cloNOG,0NDQG@firmNOG,COG0092@NOG	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)			SZUA-1430_45:2830..3483	30S ribosomal protein S3	K02982	K02982		K02982	K02985
Candidatus_bacterium_SZUA-1430|SZUA-1430_00118	K02878		RP-L16, MRPL16, rplP	large subunit ribosomal protein L16	08R70@bactNOG,0ERRW@cloNOG,0NH5I@firmNOG,COG0197@NOG	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs (By similarity)			SZUA-1430_45:3541..3924	50S ribosomal protein L16	K02878	K02878		K02878	K02878
Candidatus_bacterium_SZUA-1430|SZUA-1430_00119	K02904		RP-L29, rpmC	large subunit ribosomal protein L29					SZUA-1430_45:3952..4146	50S ribosomal protein L29	K02904	K02904			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00120	K02961		RP-S17, MRPS17, rpsQ	small subunit ribosomal protein S17	04VK3@bacNOG,05K87@bactNOG,0NKNM@firmNOG,COG0186@NOG	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal			SZUA-1430_45:4164..4403	30S ribosomal protein S17	K02961	K02961		K02961	K02961
Candidatus_bacterium_SZUA-1430|SZUA-1430_00121	K02874		RP-L14, MRPL14, rplN	large subunit ribosomal protein L14	08UNN@bactNOG,0ESCS@cloNOG,0NI2N@firmNOG,COG0093@NOG	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity)			SZUA-1430_45:4432..4803	50S ribosomal protein L14	K02874	K02874	K02874	K02874	K02894
Candidatus_bacterium_SZUA-1430|SZUA-1430_00122									SZUA-1430_46:446..643	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00123									SZUA-1430_46:c(760..999)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00124	K11749	[EC:3.4.24.-]	rseP	regulator of sigma E protease	04RQ0@bacNOG,05DZP@bactNOG,0NDB5@firmNOG,COG0750@NOG	metalloprotease			SZUA-1430_46:c(1100..1531)	Regulator of sigma-W protease RasP	K11749	K11749		K11749	K11749
Candidatus_bacterium_SZUA-1430|SZUA-1430_00125	K20885	[EC:2.4.1.339][EC:2.4.1.340]	K20885	beta-1,2-mannobiose phosphorylase / 1,2-beta-oligomannan phosphorylase	0KTWM@eurNOG,COG2152@NOG,arCOG04084@arNOG	Domain of unknown function (DUF377)			SZUA-1430_47:12..1481	1,4-beta-mannosyl-N-acetylglucosamine phosphorylase	K20885	K20885			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00126	K20885	[EC:2.4.1.339][EC:2.4.1.340]	K20885	beta-1,2-mannobiose phosphorylase / 1,2-beta-oligomannan phosphorylase	0KTWM@eurNOG,COG2152@NOG,arCOG04084@arNOG	Domain of unknown function (DUF377)			SZUA-1430_47:1493..3451	Beta-1,4-mannooligosaccharide phosphorylase	K20885	K20885			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00127									SZUA-1430_48:349..807	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00128	K06889		K06889	uncharacterized protein	065J6@bactNOG,09CT8@bctoNOG,0P8MF@flaNOG,0XSQD@NOG	Alpha beta superfamily hydrolase			SZUA-1430_48:c(2925..3218)	hypothetical protein	K06889			K06889	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00129	K02238		comEC	competence protein ComEC	08GTX@bactNOG,0D5VY@chloNOG,0G7HY@dehNOG,COG0658@NOG,COG2333@NOG	DNA internalization-related competence protein ComEC Rec2			SZUA-1430_49:c(162..1013)	ComE operon protein 3	K02238			K02238	K02238
Candidatus_bacterium_SZUA-1430|SZUA-1430_00130									SZUA-1430_49:c(1169..1573)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00131									SZUA-1430_50:c(135..437)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00132	K00627	[EC:2.3.1.12]	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	01V64@aproNOG,07TTQ@bactNOG,0ZW0J@NOG,16S4B@proNOG	Dihydrolipoamide			SZUA-1430_50:c(586..1542)	Tropinesterase	K00627			K00627	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00133	K12992	[EC:2.4.1.-]	rfbN	rhamnosyltransferase	07VFU@bactNOG,0Z7HG@NOG	Glycosyl transferase family 2			SZUA-1430_50:c(1555..2277)	PGL/p-HBAD biosynthesis glycosyltransferase	K12992			K12992	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00134					020C6@aproNOG,05SY9@bactNOG,11YJ5@NOG,17HZ7@proNOG	SNARE associated Golgi protein			SZUA-1430_50:c(2284..2889)	Protein DedA					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00135	K08307	[EC:4.2.2.-]	mltD, dniR	membrane-bound lytic murein transglycosylase D	05E9H@bactNOG,0QHZG@gproNOG,16Q6H@proNOG,COG0741@NOG	Lytic Murein transglycosylase			SZUA-1430_50:2929..4662	Membrane-bound lytic murein transglycosylase D	K08307	K08307		K08307	K08309
Candidatus_bacterium_SZUA-1430|SZUA-1430_00136									SZUA-1430_50:c(4735..6768)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00137	K03601	[EC:3.1.11.6]	xseA	exodeoxyribonuclease VII large subunit	05DVS@bactNOG,0ENTU@cloNOG,0NDAA@firmNOG,COG1570@NOG	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)			SZUA-1430_52:c(206..1810)	Exodeoxyribonuclease 7 large subunit	K03601	K03601		K03601	K03601
Candidatus_bacterium_SZUA-1430|SZUA-1430_00138	K03702		uvrB	excinuclease ABC subunit B	05CCW@bactNOG,0EPAA@cloNOG,0NDQV@firmNOG,COG0556@NOG	damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage (By similarity)			SZUA-1430_53:416..2374	UvrABC system protein B	K03702	K03702		K03702	K03702
Candidatus_bacterium_SZUA-1430|SZUA-1430_00139									SZUA-1430_54:126..407	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00140	K03432	[EC:3.4.25.1]	psmA, prcA	proteasome alpha subunit	1CBHU@thaNOG,COG0638@NOG,arCOG00971@arNOG	Proteasome subunit A N-terminal signature			SZUA-1430_55:116..487	hypothetical protein	K03432	K03432		K03432	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00141	K03183	[EC:2.1.1.163][EC:2.1.1.201]	ubiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	1CB3C@thaNOG,COG2226@NOG,arCOG04348@arNOG	Methyltransferase type 11			SZUA-1430_55:525..1214	Demethylmenaquinone methyltransferase	K03183	K03183		K03183	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00142	K03116		tatA	sec-independent protein translocase protein TatA	1CC25@thaNOG,COG1826@NOG,arCOG02694@arNOG	Sec-independent translocation protein mttA Hcf106			SZUA-1430_55:1268..1612	Sec-independent protein translocase protein TatB	K03116			K03116	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00143					05IT7@bactNOG,11P9V@NOG,17CWS@proNOG				SZUA-1430_56:c(83..640)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00144					05XDK@bactNOG,0QYC1@gproNOG,124T1@NOG,17HEI@proNOG				SZUA-1430_56:c(698..1546)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00145					0857V@bactNOG,0D30P@chloNOG,0ZY7Q@NOG				SZUA-1430_57:52..1047	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00146	K01790	[EC:5.1.3.13]	rfbC, rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	08URP@bactNOG,09EEM@bctoNOG,0PA5P@flaNOG,COG1898@NOG	DTDP-4-dehydrorhamnose 3,5-epimerase			SZUA-1430_57:1153..1725	dTDP-4-dehydrorhamnose 3,5-epimerase	K01790	K01790		K00067	K01790
Candidatus_bacterium_SZUA-1430|SZUA-1430_00147	K01515	[EC:3.6.1.13]	nudF	ADP-ribose pyrophosphatase	08YZ4@bactNOG,0ET4R@cloNOG,0NJ9U@firmNOG,COG0494@NOG	Nudix hydrolase			SZUA-1430_57:1712..2266	ADP-ribose pyrophosphatase	K01515			K01515	K18568
Candidatus_bacterium_SZUA-1430|SZUA-1430_00148	K02871		RP-L13, MRPL13, rplM	large subunit ribosomal protein L13	1CBV2@thaNOG,COG0102@NOG,arCOG04242@arNOG	ribosomal protein L13			SZUA-1430_60:219..533	50S ribosomal protein L13	K02871	K02871		K02871	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00149	K02996		RP-S9, MRPS9, rpsI	small subunit ribosomal protein S9	1CBPJ@thaNOG,COG0103@NOG,arCOG04243@arNOG	30S ribosomal protein S9			SZUA-1430_60:533..979	30S ribosomal protein S9	K02996	K02996		K02871	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00150	K01704	[EC:4.2.1.33][EC:4.2.1.35]	leuD, IPMI-S	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit	1CBEY@thaNOG,COG0066@NOG,arCOG02230@arNOG	3-isopropylmalate dehydratase, small subunit			SZUA-1430_60:c(989..1363)	2,3-dimethylmalate dehydratase small subunit	K01704	K01704		K01704	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00151	K01703	[EC:4.2.1.33][EC:4.2.1.35]	leuC, IPMI-L	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit	COG0065@NOG,arCOG01698@arNOG	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)			SZUA-1430_60:c(1471..2193)	2,3-dimethylmalate dehydratase large subunit	K01703	K01703		K01703	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00152	K01006	[EC:2.7.9.1]	ppdK	pyruvate, orthophosphate dikinase	1CB5C@thaNOG,COG0574@NOG,arCOG01111@arNOG	pyruvate phosphate dikinase			SZUA-1430_61:126..656	Pyruvate, phosphate dikinase	K01006	K01006		K01006	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00153									SZUA-1430_61:c(583..879)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00154									SZUA-1430_62:108..491	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00155									SZUA-1430_62:569..832	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00156					0Z53I@NOG,arCOG09607@arNOG				SZUA-1430_62:914..2044	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00157									SZUA-1430_62:c(2440..2733)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00158									SZUA-1430_63:55..297	Heat-inducible transcription repressor HrcA					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00159	K03687		GRPE	molecular chaperone GrpE	04UV3@bacNOG,05K90@bactNOG,0NJEM@firmNOG,COG0576@NOG	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ			SZUA-1430_63:310..1164	Protein GrpE	K03687	K03687		K03687	K03687
Candidatus_bacterium_SZUA-1430|SZUA-1430_00160	K01880	[EC:6.1.1.14]	GARS, glyS1	glycyl-tRNA synthetase	05D9H@bactNOG,099T9@bctoNOG,1AG5Q@sphNOG,COG0423@NOG	Catalyzes the attachment of glycine to tRNA(Gly) (By similarity)			SZUA-1430_64:18..1010	Glycine--tRNA ligase	K01880	K01880		K01880	K01880
Candidatus_bacterium_SZUA-1430|SZUA-1430_00161									SZUA-1430_64:1093..2037	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00162									SZUA-1430_64:2115..2231	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00163									SZUA-1430_64:2244..2465	Cardiolipin synthase					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00164									SZUA-1430_65:c(172..423)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00165	K09807		K09807	uncharacterized protein	0KSFT@eurNOG,0WKSE@methaNOG,COG2968@NOG,arCOG04715@arNOG	Protein of unknown function (DUF541)			SZUA-1430_65:c(433..1176)	26 kDa periplasmic immunogenic protein	K09807	K09807	K09807	K09807	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00166									SZUA-1430_65:c(1220..2653)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00167									SZUA-1430_65:c(2764..3423)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00168									SZUA-1430_66:c(24..407)	primosomal protein N'					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00169									SZUA-1430_66:640..1197	RNA 2',3'-cyclic phosphodiesterase					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00170	K05946	[EC:2.4.1.187]	tagA, tarA	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	08UHC@bactNOG,0ESDC@cloNOG,0NI34@firmNOG,COG1922@NOG	Glycosyl transferase, WecB TagA CpsF family			SZUA-1430_66:1254..2012	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	K05946	K05946		K02852	K13660
Candidatus_bacterium_SZUA-1430|SZUA-1430_00171									SZUA-1430_66:2058..2183	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00172	K09698	[EC:6.1.1.24]	gltX	nondiscriminating glutamyl-tRNA synthetase	05C20@bactNOG,0EP04@cloNOG,0NDF1@firmNOG,COG0008@NOG	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)			SZUA-1430_66:2176..3666	Glutamate--tRNA ligase	K09698	K09698	K01885	K01885	K09698
Candidatus_bacterium_SZUA-1430|SZUA-1430_00173									SZUA-1430_66:c(3944..4165)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00174	K03536	[EC:3.1.26.5]	rnpA	ribonuclease P protein component	082ZZ@bactNOG,0FQ05@cyaNOG,COG0594@NOG	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)			SZUA-1430_67:117..461	Ribonuclease P protein component	K03536	K03536	K03536	K03536	K03536
Candidatus_bacterium_SZUA-1430|SZUA-1430_00175	K03217		yidC, spoIIIJ, OXA1, ccfA	YidC/Oxa1 family membrane protein insertase	05DHW@bactNOG,1C7XI@synNOG,COG0706@NOG	Membrane protein insertase, YidC Oxa1 family			SZUA-1430_67:474..1229	Membrane protein insertase YidC 2	K03217	K03217		K03217	K17797
Candidatus_bacterium_SZUA-1430|SZUA-1430_00176	K06346		jag	spoIIIJ-associated protein	07YIT@bactNOG,1AMYP@spiNOG,COG1847@NOG	Single-stranded nucleic acid binding R3H domain-containing protein			SZUA-1430_67:1257..1742	hypothetical protein	K06346	K06346		K06346	K06346
Candidatus_bacterium_SZUA-1430|SZUA-1430_00177									SZUA-1430_68:c(144..788)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00178									SZUA-1430_68:c(915..1667)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00179	K14952		namH	UDP-MurNAc hydroxylase	07WCI@bactNOG,1CGHX@therNOG,COG2220@NOG	Zn-dependent hydrolase of the beta-lactamase fold-like protein			SZUA-1430_68:2070..2732	hypothetical protein	K14952				K14952
Candidatus_bacterium_SZUA-1430|SZUA-1430_00180									SZUA-1430_68:2764..3057	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00181	K02469	[EC:5.99.1.3]	gyrA	DNA gyrase subunit A	05C24@bactNOG,0D1KW@chloNOG,COG0188@NOG	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)			SZUA-1430_68:3227..5686	DNA gyrase subunit A	K02469	K02469		K02469	K03164
Candidatus_bacterium_SZUA-1430|SZUA-1430_00182									SZUA-1430_68:5762..5854	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00183									SZUA-1430_68:c(5976..6212)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00184					0KRTV@eurNOG,0WPUT@methNOG,COG0438@NOG,arCOG01411@arNOG	Glycosyl transferase group 1			SZUA-1430_69:25..636	D-inositol 3-phosphate glycosyltransferase					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00185									SZUA-1430_70:800..1039	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00186									SZUA-1430_70:c(1127..2296)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00187	K03704		cspA	cold shock protein (beta-ribbon, CspA family)	08583@bactNOG,128EE@NOG,1556R@plaNOG	cold shock protein ScoF			SZUA-1430_71:c(270..470)	Cold shock-like protein CspD	K03704	K03704		K03704	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00188					04W91@bacNOG,05VK3@bactNOG,0NNP6@firmNOG,COG1714@NOG	membrane protein yteJ			SZUA-1430_71:644..1243	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00189	K01626	[EC:2.5.1.54]	E2.5.1.54, aroF, aroG, aroH	3-deoxy-7-phosphoheptulonate synthase	05E99@bactNOG,0QHSJ@gproNOG,16PQR@proNOG,COG0722@NOG	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP) (By similarity)			SZUA-1430_71:1252..2295	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	K01626	K01626	K01626	K01626	K01626
Candidatus_bacterium_SZUA-1430|SZUA-1430_00190									SZUA-1430_71:2352..2465	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00191	K16703	[EC:2.4.-.-]	wcaL, amsK	colanic acid/amylovoran biosynthesis glycosyltransferase	0KT67@eurNOG,COG0438@NOG,arCOG01403@arNOG	glycosyl transferase group 1			SZUA-1430_72:33..1190	N, N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase	K16703			K16703	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00192									SZUA-1430_72:c(1565..1792)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00193									SZUA-1430_72:c(2156..2344)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00194	K01803	[EC:5.3.1.1]	TPI, tpiA	triosephosphate isomerase (TIM)	0563B@bacteNOG,05CP7@bactNOG,099Q6@bctoNOG,COG0149@NOG	Triosephosphate isomerase			SZUA-1430_73:c(847..1593)	Triosephosphate isomerase	K01803	K01803		K01803	K21910
Candidatus_bacterium_SZUA-1430|SZUA-1430_00195					0KTA9@eurNOG,0WM57@methaNOG,COG2426@NOG,arCOG01330@arNOG	small multi-drug export			SZUA-1430_73:c(1613..2104)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00196	K00965	[EC:2.7.7.12]	galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase	05F0Z@bactNOG,1CFGJ@therNOG,COG1085@NOG	Galactose-1-phosphate uridylyltransferase			SZUA-1430_73:c(2126..3169)	Galactose-1-phosphate uridylyltransferase	K00965	K00965		K00965	K00965
Candidatus_bacterium_SZUA-1430|SZUA-1430_00197	K00729	[EC:2.4.1.117]	ALG5	dolichyl-phosphate beta-glucosyltransferase	0039Y@aciNOG,05E6A@bactNOG,COG0463@NOG	Glycosyl transferase family 2			SZUA-1430_73:c(3179..3928)	Polyprenol monophosphomannose synthase	K00729			K00729	K21366
Candidatus_bacterium_SZUA-1430|SZUA-1430_00198	K07264	[EC:2.4.2.43]	arnT, pmrK	4-amino-4-deoxy-L-arabinose transferase	05SA9@bactNOG,0FM94@cyaNOG,COG1807@NOG	Glycosyl transferase family 39			SZUA-1430_74:41..1216	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase	K07264				K07264
Candidatus_bacterium_SZUA-1430|SZUA-1430_00199	K19236		ycfS	L,D-transpeptidase YcfS	05FF0@bactNOG,COG1376@NOG	ErfK YbiS YcfS YnhG			SZUA-1430_74:c(1268..2395)	hypothetical protein	K19236				K19236
Candidatus_bacterium_SZUA-1430|SZUA-1430_00200	K02242		comFC	competence protein ComFC	05MJ2@bactNOG,0D2TT@chloNOG,0G77E@dehNOG,COG1040@NOG	Phosphoribosyl transferase domain			SZUA-1430_74:c(2442..3179)	Amidophosphoribosyltransferase	K02242		K02242	K00764	K02242
Candidatus_bacterium_SZUA-1430|SZUA-1430_00201	K03696		clpC	ATP-dependent Clp protease ATP-binding subunit ClpC	05C2Z@bactNOG,0EP9K@cloNOG,0ND4R@firmNOG,COG0542@NOG	chaperone			SZUA-1430_74:c(3151..5580)	Negative regulator of genetic competence ClpC/MecB	K03696	K03696		K03696	K11907
Candidatus_bacterium_SZUA-1430|SZUA-1430_00202	K20530		trbE	type IV secretion system protein TrbE	00G44@actNOG,05DTV@bactNOG,COG3451@NOG	Type IV secretory pathway VirB4 protein-like protein			SZUA-1430_75:127..1956	Protein TraC	K20530				K20530
Candidatus_bacterium_SZUA-1430|SZUA-1430_00203	K06174		ABCE1, Rli1	ATP-binding cassette, sub-family E, member 1	1CBJB@thaNOG,COG1245@NOG,arCOG00187@arNOG	Possible Fer4-like domain in RNase L inhibitor, RLI			SZUA-1430_76:47..718	Zinc import ATP-binding protein ZnuC	K06174	K06174		K06174	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00204	K15429	[EC:2.1.1.228]	TRM5, TRMT5	tRNA (guanine37-N1)-methyltransferase	1CBRW@thaNOG,COG2520@NOG,arCOG00033@arNOG	Met-10+ like-protein			SZUA-1430_76:718..1554	Ribosomal RNA large subunit methyltransferase I	K15429	K15429	K15429	K15429	
