#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1403|SZUA-1403_00001	K02120		ATPVD, ntpD, atpD	V/A-type H+/Na+-transporting ATPase subunit D	05M56@bactNOG,0EQND@cloNOG,0NFD9@firmNOG,COG1394@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1403_1:c(221..877)	V-type sodium ATPase subunit D	K02120	K02120	K02120	K02120	K02149
Candidatus_bacterium_SZUA-1403|SZUA-1403_00183									SZUA-1403_23:6550..7920	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00184	K02340	[EC:2.7.7.7]	holA	DNA polymerase III subunit delta	05TQK@bactNOG,0EQ62@cloNOG,0NHAD@firmNOG,COG1466@NOG	DNA polymerase III delta' subunit			SZUA-1403_23:7925..8914	hypothetical protein	K02340	K02340		K02340	K02340
Candidatus_bacterium_SZUA-1403|SZUA-1403_00185	K05363	[EC:2.3.2.10]	murM	serine/alanine adding enzyme	05IMH@bactNOG,1AMZD@spiNOG,COG2348@NOG	Methicillin resistance protein			SZUA-1403_23:c(8925..9869)	hypothetical protein	K05363			K05363	K12554
Candidatus_bacterium_SZUA-1403|SZUA-1403_00186					05BZU@bactNOG,0ENQX@cloNOG,0ND7U@firmNOG,0XNMH@NOG	Diguanylate cyclase			SZUA-1403_23:c(9951..11528)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00187	K06915		K06915	uncharacterized protein	01QWY@aproNOG,05D7A@bactNOG,16PGX@proNOG,COG0433@NOG	Bacterial protein of unknown function (DUF853)			SZUA-1403_24:65..481	hypothetical protein	K06915	K06915		K06915	K06915
Candidatus_bacterium_SZUA-1403|SZUA-1403_00188	K13832	[EC:4.2.1.10][EC:1.1.1.25]	aroDE, DHQ-SDH	3-dehydroquinate dehydratase / shikimate dehydrogenase	04TV3@bacNOG,05FF2@bactNOG,0NERN@firmNOG,COG0710@NOG	Type I DHQase			SZUA-1403_24:506..1333	3-dehydroquinate dehydratase	K13832	K13832		K03785	K13832
Candidatus_bacterium_SZUA-1403|SZUA-1403_00189	K11605		sitC	manganese/iron transport system permease protein					SZUA-1403_24:c(1316..1936)	hypothetical protein	K11605	K11605			
Candidatus_bacterium_SZUA-1403|SZUA-1403_00190									SZUA-1403_24:c(1955..2191)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00191	K03438	[EC:2.1.1.199]	mraW, rsmH	16S rRNA (cytosine1402-N4)-methyltransferase	04RX7@bacNOG,05CGJ@bactNOG,0NDC3@firmNOG,COG0275@NOG	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)			SZUA-1403_24:c(2220..3179)	Ribosomal RNA small subunit methyltransferase H	K03438	K03438	K03438	K03438	K03438
Candidatus_bacterium_SZUA-1403|SZUA-1403_00192									SZUA-1403_24:c(3391..4518)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00193									SZUA-1403_24:4901..6046	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00194									SZUA-1403_25:101..319	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00195	K00355	[EC:1.6.5.2]	NQO1	NAD(P)H dehydrogenase (quinone)	08RGW@bactNOG,0QSTW@gproNOG,179UP@proNOG,COG2249@NOG	Flavodoxin-like fold			SZUA-1403_25:c(1124..1687)	FMN-dependent NADH-azoreductase 2	K00355			K00355	K13562
Candidatus_bacterium_SZUA-1403|SZUA-1403_00196									SZUA-1403_25:c(1731..2312)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00197	K01952	[EC:6.3.5.3]	purL, PFAS	phosphoribosylformylglycinamidine synthase	05D21@bactNOG,0R5CW@gproNOG,16SA1@proNOG,COG0047@NOG	Phosphoribosylformylglycinamidine synthase I (FGAM synthase I)			SZUA-1403_25:c(2325..3590)	Phosphoribosylformylglycinamidine synthase subunit PurQ	K01952	K01952		K01952	K01952
Candidatus_bacterium_SZUA-1403|SZUA-1403_00198	K01588	[EC:5.4.99.18]	purE	5-(carboxyamino)imidazole ribonucleotide mutase	08UM6@bactNOG,09DRI@bctoNOG,0P9Q6@flaNOG,COG0041@NOG	Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR) (By similarity)			SZUA-1403_25:c(3812..4330)	N5-carboxyaminoimidazole ribonucleotide mutase	K01588	K01588		K01588	K01588
Candidatus_bacterium_SZUA-1403|SZUA-1403_00199	K03572		mutL	DNA mismatch repair protein MutL	05DC6@bactNOG,0ENRI@cloNOG,0ND9V@firmNOG,COG0323@NOG	This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex (By similarity)			SZUA-1403_25:c(5514..7316)	DNA mismatch repair protein MutL	K03572	K03572		K03572	K03572
Candidatus_bacterium_SZUA-1403|SZUA-1403_00200	K01867	[EC:6.1.1.2]	WARS, trpS	tryptophanyl-tRNA synthetase	05C31@bactNOG,COG0180@NOG	Tryptophanyl-tRNA synthetase			SZUA-1403_25:c(7330..8307)	Tryptophan--tRNA ligase	K01867	K01867		K01867	K01867
Candidatus_bacterium_SZUA-1403|SZUA-1403_00203	K02888		RP-L21, MRPL21, rplU	large subunit ribosomal protein L21	04VKR@bacNOG,05KK9@bactNOG,0NKSY@firmNOG,COG0261@NOG	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)			SZUA-1403_26:390..695	50S ribosomal protein L21	K02888	K02888		K02888	K02888
Candidatus_bacterium_SZUA-1403|SZUA-1403_00204	K02238		comEC	competence protein ComEC	05EGY@bactNOG,0F7HA@cloNOG,0P6TQ@firmNOG,COG0658@NOG,COG2333@NOG	DNA internalization-related competence protein comec rec2			SZUA-1403_26:c(730..2244)	ComE operon protein 3	K02238	K02238		K02238	K02238
Candidatus_bacterium_SZUA-1403|SZUA-1403_00205	K03282		mscL	large conductance mechanosensitive channel	057C8@bacteNOG,05M2E@bactNOG,09G63@bctoNOG,COG1970@NOG	Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell (By similarity)			SZUA-1403_26:2393..2785	Large-conductance mechanosensitive channel	K03282	K03282	K03282	K03282	K03282
Candidatus_bacterium_SZUA-1403|SZUA-1403_00206									SZUA-1403_27:c(170..448)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00207	K16075		MRS2, MFM1	magnesium transporter	017V3@agaNOG,01CNA@agarNOG,092AB@basNOG,0PFS4@fuNOG,0XNNZ@NOG,12NFC@opiNOG,KOG2662@euNOG	Inherit from basNOG: magnesium ion transporter			SZUA-1403_27:c(461..1378)	hypothetical protein	K16075			K16075	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00208	K03088		rpoE	RNA polymerase sigma-70 factor, ECF subfamily	00HMV@actNOG,08SJ3@bactNOG,COG1595@NOG	RNA polymerase			SZUA-1403_27:c(1415..1984)	ECF RNA polymerase sigma factor SigX	K03088	K03088		K03088	K03088
Candidatus_bacterium_SZUA-1403|SZUA-1403_00209	K04078		groES, HSPE1	chaperonin GroES					SZUA-1403_27:2199..2492	10 kDa chaperonin	K04078	K04078			
Candidatus_bacterium_SZUA-1403|SZUA-1403_00210	K04077		groEL, HSPD1	chaperonin GroEL	05CJ9@bactNOG,0ND63@firmNOG,0X2GC@negNOG,COG0459@NOG	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)			SZUA-1403_27:2504..4195	60 kDa chaperonin	K04077	K04077		K04077	K04077
Candidatus_bacterium_SZUA-1403|SZUA-1403_00211					07R58@bactNOG,0XP57@NOG	glycosyl transferase group 1			SZUA-1403_27:4215..5384	GDP-mannose-dependent monoacylated alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00213									SZUA-1403_27:c(5566..5907)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00214	K07171	[EC:3.1.-.-]	mazF, ndoA, chpA	mRNA interferase MazF	081C4@bactNOG,1ANKX@spiNOG,COG2337@NOG	Toxic component of a toxin-antitoxin (TA) module (By similarity)			SZUA-1403_28:c(2025..2438)	hypothetical protein	K07171	K07171		K07171	K18841
Candidatus_bacterium_SZUA-1403|SZUA-1403_00215									SZUA-1403_28:c(2443..2907)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00216									SZUA-1403_29:c(95..334)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00217	K01586	[EC:4.1.1.20]	lysA	diaminopimelate decarboxylase	05CU5@bactNOG,0ENTT@cloNOG,0NDJD@firmNOG,COG0019@NOG	Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine (By similarity)			SZUA-1403_29:c(357..1460)	Diaminopimelate decarboxylase	K01586	K01586		K01586	K13747
Candidatus_bacterium_SZUA-1403|SZUA-1403_00218	K01258	[EC:3.4.11.4]	pepT	tripeptide aminopeptidase	05D42@bactNOG,COG2195@NOG	Cleaves the N-terminal amino acid of tripeptides (By similarity)			SZUA-1403_29:c(1614..2729)	N-acetyldiaminopimelate deacetylase	K01258	K01258		K01258	K01270
Candidatus_bacterium_SZUA-1403|SZUA-1403_00219	K01586	[EC:4.1.1.20]	lysA	diaminopimelate decarboxylase	05CU5@bactNOG,16PF4@proNOG,COG0019@NOG	Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine (By similarity)			SZUA-1403_29:c(3208..4473)	L-glutamyl-[BtrI acyl-carrier protein] decarboxylase	K01586	K01586		K01581	K13747
Candidatus_bacterium_SZUA-1403|SZUA-1403_00220	K00812	[EC:2.6.1.1]	aspB	aspartate aminotransferase	0KRFG@eurNOG,1CEE2@thermNOG,COG0436@NOG,arCOG01130@arNOG	Aspartate aminotransferase			SZUA-1403_29:c(4497..5612)	Putative N-acetyl-LL-diaminopimelate aminotransferase	K00812	K00812		K00812	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00221	K00674	[EC:2.3.1.117]	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	02EVC@aquNOG,05DMJ@bactNOG,COG2171@NOG	N-succinyltransferase (EC 2.3.1.117)			SZUA-1403_29:c(5643..6431)	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	K00674	K00674		K00674	K05822
Candidatus_bacterium_SZUA-1403|SZUA-1403_00222	K01714	[EC:4.3.3.7]	dapA	4-hydroxy-tetrahydrodipicolinate synthase	05CDP@bactNOG,0G7ZS@deiNOG,COG0329@NOG	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA) (By similarity)			SZUA-1403_29:c(6437..7321)	4-hydroxy-tetrahydrodipicolinate synthase	K01714	K01714		K01714	K21062
Candidatus_bacterium_SZUA-1403|SZUA-1403_00223	K00215	[EC:1.17.1.8]	dapB	4-hydroxy-tetrahydrodipicolinate reductase	07WA9@bactNOG,1ANBB@spiNOG,COG0289@NOG	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate (By similarity)			SZUA-1403_29:c(7332..8093)	4-hydroxy-tetrahydrodipicolinate reductase	K00215	K00215		K00215	K00215
Candidatus_bacterium_SZUA-1403|SZUA-1403_00224	K03325		ACR3, arsB	arsenite transporter	05D6J@bactNOG,0FJZC@cyaNOG,COG0798@NOG	arsenical-resistance protein			SZUA-1403_29:c(8344..9318)	Arsenical-resistance protein Acr3	K03325			K03325	K03325
Candidatus_bacterium_SZUA-1403|SZUA-1403_00225					05J1R@bactNOG,11QD3@NOG				SZUA-1403_29:c(9347..9739)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00226									SZUA-1403_29:9740..10282	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00227	K03088		rpoE	RNA polymerase sigma-70 factor, ECF subfamily	05DU6@bactNOG,COG1595@NOG	RNA polymerase			SZUA-1403_29:10339..10911	ECF RNA polymerase sigma factor SigW	K03088	K03088		K03088	K03088
Candidatus_bacterium_SZUA-1403|SZUA-1403_00228									SZUA-1403_29:10895..11623	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00229					05D4I@bactNOG,09C6X@bctoNOG,0FZ6P@cytNOG,COG4487@NOG	Uncharacterized protein conserved in bacteria (DUF2130)			SZUA-1403_30:c(7..1215)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00230	K06881	[EC:3.1.3.7][EC:3.1.13.3]	nrnA	bifunctional oligoribonuclease and PAP phosphatase NrnA	05SFS@bactNOG,COG0618@NOG	phosphoesterase RecJ domain protein			SZUA-1403_30:c(1310..3160)	Bifunctional oligoribonuclease and PAP phosphatase NrnA	K06881	K06881		K06881	K06881
Candidatus_bacterium_SZUA-1403|SZUA-1403_00231									SZUA-1403_30:3345..4244	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00232									SZUA-1403_30:4271..5257	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00233	K21379	[EC:2.3.1.209]	vioB	dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase	07YS3@bactNOG,0D36G@chloNOG,COG0110@NOG	transferase hexapeptide repeat containing protein			SZUA-1403_30:5310..5852	Maltose O-acetyltransferase	K21379				K21379
Candidatus_bacterium_SZUA-1403|SZUA-1403_00234	K12736	[EC:5.2.1.8]	PPWD1	peptidylprolyl isomerase domain and WD repeat-containing protein 1	04TVK@bacNOG,08R5K@bactNOG,0NHB5@firmNOG,COG0652@NOG	PPIases accelerate the folding of proteins			SZUA-1403_30:5932..6615	Putative peptidyl-prolyl cis-trans isomerase	K12736	K12736	K03768	K03767	K03768
Candidatus_bacterium_SZUA-1403|SZUA-1403_00235	K01507	[EC:3.6.1.1]	ppa	inorganic pyrophosphatase	1CBGM@thaNOG,COG0221@NOG,arCOG01711@arNOG	pyrophosphate phosphohydrolase			SZUA-1403_30:6635..7189	Inorganic pyrophosphatase	K01507	K01507	K01507	K01507	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00236	K01495	[EC:3.5.4.16]	GCH1, folE	GTP cyclohydrolase IA	05EUJ@bactNOG,0GBDW@delNOG,0I2MF@eproNOG,16QPW@proNOG,COG0302@NOG	GTP cyclohydrolase i			SZUA-1403_30:7211..7768	GTP cyclohydrolase 1	K01495	K01495		K01495	K01495
Candidatus_bacterium_SZUA-1403|SZUA-1403_00237	K01011	[EC:2.8.1.1][EC:2.8.1.2]	TST, MPST, sseA	thiosulfate/3-mercaptopyruvate sulfurtransferase	02HYG@arcNOG,0KU9G@eurNOG,COG0607@NOG,arCOG02021@arNOG	RHOD			SZUA-1403_30:7788..8252	Sulfurtransferase	K01011			K01011	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00238									SZUA-1403_31:c(532..843)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00241	K06168	[EC:2.8.4.3]	miaB	tRNA-2-methylthio-N6-dimethylallyladenosine synthase	05CIW@bactNOG,0ENR9@cloNOG,0NDS3@firmNOG,COG0621@NOG	Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine (By similarity)			SZUA-1403_31:1829..3286	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	K06168	K06168		K06168	K18707
Candidatus_bacterium_SZUA-1403|SZUA-1403_00242	K15778	[EC:5.4.2.8][EC:5.4.2.2]	pmm-pgm	phosphomannomutase / phosphoglucomutase	07QKV@bactNOG,COG1109@NOG	phosphomannomutase			SZUA-1403_31:3351..4766	Phosphomannomutase/phosphoglucomutase	K15778	K15778		K01835	K16881
Candidatus_bacterium_SZUA-1403|SZUA-1403_00243									SZUA-1403_31:c(5106..5465)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00244	K06180	[EC:5.4.99.23]	rluD	23S rRNA pseudouridine1911/1915/1917 synthase	05C34@bactNOG,0EPCX@cloNOG,0NDX5@firmNOG,COG0564@NOG	Pseudouridine synthase			SZUA-1403_31:c(5455..6417)	Ribosomal large subunit pseudouridine synthase D	K06180	K06180		K06180	K15454
Candidatus_bacterium_SZUA-1403|SZUA-1403_00245	K03342	[EC:2.6.1.85][EC:4.1.3.38]	pabBC	para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase	00EM0@actNOG,07WN2@bactNOG,COG0115@NOG	Aminotransferase class IV			SZUA-1403_31:6503..7312	hypothetical protein	K03342				K03342
Candidatus_bacterium_SZUA-1403|SZUA-1403_00246	K03748		sanA	SanA protein	07GZ4@bactNOG,0FT4K@cyaNOG,COG2949@NOG	DUF218 domain			SZUA-1403_31:7317..7997	hypothetical protein	K03748			K03748	K03748
Candidatus_bacterium_SZUA-1403|SZUA-1403_00247	K07566	[EC:2.7.7.87]	tsaC, rimN, SUA5	L-threonylcarbamoyladenylate synthase	05EK0@bactNOG,0QSA2@gproNOG,16RA3@proNOG,COG0009@NOG	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)			SZUA-1403_31:c(8029..8643)	Threonylcarbamoyl-AMP synthase	K07566	K07566		K07566	K07566
Candidatus_bacterium_SZUA-1403|SZUA-1403_00248	K00806	[EC:2.5.1.31]	uppS	undecaprenyl diphosphate synthase	05CR3@bactNOG,1AN1Z@spiNOG,COG0020@NOG	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids (By similarity)			SZUA-1403_31:8724..9374	Isoprenyl transferase	K00806	K00806		K00806	K21273
Candidatus_bacterium_SZUA-1403|SZUA-1403_00251									SZUA-1403_31:9684..9974	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00252									SZUA-1403_32:73..213	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00253	K18989		vexF	multidrug efflux pump	05BZS@bactNOG,0GAR9@delNOG,0HC58@dproNOG,16PBH@proNOG,COG0841@NOG	acriflavin resistance protein			SZUA-1403_32:281..3373	Multidrug resistance protein MdtB	K18989			K18989	K21134
Candidatus_bacterium_SZUA-1403|SZUA-1403_00254	K01823	[EC:5.3.3.2]	idi, IDI	isopentenyl-diphosphate Delta-isomerase	08ZEY@bactNOG,09BUN@bctoNOG,0P9C6@flaNOG,COG1443@NOG	Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its highly electrophilic allylic isomer, dimethylallyl diphosphate (DMAPP) (By similarity)			SZUA-1403_33:c(10..540)	Isopentenyl-diphosphate Delta-isomerase	K01823	K01823		K01823	K01823
Candidatus_bacterium_SZUA-1403|SZUA-1403_00255	K15255	[EC:3.6.4.12]	PIF1	ATP-dependent DNA helicase PIF1	07QUV@bactNOG,COG0507@NOG	Domain protein			SZUA-1403_33:c(568..2163)	ATP-dependent RecD-like DNA helicase	K15255				K15255
Candidatus_bacterium_SZUA-1403|SZUA-1403_00256					08BYV@bactNOG,0ZXS1@NOG	Domain of unknown function (DUF1858)			SZUA-1403_33:c(2164..2499)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00257	K03798	[EC:3.4.24.-]	ftsH, hflB	cell division protease FtsH	05C3H@bactNOG,0B8SC@bproNOG,16QNR@proNOG,COG0465@NOG	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)			SZUA-1403_34:56..1603	ATP-dependent zinc metalloprotease FtsH	K03798	K03798		K03798	K08956
Candidatus_bacterium_SZUA-1403|SZUA-1403_00258	K01737	[EC:4.2.3.12][EC:4.1.2.50]	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase	05MJ5@bactNOG,1CGNV@therNOG,COG0720@NOG	6-carboxy-5,6,7,8-tetrahydropterin synthase			SZUA-1403_34:1603..1989	6-carboxy-5,6,7,8-tetrahydropterin synthase	K01737	K01737		K01737	K01737
Candidatus_bacterium_SZUA-1403|SZUA-1403_00259	K07258	[EC:3.4.16.4]	dacC, dacA, dacD	serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)	05DZ1@bactNOG,0EP3W@cloNOG,0NDKU@firmNOG,COG1686@NOG	Carboxypeptidase			SZUA-1403_34:c(1995..2864)	D-alanyl-D-alanine carboxypeptidase DacF	K07258	K07258		K01286	K07262
Candidatus_bacterium_SZUA-1403|SZUA-1403_00260									SZUA-1403_34:c(2877..3665)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00261	K01928	[EC:6.3.2.13]	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	07EEN@bactNOG,0ENU6@cloNOG,0NDQ3@firmNOG,COG0769@NOG	acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)			SZUA-1403_34:c(3681..5024)	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	K01928	K01928		K01928	K15792
Candidatus_bacterium_SZUA-1403|SZUA-1403_00262									SZUA-1403_34:c(5075..6274)	ABC transporter permease YtrF					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00263									SZUA-1403_34:c(6329..6925)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00264									SZUA-1403_34:c(6947..7318)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00265									SZUA-1403_34:c(7393..7656)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00266									SZUA-1403_34:c(7699..8775)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00267	K00526	[EC:1.17.4.1]	E1.17.4.1B, nrdB, nrdF	ribonucleoside-diphosphate reductase beta chain	05E05@bactNOG,0QEVP@fusoNOG,COG0208@NOG	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)			SZUA-1403_34:c(8777..9817)	Ribonucleoside-diphosphate reductase subunit beta	K00526	K00526	K00526	K00526	K00526
Candidatus_bacterium_SZUA-1403|SZUA-1403_00269									SZUA-1403_35:881..1174	Nucleoid-associated protein YbaB					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00270	K14656	[EC:2.7.7.2]	ribL	FAD synthetase	02T8Q@arNOG,0FB0J@creNOG,COG0615@NOG,COG1849@NOG,arCOG01222@arNOG,arCOG01224@arNOG	Cytidyltransferase-related domain protein			SZUA-1403_35:c(1111..1617)	hypothetical protein	K14656	K14656		K00586	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00271	K20543		bcsC	cellulose synthase operon protein C	02EJA@aquNOG,05DJQ@bactNOG,COG0457@NOG	Tetratricopeptide TPR_2 repeat protein			SZUA-1403_35:c(1628..3064)	hypothetical protein	K20543				K20543
Candidatus_bacterium_SZUA-1403|SZUA-1403_00272	K04043		dnaK, HSPA9	molecular chaperone DnaK	05CFG@bactNOG,099PK@bctoNOG,0P7ET@flaNOG,COG0443@NOG	Acts as a chaperone (By similarity)			SZUA-1403_36:c(43..1995)	Chaperone protein DnaK	K04043	K04043		K04043	K04046
Candidatus_bacterium_SZUA-1403|SZUA-1403_00273	K06925		tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE					SZUA-1403_36:c(2149..3360)	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	K06925	K06925			
Candidatus_bacterium_SZUA-1403|SZUA-1403_00274	K20485		nisT, spaT	ATP-binding cassette, subfamily B, bacterial NisT	05GPC@bactNOG,09CQA@bctoNOG,0FV5W@cytNOG,COG1132@NOG	ABC transporter transmembrane region			SZUA-1403_37:45..1865	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA	K20485				K20485
Candidatus_bacterium_SZUA-1403|SZUA-1403_00275	K01262	[EC:3.4.11.9]	pepP	Xaa-Pro aminopeptidase	05DC7@bactNOG,0EQ2A@cloNOG,0NEMI@firmNOG,COG0006@NOG	peptidase, M24			SZUA-1403_37:c(1871..2971)	putative peptidase	K01262	K01262		K01262	K18573
Candidatus_bacterium_SZUA-1403|SZUA-1403_00276	K07462	[EC:3.1.-.-]	recJ	single-stranded-DNA-specific exonuclease	05C2R@bactNOG,COG0608@NOG	Single-stranded-DNA-specific exonuclease (RecJ)			SZUA-1403_37:c(3222..4922)	Single-stranded-DNA-specific exonuclease RecJ	K07462	K07462		K07462	K07462
Candidatus_bacterium_SZUA-1403|SZUA-1403_00277					08KGH@bactNOG,0D3N3@chloNOG,0D6WZ@chlorNOG,COG1316@NOG	Cell envelope-related transcriptional attenuator domain			SZUA-1403_37:c(4943..6688)	Cell wall biosynthesis protein LcpA					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00278	K01710	[EC:4.2.1.46]	E4.2.1.46, rfbB, rffG	dTDP-glucose 4,6-dehydratase	0KRFW@eurNOG,0WRPT@metNOG,COG1088@NOG,arCOG01371@arNOG	dTDP-glucose 4,6-dehydratase			SZUA-1403_37:c(6714..7691)	dTDP-glucose 4,6-dehydratase 2	K01710	K01710	K01710	K01710	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00279	K05946	[EC:2.4.1.187]	tagA, tarA	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	08UHC@bactNOG,0ESDC@cloNOG,0NI34@firmNOG,COG1922@NOG	Glycosyl transferase, WecB TagA CpsF family			SZUA-1403_37:c(7738..9321)	UDP-N-acetyl-D-mannosaminuronic acid transferase	K05946	K05946		K02852	K13660
Candidatus_bacterium_SZUA-1403|SZUA-1403_00280	K01736	[EC:4.2.3.5]	aroC	chorismate synthase	0KRMA@eurNOG,0WKAS@methaNOG,COG0082@NOG,arCOG04133@arNOG	chorismate synthase (EC 4.2.3.5)			SZUA-1403_37:c(9390..10439)	Chorismate synthase	K01736	K01736		K01736	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00281					05H0B@bactNOG,0NIQ4@firmNOG,11PAN@NOG	WxcM domain protein			SZUA-1403_37:c(10464..10880)	TDP-4-oxo-6-deoxy-alpha-D-glucose-3, 4-oxoisomerase					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00282									SZUA-1403_37:c(10897..11238)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00283	K07082		K07082	UPF0755 protein	05HHA@bactNOG,0ES1W@cloNOG,0ND8D@firmNOG,COG1559@NOG	aminodeoxychorismate lyase			SZUA-1403_37:c(11262..12341)	Endolytic murein transglycosylase	K07082	K07082		K07082	K07082
Candidatus_bacterium_SZUA-1403|SZUA-1403_00284	K01089	[EC:4.2.1.19][EC:3.1.3.15]	hisB	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase	05ECC@bactNOG,COG0131@NOG,COG0241@NOG	imidazole-glycerol-phosphate dehydratase			SZUA-1403_37:c(12572..13675)	Histidine biosynthesis bifunctional protein HisB	K01089	K01089		K01089	K03273
