#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00001	K11600		RRP41, EXOSC4, SKI6	exosome complex component RRP41	02H1C@arcNOG,0KR95@eurNOG,COG0689@NOG,arCOG01575@arNOG	Probably involved in the 3'- 5' degradation of a variety of RNA species			SZUA-1439_1:88..492	Exosome complex component Rrp41	K11600	K11600		K11600	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00234	K01814	[EC:5.3.1.16]	hisA	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	02HRK@arcNOG,0KSUN@eurNOG,COG1411@NOG,arCOG00616@arNOG	Histidine biosynthesis protein			SZUA-1439_78:162..848	hypothetical protein	K01814	K01814	K01814	K01814	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00235					02HWG@arcNOG,0KU1P@eurNOG,COG1522@NOG,arCOG04153@arNOG	B-block binding subunit of TFIIIC			SZUA-1439_78:c(1285..1632)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00236	K04796		RUXX	small nuclear ribonucleoprotein	02I07@arcNOG,0KUV4@eurNOG,COG1958@NOG,arCOG00998@arNOG	LSM domain			SZUA-1439_78:c(1640..1867)	Putative snRNP Sm-like protein	K04796			K04796	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00237					02H6K@arcNOG,0KUBN@eurNOG,0XP7I@NOG,arCOG00631@arNOG,arCOG00632@arNOG	signal transduction protein with CBS domains			SZUA-1439_79:86..1738	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00238	K08281	[EC:3.5.1.19][EC:3.5.1.-]	pncA	nicotinamidase/pyrazinamidase	0KTY2@eurNOG,COG1335@NOG,arCOG01943@arNOG	isochorismatase hydrolase			SZUA-1439_79:1975..2505	hypothetical protein	K08281			K08281	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00239					0KRGX@eurNOG,COG4756@NOG,arCOG04052@arNOG	Protein of unknown function (DUF1646)			SZUA-1439_79:2508..3596	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00240	K01647	[EC:2.3.3.1]	CS, gltA	citrate synthase	0KRNU@eurNOG,COG0372@NOG,arCOG04237@arNOG	citrate synthase			SZUA-1439_79:c(3793..4158)	Citrate synthase	K01647	K01647		K01647	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00241	K03499		trkA, ktrA	trk system potassium uptake protein	02HG9@arcNOG,0KS56@eurNOG,COG0569@NOG,arCOG01957@arNOG	TrkA-C domain			SZUA-1439_80:131..1447	Trk system potassium uptake protein TrkA	K03499	K03499	K03499	K03499	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00242					02HYZ@arcNOG,0KU1F@eurNOG,COG1873@NOG,arCOG02155@arNOG	PRC-barrel domain			SZUA-1439_80:1478..1753	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00243	K01612	[EC:4.1.1.-][EC:4.1.1.61]	bsdC	vanillate/4-hydroxybenzoate decarboxylase subunit C	02H6T@arcNOG,0KRG1@eurNOG,COG0043@NOG,arCOG01671@arNOG	UbiD family decarboxylase			SZUA-1439_80:c(1877..3127)	Phenolic acid decarboxylase subunit C	K01612			K01612	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00244	K00609	[EC:2.1.3.2]	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit	02HA9@arcNOG,0KR9J@eurNOG,COG0540@NOG,arCOG00911@arNOG	Aspartate carbamoyltransferase			SZUA-1439_81:178..1083	Aspartate carbamoyltransferase	K00609	K00609	K00609	K00609	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00245	K00610		pyrI	aspartate carbamoyltransferase regulatory subunit	0KTGC@eurNOG,COG1781@NOG,arCOG04229@arNOG	Involved in allosteric regulation of aspartate carbamoyltransferase (By similarity)			SZUA-1439_81:1084..1557	Aspartate carbamoyltransferase regulatory chain	K00610	K00610	K00610	K00610	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00247	K03470	[EC:3.1.26.4]	rnhB	ribonuclease HII	02HRR@arcNOG,0KSZR@eurNOG,COG0164@NOG,arCOG04121@arNOG	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)			SZUA-1439_81:c(2780..3400)	Ribonuclease HII	K03470	K03470	K03470	K03470	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00248	K03637	[EC:4.6.1.17]	moaC, CNX3	cyclic pyranopterin monophosphate synthase	0KTF4@eurNOG,COG0315@NOG,arCOG01530@arNOG	Together with MoaA, is involved in the conversion of 5'- GTP to cyclic pyranopterin monophosphate (cPMP or molybdopterin precursor Z) (By similarity)			SZUA-1439_82:241..681	putative cyclic pyranopterin monophosphate synthase	K03637	K03637	K03637	K03637	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00250	K07562		NMD3	nonsense-mediated mRNA decay protein 3	COG1499@NOG,arCOG04149@arNOG	nmd3 family			SZUA-1439_82:c(1064..1357)	hypothetical protein	K07562			K07562	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00251					02HSA@arcNOG,0KYJY@eurNOG,111I4@NOG,arCOG10227@arNOG				SZUA-1439_82:1399..2046	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00252	K03055	[EC:2.7.7.6]	rpoK	DNA-directed RNA polymerase subunit K	02I3C@arcNOG,0KUJ1@eurNOG,COG1758@NOG,arCOG01268@arNOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1439_82:c(2043..2273)	DNA-directed RNA polymerase subunit K	K03055	K03055	K03055	K03014	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00253	K07463		K07463	archaea-specific RecJ-like exonuclease	02H05@arcNOG,0KRN4@eurNOG,COG1107@NOG,arCOG00429@arNOG	phosphoesterase RecJ domain protein			SZUA-1439_83:67..1194	hypothetical protein	K07463	K07463		K07463	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00254	K01951	[EC:6.3.5.2]	guaA, GMPS	GMP synthase (glutamine-hydrolysing)	02H69@arcNOG,0KSW2@eurNOG,COG0518@NOG,arCOG00087@arNOG	Catalyzes the synthesis of GMP from XMP (By similarity)			SZUA-1439_83:1234..1785	GMP synthase [glutamine-hydrolyzing] subunit A	K01951	K01951	K01951	K01951	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00255	K00784	[EC:3.1.26.11]	rnz	ribonuclease Z	02HGJ@arcNOG,0KRWR@eurNOG,COG1234@NOG,arCOG00501@arNOG	Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA (By similarity)			SZUA-1439_83:c(1886..2803)	Ribonuclease Z	K00784	K00784	K00784	K00784	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00256	K02946		RP-S10, MRPS10, rpsJ	small subunit ribosomal protein S10	0KTDT@eurNOG,COG0051@NOG,arCOG01758@arNOG	Involved in the binding of tRNA to the ribosomes (By similarity)			SZUA-1439_83:c(2808..3128)	30S ribosomal protein S10	K02946	K02946	K02946	K02946	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00257	K03231		EEF1A	elongation factor 1-alpha	02H0W@arcNOG,0KS2E@eurNOG,COG5256@NOG,arCOG01561@arNOG	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)			SZUA-1439_83:c(3178..4449)	Elongation factor 1-alpha	K03231	K03231	K03231	K03231	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00258					0KUCJ@eurNOG,COG1873@NOG,arCOG02155@arNOG	PRC-barrel domain protein			SZUA-1439_83:c(4589..4831)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00259	K13525		VCP, CDC48	transitional endoplasmic reticulum ATPase	0KRDG@eurNOG,COG0464@NOG,arCOG01308@arNOG	AAA family ATPase, CDC48 subfamily			SZUA-1439_83:c(5047..6438)	VCP-like ATPase	K13525	K13525	K13525	K13525	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00260	K06885		K06885	uncharacterized protein	02H4W@arcNOG,0KRRX@eurNOG,COG1078@NOG,arCOG04430@arNOG	Metal dependent phosphohydrolase			SZUA-1439_84:c(540..1706)	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	K06885	K06885	K06885	K06885	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00261					110PN@NOG,arCOG07030@arNOG				SZUA-1439_84:1810..2535	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00262					0KS6J@eurNOG,COG0237@NOG,COG1931@NOG,arCOG01045@arNOG	UPF0200 protein			SZUA-1439_84:c(3688..3867)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00263	K01595	[EC:4.1.1.31]	ppc	phosphoenolpyruvate carboxylase	0KS35@eurNOG,COG1892@NOG,arCOG04435@arNOG	Catalyzes the irreversible beta-carboxylation of phosphoenolpyruvate (PEP) to form oxaloacetate (OAA), a four- carbon dicarboxylic acid source for the tricarboxylic acid cycle (By similarity)			SZUA-1439_85:325..1761	Phosphoenolpyruvate carboxylase	K01595	K01595	K01595	K01595	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00264					0KVBN@eurNOG,0ZW1D@NOG,arCOG01414@arNOG	group 1 glycosyl transferase			SZUA-1439_85:c(2719..3849)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00265	K06950		K06950	uncharacterized protein	0KTQ9@eurNOG,COG1418@NOG,arCOG01858@arNOG	Metal dependent phosphohydrolase			SZUA-1439_85:4407..4979	Ribonuclease Y	K06950	K06950	K06950	K06950	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00266	K06898		larB	nicotinic acid adenine dinucleotide carboxylase/hydrolase	0KSGZ@eurNOG,COG1691@NOG,arCOG02465@arNOG	1-(5-phosphoribosyl)-5-amino-4-imidazole- carboxylate (AiR) carboxylase			SZUA-1439_85:5054..5758	N5-carboxyaminoimidazole ribonucleotide mutase	K06898	K06898	K06898	K06898	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00267					02H7Z@arcNOG,0KRRD@eurNOG,COG0123@NOG,arCOG00324@arNOG	Histone deacetylase domain			SZUA-1439_86:48..197	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00268					0KV22@eurNOG,COG5440@NOG,arCOG01713@arNOG	Uncharacterized conserved protein (DUF2299)			SZUA-1439_86:c(942..1406)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00269	K19140		csm5	CRISPR-associated protein Csm5	0KTE7@eurNOG,COG1332@NOG,arCOG03718@arNOG	CRISPR-associated RAMP protein, Csm5 family			SZUA-1439_87:153..707	hypothetical protein	K19140			K19140	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00270	K19091	[EC:3.1.-.-]	cas6	CRISPR-associated endoribonuclease Cas6	05YNV@bactNOG,0D2FI@chloNOG,COG5551@NOG	Uncharacterized conserved protein (DUF2276)			SZUA-1439_87:720..1490	hypothetical protein	K19091			K19091	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00271	K02198		ccmF	cytochrome c-type biogenesis protein CcmF	02HFY@arcNOG,0KS6N@eurNOG,COG1138@NOG,arCOG00270@arNOG,arCOG06807@arNOG	cytochrome C assembly protein			SZUA-1439_88:c(481..2154)	Cytochrome c biogenesis protein CcsA	K02198	K02198	K02198	K02198	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00272									SZUA-1439_89:3..137	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00273	K03179	[EC:2.5.1.39]	ubiA	4-hydroxybenzoate polyprenyltransferase	0KT8J@eurNOG,COG0382@NOG,arCOG00477@arNOG	4-hydroxybenzoate			SZUA-1439_89:c(109..951)	Digeranylgeranylglyceryl phosphate synthase	K03179	K03179	K03179	K03179	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00274	K03113		EIF1, SUI1	translation initiation factor 1	02HVV@arcNOG,0KU5D@eurNOG,COG0023@NOG,arCOG04223@arNOG	Protein translation factor SUI1 homolog			SZUA-1439_89:c(1166..1471)	Protein translation factor SUI1	K03113	K03113	K03113	K03113	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00275	K06897	[EC:2.5.1.105]	K06897	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase	COG1237@NOG,arCOG00503@arNOG	beta-lactamase domain protein			SZUA-1439_90:6..314	7, 8-dihydropterin-6-methyl-4-(beta-D-ribofuranosyl)- aminobenzene-5'-phosphate synthase	K06897	K06897		K06897	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00276	K01934	[EC:6.3.3.2]	MTHFS	5-formyltetrahydrofolate cyclo-ligase	02HMC@arcNOG,0KTJ4@eurNOG,COG0212@NOG,arCOG00474@arNOG	5-formyltetrahydrofolate cyclo-ligase			SZUA-1439_90:555..1154	hypothetical protein	K01934	K01934		K01934	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00277	K13812	[EC:4.2.1.147][EC:4.1.2.43]	fae-hps	bifunctional enzyme Fae/Hps	0KRAA@eurNOG,COG0269@NOG,COG1795@NOG,arCOG00053@arNOG,arCOG00103@arNOG	Catalyzes the condensation of formaldehyde with tetrahydromethanopterin (H(4)MPT) to 5,10- methylenetetrahydromethanopterin (By similarity)			SZUA-1439_90:c(1336..2304)	Bifunctional enzyme Fae/Hps	K13812	K13812	K13812	K08093	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00278					0KS63@eurNOG,COG1967@NOG,arCOG02177@arNOG	Membrane protein of unknown function DUF63			SZUA-1439_91:211..1029	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00279					0KTXT@eurNOG,COG1161@NOG,arCOG00350@arNOG	GTP-binding protein			SZUA-1439_91:c(1026..1772)	GTPase Der					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00281	K09141		K09141	uncharacterized protein	0KT45@eurNOG,COG2078@NOG,arCOG01336@arNOG	ammecr1 domain-containing protein			SZUA-1439_91:c(2126..2734)	hypothetical protein	K09141	K09141	K09141	K09141	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00282	K03182	[EC:4.1.1.98]	ubiD	4-hydroxy-3-polyprenylbenzoate decarboxylase	02GWG@arcNOG,0KRG1@eurNOG,COG0043@NOG,arCOG01671@arNOG	3-octaprenyl-4-hydroxybenzoate carboxy-lyase			SZUA-1439_91:c(2875..3138)	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	K03182	K03182		K03182	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00283	K01689	[EC:4.2.1.11]	ENO, eno	enolase	02HBK@arcNOG,0KRBQ@eurNOG,COG0148@NOG,arCOG01169@arNOG	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)			SZUA-1439_92:c(64..1272)	Enolase	K01689	K01689	K01689	K01689	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00285	K02227	[EC:6.3.1.10]	cbiB, cobD	adenosylcobinamide-phosphate synthase	02HN8@arcNOG,0KRSX@eurNOG,COG1270@NOG,arCOG04274@arNOG	Cobalamin biosynthesis protein CobD			SZUA-1439_93:1460..2347	Cobalamin biosynthesis protein CbiB	K02227	K02227	K02227	K02227	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00286	K16786	[EC:3.6.3.-]	ecfA1	energy-coupling factor transport system ATP-binding protein	08JJB@bactNOG,0F7C0@cloNOG,0P6MG@firmNOG,COG1122@NOG	Abc transporter, ATP-binding protein			SZUA-1439_94:1..336	putative ABC transporter ATP-binding protein	K16786			K16786	K16787
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00287	K16785		ecfT	energy-coupling factor transport system permease protein	05PJ6@bactNOG,0NNCS@firmNOG,COG0619@NOG	Cobalt transport protein			SZUA-1439_94:c(751..1431)	Energy-coupling factor transporter transmembrane protein EcfT	K16785	K16785		K16785	K16785
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00288									SZUA-1439_95:223..477	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00289	K02863		RP-L1, MRPL1, rplA	large subunit ribosomal protein L1	02H5R@arcNOG,0KSXZ@eurNOG,COG0081@NOG,arCOG04289@arNOG	Binds directly to 23S rRNA. Probably involved in E site tRNA release (By similarity)			SZUA-1439_95:c(816..1463)	50S ribosomal protein L1	K02863	K02863	K02863	K02863	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00290	K00600	[EC:2.1.2.1]	glyA, SHMT	glycine hydroxymethyltransferase	0KRMD@eurNOG,COG0112@NOG,arCOG00070@arNOG	Catalyzes the reversible interconversion of serine and glycine with a modified folate serving as the one-carbon carrier. Also exhibits a pteridine-independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)			SZUA-1439_95:c(1736..2941)	Serine hydroxymethyltransferase	K00600	K00600	K00600	K00600	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00291	K16885		qmoA	quinone-modifying oxidoreductase, subunit QmoA	COG1148@NOG,arCOG02234@arNOG	4fe-4S ferredoxin iron-sulfur binding domain protein			SZUA-1439_96:c(1604..2323)	CoB--CoM heterodisulfide reductase iron-sulfur subunit A	K16885	K16885		K16885	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00292	K07090		K07090	uncharacterized protein	02I6S@arcNOG,0KSET@eurNOG,COG0730@NOG,arCOG02050@arNOG	Sulfite exporter TauE/SafE			SZUA-1439_97:378..695	hypothetical protein	K07090			K07090	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00293	K07090		K07090	uncharacterized protein	02I6S@arcNOG,0KSET@eurNOG,COG0730@NOG,arCOG02050@arNOG	Sulfite exporter TauE/SafE			SZUA-1439_97:823..1185	hypothetical protein	K07090	K07090		K07090	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00294	K03775	[EC:5.2.1.8]	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	0KRKD@eurNOG,COG1047@NOG,arCOG00980@arNOG	peptidyl-prolyl cis-trans isomerase			SZUA-1439_97:c(1323..2051)	Putative FKBP-type peptidyl-prolyl cis-trans isomerase	K03775	K03775		K01802	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00295					02HZX@arcNOG,0KTH4@eurNOG,COG0170@NOG,arCOG01880@arNOG	Inherit from arCOG: Phosphatidate cytidylyltransferase			SZUA-1439_97:c(2073..2651)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00296	K04801		rfcS	replication factor C small subunit	02H67@arcNOG,0KRB7@eurNOG,COG0470@NOG,arCOG00469@arNOG	Part of the RFC clamp loader complex which loads the PCNA sliding clamp onto DNA (By similarity)			SZUA-1439_97:3008..3976	Replication factor C small subunit	K04801	K04801	K04801	K04801	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00297					0YREB@NOG,arCOG02487@arNOG	Member of asn thr-rich large protein family			SZUA-1439_97:3979..4389	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00298	K03537	[EC:3.1.26.5]	POP5	ribonuclease P/MRP protein subunit POP5	02I4Z@arcNOG,0KUP9@eurNOG,COG1369@NOG,arCOG01365@arNOG	Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends (By similarity)			SZUA-1439_97:4386..4748	Ribonuclease P protein component 2	K03537	K03537	K03537	K03537	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00299	K03420		psmR	proteasome regulatory subunit	0KRCD@eurNOG,COG1222@NOG,arCOG01306@arNOG	ATPase which is responsible for recognizing, binding, unfolding and translocation of substrate proteins into the archaeal 20S proteasome core particle. Is essential for opening the gate of the 20S proteasome via an interaction with its C- terminus, thereby allowing substrate entry and access to the site of proteolysis. Thus, the C-termini of the proteasomal ATPase function like a 'key in a lock' to induce gate opening and therefore regulate proteolysis. Unfolding activity requires energy from ATP hydrolysis, whereas ATP binding alone promotes ATPase-20S proteasome association which triggers gate opening, and supports translocation of unfolded substrates			SZUA-1439_98:c(1145..2416)	Proteasome-activating nucleotidase	K03420	K03420	K03420	K03420	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00300	K07561	[EC:2.5.1.108]	DPH1, dph2	2-(3-amino-3-carboxypropyl)histidine synthase	02HA3@arcNOG,0KRB0@eurNOG,COG1736@NOG,arCOG04112@arNOG	Diphthamide biosynthesis			SZUA-1439_98:2765..3727	2-(3-amino-3-carboxypropyl)histidine synthase	K07561	K07561	K07561	K07561	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00301	K07101		K07101	uncharacterized protein	0KTFG@eurNOG,COG2236@NOG,arCOG00040@arNOG	Phosphoribosyl transferase domain			SZUA-1439_98:c(4184..4807)	Xanthine phosphoribosyltransferase	K07101	K07101	K07101	K07101	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00302					02HWV@arcNOG,0KVG7@eurNOG,0Y4J3@NOG,arCOG02104@arNOG				SZUA-1439_98:c(4844..5101)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00303	K08260	[EC:3.5.1.90]	cbiZ	adenosylcobinamide hydrolase	0KSIT@eurNOG,COG1865@NOG,arCOG01870@arNOG	adenosylcobinamide amidohydrolase			SZUA-1439_98:c(5390..5953)	hypothetical protein	K08260	K08260	K08260	K08260	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00304	K00672	[EC:2.3.1.101]	ftr	formylmethanofuran--tetrahydromethanopterin N-formyltransferase	02H10@arcNOG,0KRFB@eurNOG,COG2037@NOG,arCOG02695@arNOG	formylmethanofuran--tetrahydromethanopterin formyltransferase (EC 2.3.1.101)			SZUA-1439_99:c(105..1007)	Formylmethanofuran--tetrahydromethanopterin formyltransferase	K00672	K00672	K00672	K00672	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00305	K09457	[EC:1.7.1.13]	queF	7-cyano-7-deazaguanine reductase	0KXFC@eurNOG,COG0780@NOG,arCOG02435@arNOG,arCOG04210@arNOG	GTP cyclohydrolase I			SZUA-1439_99:c(1193..1930)	NADPH-dependent 7-cyano-7-deazaguanine reductase	K09457	K09457		K09457	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00307	K06953		K06953	uncharacterized protein	02H2B@arcNOG,0KU71@eurNOG,COG1407@NOG,arCOG01150@arNOG	Calcineurin-like phosphoesterase			SZUA-1439_99:c(2752..3456)	hypothetical protein	K06953	K06953	K06953	K06953	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00308	K07466		RFA1, RPA1, rpa	replication factor A1	02HZS@arcNOG,0KYM8@eurNOG,COG1599@NOG,arCOG01510@arNOG,arCOG04418@arNOG	nucleic acid binding OB-fold tRNA helicase-type			SZUA-1439_100:226..594	Single-stranded DNA binding protein Ssb	K07466			K07466	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00309					02HTV@arcNOG,0KYQX@eurNOG,111MS@NOG,arCOG10221@arNOG				SZUA-1439_100:c(794..1252)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00310	K11785	[EC:1.14.-.-]	mqnD	1,4-dihydroxy-6-naphthoate synthase	0KSYK@eurNOG,COG2107@NOG,arCOG00654@arNOG	Pfam:DUF178			SZUA-1439_100:c(1296..2090)	1,4-dihydroxy-6-naphtoate synthase	K11785	K11785	K11785	K11785	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00311	K16886		qmoB	quinone-modifying oxidoreductase, subunit QmoB	COG1148@NOG,COG1908@NOG,arCOG02235@arNOG,arCOG02475@arNOG	hydrogenase, delta subunit			SZUA-1439_101:c(1109..3145)	CoB--CoM heterodisulfide reductase iron-sulfur subunit A	K16886	K16886	K16886	K03388	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00312	K04802		PCNA	proliferating cell nuclear antigen	0KRQM@eurNOG,COG0592@NOG,arCOG00488@arNOG	Sliding clamp subunit. Responsible for tethering the catalytic subunit of DNA polymerase to DNA during high-speed replication (By similarity)			SZUA-1439_102:c(750..1487)	DNA polymerase sliding clamp	K04802	K04802	K04802	K04802	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00313	K00809	[EC:2.5.1.46]	DHPS, dys	deoxyhypusine synthase	0KRHP@eurNOG,COG1899@NOG,arCOG04142@arNOG	Catalyzes the NAD-dependent oxidative cleavage of spermidine and the subsequent transfer of the butylamine moiety of spermidine to the epsilon-amino group of a specific lysine residue of the eIF-5A precursor protein to form the intermediate deoxyhypusine residue (By similarity)			SZUA-1439_103:103..585	putative deoxyhypusine synthase	K00809	K00809		K00809	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00314					02HD9@arcNOG,0KWK2@eurNOG,COG1533@NOG,arCOG01290@arNOG	Radical SAM domain protein			SZUA-1439_103:c(983..1441)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00315	K03616		rnfB	electron transport complex protein RnfB	COG1456@NOG,arCOG01979@arNOG	acetyl-CoA decarbonylase synthase complex subunit gamma			SZUA-1439_104:281..619	Electron transport complex subunit RsxB	K03616	K03616		K00197	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00316					0Z7NK@NOG,arCOG10150@arNOG				SZUA-1439_104:979..1239	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00317					0KTH8@eurNOG,COG0639@NOG,arCOG01143@arNOG	phosphodiesterase, mj0936 family			SZUA-1439_104:c(1329..2000)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00318	K03750	[EC:2.10.1.1]	moeA	molybdopterin molybdotransferase	02I7E@arcNOG,0KRWY@eurNOG,COG0303@NOG,arCOG00216@arNOG	Molybdenum cofactor synthesis domain protein			SZUA-1439_104:2279..3514	hypothetical protein	K03750	K03750	K03750	K03750	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00319					02HT8@arcNOG,0KUVA@eurNOG,COG0437@NOG,arCOG01500@arNOG	4Fe-4S ferredoxin iron-sulfur binding			SZUA-1439_104:3819..4223	Putative dimethyl sulfoxide reductase iron-sulfur subunit B					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00320	K03738	[EC:1.2.7.5]	aor	aldehyde:ferredoxin oxidoreductase	0KRMS@eurNOG,COG2414@NOG,arCOG00706@arNOG	Aldehyde ferredoxin oxidoreductase			SZUA-1439_104:4388..6139	Tungsten-containing aldehyde ferredoxin oxidoreductase	K03738	K03738	K03738	K03738	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00321	K03113		EIF1, SUI1	translation initiation factor 1	02HVV@arcNOG,0KU5D@eurNOG,COG0023@NOG,arCOG04223@arNOG	Protein translation factor SUI1 homolog			SZUA-1439_105:c(832..1137)	Protein translation factor SUI1	K03113	K03113	K03113	K03113	
